Feature,26908,26909,26910,26911,26912,33900,34182,37879,38076
高度(mm),1660,1660,1660,1660,1660,1695,1695,1695,1695
驻车制动类型,手刹,手刹,脚刹,脚刹,脚刹,电子驻车,手刹,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,●,●,●,●,●,●,●
防紫外线玻璃,-,-,-,-,-,-,-,-,-
长度(mm),4450,4450,4450,4450,4450,4460,4460,4460,4460
长*宽*高(mm),4450*1855*1660,4450*1855*1660,4450*1855*1660,4450*1855*1660,4450*1855*1660,4460*1850*1695,4460*1850*1695,4460*1850*1695,4460*1850*1695
铝合金轮圈,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,●,-,-,●
远程启动,-,-,-,-,-,-,-,-,●
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压
近光灯,卤素,卤素,卤素,卤素,卤素(选装氙气),卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-
轴距(mm),2640,2640,2640,2640,2640,2640,2640,2640,2640
转向辅助灯,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-
车顶行李架,●,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5
车道偏离预警系统,-,-,-,-,-,○,-,-,○
车载空气净化器,-,-,-,●,●,●,-,●,●
车载电视,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),-,-,●,●,●,●,●,●,●
车联网,-,-,-,-,-,●,-,-,●
车窗防夹手功能,-,-,-,-,-,●,-,●,●
车窗一键升降,-,-,-,-,-,主驾驶位,-,主驾驶位,主驾驶位
车型名称,智跑 2016款 2.0L 手动两驱版GL,智跑 2016款 2.0L 自动两驱版GL,智跑 2016款 2.0L 自动两驱版GLS,智跑 2016款 2.0L 自动两驱版DLX,智跑 2016款 2.0L 自动两驱版Premium,智跑 2018款 2.0L 自动智享豪华版,智跑 2018款 2.0L 手动时尚版,智跑 2019款 1.4T 自动两驱版GL,智跑 2019款 1.4T 自动两驱版GLS
车内空气调节/花粉过滤,-,-,-,●,●,●,-,●,●
车内氛围灯,●,●,●,●,●,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-,-,-,-
行李厢容积(L),-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,○,-,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-
自适应巡航,-,-,-,-,-,-,-,-,○
自动驻车,-,-,-,-,-,●,-,●,●
自动泊车入位,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,●,●,-,●,●
膝部气囊,-,-,-,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,○,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测装置,-,-,-,-,-,●,-,●,●
肩部支撑调节,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
简称,6挡手动,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,6挡手动,7挡双离合,7挡双离合
第二排靠背角度调节,●,●,●,●,●,-,-,-,-
第二排独立座椅,-,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-
空调控制方式,手动●,手动●,自动●,自动●,自动●,自动●,手动●,自动●,自动●
空气悬架,-,-,-,-,-,-,-,-,-
皮质方向盘,-,-,●,●,●,●,-,●,●
疲劳驾驶提示,-,-,-,-,-,○,-,-,○
电磁感应悬架,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,-
电动天窗,-,●,●,●,●,●,-,-,●
电动吸合门,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-
环保标准,国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国V,国V,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,●,●,●,-,-,-,-
流媒体车内后视镜,-,-,-,-,-,-,-,-,-
油箱容积(L),58,58,58,58,58,58,58,58,58
气缸数(个),4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4
最高车速(km/h),190,183,183,183,183,186,183,186,186
最小离地间隙(mm),146,146,146,146,146,-,-,-,-
最大马力(Ps),165,165,165,165,165,160,160,140,140
最大扭矩转速(rpm),4800,4800,4800,4800,4800,4800,4800,3200,3200
最大扭矩(N·m)_y,199,199,199,199,199,193,193,242,242
最大扭矩(N·m)_x,199,199,199,199,199,193,193,242,242
最大功率转速(rpm),6500,6500,6500,6500,6500,6500,6500,6000,6000
最大功率(kW)_y,121,121,121,121,121,118,118,103,103
最大功率(kW)_x,121,121,121,121,121,118,118,103,103
无钥匙进入系统,-,-,●,●,●,●,-,●,●
无钥匙启动系统,-,-,●,●,●,●,-,●,●
方向盘调节,上下调节,上下调节,上下+前后调节,上下+前后调节,上下+前后调节,上下调节,上下调节,上下调节,上下调节
方向盘记忆,-,-,-,-,-,-,-,-,-
方向盘电动调节,-,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-
整车质保,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里
整备质量(kg),1431,1470,1470,1470,1470,1430,1377,1475,1475
整体主动转向系统,-,-,-,-,-,-,-,-,-
排量(mL),1999,1999,1999,1999,1999,1999,1999,1353,1353
挡位个数,6,6,6,6,6,6,6,7,7
扬声器品牌,-,-,-,-,-,-,-,-,-
扬声器个数,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,4-5喇叭,6-7喇叭,6-7喇叭
手机无线充电,-,-,-,-,-,-,-,-,-
手机互联/映射功能,-,-,-,-,-,●,-,●,●
感应雨刷,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●,●
座椅材料,织物,织物,仿皮,仿皮,仿皮(选装真皮),仿皮,仿皮,仿皮,仿皮
座位数(个),5,5,5,5,5,5,5,5,5
并线辅助,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),7.7,7.8,7.8,7.8,7.8,6.9,6.9,6.3,6.3
工信部纯电续航里程(km),-,-,-,-,-,-,-,-,-
导航路况信息显示,-,-,-,-,-,●,-,-,●
宽度(mm),1855,1855,1855,1855,1855,1850,1850,1850,1850
实测油耗(L/100km),-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-
定速巡航,-,-,-,-,●,●,-,●,●
