Feature,56051,60378,60379,60380,60381,60382,60383,60386,60387,60388,61963
高度(mm),1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540
驾驶辅助影像,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-
面部识别,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-
长度(mm),3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650
长*宽*高(mm),3650*1670*1540,3650*1670*1540,3650*1670*1540,3650*1670*1540,3650*1670*1540,3650*1670*1540,3650*1670*1540,3650*1670*1540,3650*1670*1540,3650*1670*1540,3650*1670*1540
钥匙类型,,,,,,,,,,,
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-
道路交通标识识别,-,-,-,-,-,-,-,-,-,-,-
远程启动功能,,,,,,,,,,,
远程召唤,-,-,-,-,-,-,●,-,-,●,-
远光灯光源,,,,,,,,,,,
近光灯光源,,,,,,,,,,,
运动风格座椅,●,●,●,●,●,●,●,●,●,●,●
运动外观套件,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390
轮圈材质,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-
车载智能系统,-,-,-,,,,,,,,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
车身结构_x,5门5座两厢车,5门4座两厢车,5门4座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,●,●,●,●,●,●,●,-
车窗防夹手功能,-,-,-,-,-,-,●,-,-,●,-
车窗一键升降功能,-,-,-,-,-,-,,-,-,,-
车型名称,2023款 周年款 301km 四叶草 36kW,花仙子 2023款 周年款 200km 薰衣草 30kW,花仙子 2023款 周年款 306km 薰衣草 30kW,花仙子 2023款 周年款 251km 满天星 36kW,花仙子 2023款 周年款 301km 满天星 45kW,花仙子 2023款 周年款 301km 向日葵 45kW,花仙子 2023款 周年款 301km 白玉兰 45kW,2023款 周年款 301km 满天星 36kW,花仙子 2023款 周年款 301km 向日葵 36kW,花仙子 2023款 周年款 301km 白玉兰 36kW,花仙子 2023款 周年款 251km 四叶草 36kW
车前雾灯,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,-,-,-,-,-,-,-,-
语音识别控制系统,-,-,-,,,,,,,,-
触摸式阅读灯,-,-,-,-,-,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,
行李厢12V电源接口,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-
自动驻车,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,-,-,-,-,-,-,●,-,-,●,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-
能量回收系统,●,●,●,●,●,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-
级别,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-
第二排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-,-
离去角(°),25,25,25,25,25,25,25,25,25,25,25
百公里耗电量(kWh/100km),11.1,11.5,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-
电芯品牌,国轩高科,国轩高科,国轩高科,国轩高科,国轩高科,国轩高科,国轩高科,国轩高科,国轩高科,国轩高科,国轩高科
电能当量燃料消耗量(L/100km),1.26,1.3,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-
电池预加热,●,●,●,●,●,●,●,●,●,●,●
电池能量密度(Wh/kg),141.74,127.7,141.71,135.27,141.74,141.74,141.74,141.74,141.74,141.74,135.27
电池能量(kWh),30.2,19.7,31.5,25,30.2,30.2,30.2,30.2,30.2,30.2,25
电池组质保,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）
电池类型,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机总扭矩(N·m),110,95,95,110,150,150,150,110,110,110,110
电动机总功率(kW),36,30,30,36,45,45,45,36,36,36,36
电动机总功率(Ps),49,41,41,49,61,61,61,49,49,49,49
电动机(Ps),49,41,41,49,61,61,61,49,49,49,49
电动扰流板,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-
灯光特色功能,-,-,-,-,-,-,-,-,-,-,-
满载最小离地间隙(mm),125,125,125,125,125,125,125,125,125,125,125
温度分区控制,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,,,,,,,,,,,
最高车速(km/h),102,102,102,102,102,102,102,102,102,102,102
最大爬坡度(%),20,20,20,20,20,20,20,20,20,20,20
最大满载质量(kg),1475,1300,1475,1455,1475,1475,1475,1475,1475,1475,1455
最大扭矩(N·m),110,95,95,110,150,150,150,110,110,110,110
最大功率(kW),36,30,30,36,45,45,45,36,36,36,36
无钥匙进入功能,,,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,
整车质保,三年或12万公里,三年或12万公里,三年或12万公里,三年或12万公里,三年或12万公里,三年或12万公里,三年或12万公里,三年或12万公里,三年或12万公里,三年或12万公里,三年或12万公里
整备质量(kg),1100,1000,1100,1080,1100,1100,1100,1100,1100,1100,1080
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-
接近角(°),16,16,16,16,16,16,16,16,16,16,16
换挡形式,,,,,,,,,,,
挡位个数,1,1,1,1,1,1,1,1,1,1,1
扬声器数量,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,,,-,,,-
