Feature,45550,49505,49506,49507,49508,50586,53500,57112,57113
高度(mm),1680,1680,1680,1680,1680,1680,1670,1680,1670
驾驶辅助影像,,,,,,,,,
驾驶模式切换,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,双电机,单电机,双电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置四驱,前置前驱,前置四驱
面部识别,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-
长度(mm),4705,4705,4705,4705,4705,4705,4705,4705,4705
长*宽*高(mm),4705*1890*1680,4705*1890*1680,4705*1890*1680,4705*1890*1680,4705*1890*1680,4705*1890*1680,4705*1890*1670,4705*1890*1680,4705*1890*1670
钥匙类型,,,,,,,,,
配气机构,-,DOHC,DOHC,DOHC,DOHC,-,DOHC,DOHC,DOHC
遥控泊车,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-
道路交通标识识别,●,-,●,-,●,-,●,●,●
透明底盘/540度影像,●,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,
远光灯光源,,,,,,,,,
进气形式,-,自然吸气,自然吸气,自然吸气,自然吸气,-,涡轮增压,自然吸气,涡轮增压
近光灯光源,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-
辅助驾驶系统,,-,,-,,-,,,
辅助驾驶等级,,-,,-,,-,,,
轴距(mm),2765,2765,2765,2765,2765,2765,2765,2765,2765
轮圈材质,,,,,,,,,
转向辅助灯,●,-,-,-,●,-,●,●,●
转向头灯,-,-,-,-,-,-,-,-,-
车顶行李架,●,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,●,-,●,-,●,-,●,●,●
车道保持辅助系统,●,-,●,-,●,-,●,●,●
车载空气净化器,●,-,-,●,●,-,●,●,●
车载智能系统,,,,,,,,,
车载冰箱,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,
车型名称,宋PLUS新能源 2021款 EV 旗舰型,宋PLUS新能源 2021款 DM-i 51KM 尊贵型,宋PLUS新能源 2021款 DM-i 51KM 尊荣型,宋PLUS新能源 2021款 DM-i 110KM 旗舰型,宋PLUS新能源 2021款 DM-i 110KM 旗舰PLUS,宋PLUS新能源 2021款 EV 尊贵型,宋PLUS新能源 2021款 DM-i 100KM 四驱旗舰PLUS,宋PLUS新能源 2021款 DM-i 110KM 旗舰PLUS 5G版,宋PLUS新能源 2021款 DM-i 100KM 四驱旗舰PLUS 5G版
车前雾灯,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,,,,,,,,
车内化妆镜,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,
负离子发生器,-,-,-,-,-,-,-,-,-
语音识别控制系统,,,,,,,,,
触摸式阅读灯,●,●,●,●,●,●,●,●,●
被动行人保护,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,
行李厢12V电源接口,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●
自适应远近光,●,-,-,-,●,-,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●
自动泊车入位,-,-,-,-,-,-,-,-,●
自动头灯,●,●,●,●,●,●,●,●,●
膝部气囊,-,-,-,-,-,-,-,-,-
能源类型,纯电动,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,,,,,,,
