Feature,26954,27516
高度(mm),1496,1496
驻车制动类型,手刹,手刹
驱动电机数,单电机,单电机
驱动方式,前置前驱,前置前驱
零胎压继续行驶,-,-
陡坡缓降,-,-
防紫外线玻璃,-,-
长度(mm),3971,3971
长*宽*高(mm),3971*1745*1496,3971*1745*1496
铝合金轮圈,●,●
遮阳板化妆镜,●,●
遥控钥匙,●,●
道路救援呼叫,-,-
远程启动,-,-
远光灯,卤素,卤素
近光灯,卤素,卤素
运动风格座椅,-,-
运动外观套件,-,-
轴距(mm),2461,2461
转向辅助灯,-,-
转向头灯,-,-
车顶行李架,-,-
车门数(个),5,5
车道偏离预警系统,-,-
车载空气净化器,-,-
车载电视,-,-
车载冰箱,-,-
车身结构_y,两厢车,两厢车
车身结构_x,5门5座两厢车,5门5座两厢车
车身稳定控制(ESC/ESP/DSC等),-,-
车联网,-,●
车窗防夹手功能,-,-
车窗一键升降,-,-
车型名称,全球鹰K17 2016款 K17A 时尚型,全球鹰K17 2017款 K17AS
车内空气调节/花粉过滤,-,-
车内氛围灯,-,-
车内中控锁,●,●
车体结构,承载式,承载式
行车电脑显示屏,-,-
行李厢容积(L),-,-
蓝牙/车载电话,●,●
自适应远近光,-,-
自适应巡航,-,-
自动驻车,-,-
自动泊车入位,-,-
自动头灯,-,-
膝部气囊,-,-
腰部支撑调节,-,-
能源类型,纯电动,纯电动
胎压监测装置,-,-
肩部支撑调节,-,-
级别,小型车,小型车
系统综合扭矩(N·m),-,-
系统综合功率(kW),-,-
简称,电动车单速变速箱,电动车单速变速箱
第二排靠背角度调节,-,-
第二排独立座椅,-,-
第二排座椅移动,-,-
第三排座椅,-,-
空调控制方式,手动●,手动●
空气悬架,-,-
皮质方向盘,-,○
百公里耗电量(kWh/100km),-,-
疲劳驾驶提示,-,-
电磁感应悬架,-,-
电池组质保,8年或12万公里,8年或12万公里
电池类型,三元锂电池,三元锂电池
电池容量(kWh),20,20
电机布局,前置,前置
电动机总扭矩(N·m),165,165
电动机总功率(kW),35,35
电动座椅记忆,-,-
电动天窗,-,-
电动吸合门,-,-
电动后备厢,-,-
牵引力控制(ASR/TCS/TRC等),-,-
温度分区控制,-,-
油箱容积(L),-,-
最高车速(km/h),102,102
最小离地间隙(mm),110,110
最大扭矩(N·m),165,165
最大功率(kW),35,35
无钥匙进入系统,-,-
无钥匙启动系统,-,-
方向盘调节,上下调节,上下调节
方向盘记忆,-,-
方向盘电动调节,-,-
方向盘换挡,-,-
方向盘加热,-,-
整车质保,三年或8万公里,三年或8万公里
整备质量(kg),1170,-
挡位个数,1,1
扬声器品牌,-,-
扬声器个数,4-5喇叭,4-5喇叭
手机无线充电,-,-
手机互联/映射功能,-,-
慢充时间(小时)_y,10,10
慢充时间(小时)_x,10,10
感应雨刷,-,-
感应后备厢,-,-
快充电量百分比,-,-
快充电量(%),-,-
快充时间(小时)_y,2,2
快充时间(小时)_x,2,2
座椅高低调节,-,-
座椅材料,织物,织物(选装仿皮)
座位数(个),5,5
并线辅助,-,-
工信部纯电续航里程(km)_y,151,151
工信部纯电续航里程(km)_x,151,151
导航路况信息显示,-,-
宽度(mm),1745,1745
实测续航里程(km),-,-
实测100-0km/h制动(m),-,-
实测0-100km/h加速(s),-,-
定速巡航,-,-
官方0-100km/h加速(s),-,-
安全带未系提示,●,●
大灯高度可调,●,●
大灯清洗装置,-,-
夜视系统,-,-
多天窗,-,-
多功能方向盘,-,-
外接音源接口,USB,USB
备胎规格,无,无
