Feature,1005324,1005325,1005326,1005327,1005328,1005329,1005465,1005466,1005927,1005928,1005929,1005930,1005991,1005992,1005993,1005994,1006319,1006320,1006321,1006322,1006323,1006324,1006325,1006326,1007043,1007044
高度(mm),1800,1800,1800,1800,1800,1800,1975,1975,1722,1722,1722,1722,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
驱动方式,前置四驱,前置后驱,前置后驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5310,5310,5310,5605,5605,5605,5310,5310,5625,5625,5330,5330,5310,5310,5310,5310,5605,5605,5605,5605,5310,5310,5310,5310,5605,5310
长*宽*高(mm),5310×1812×1800,5310×1812×1800,5310×1812×1800,5605×1812×1800,5605×1812×1800,5605×1812×1800,5310×1812×1975,5310×1812×1975,5625×1812×1722,5625×1812×1722,5330×1812×1722,5330×1812×1722,5310×1812×1800,5310×1812×1800,5310×1812×1800,5310×1812×1800,5605×1812×1800,5605×1812×1800,5605×1812×1800,5605×1812×1800,5310×1812×1800,5310×1812×1800,5310×1812×1800,5310×1812×1800,5605×1812×1800,5310×1812×1800
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,未知,未知,未知,未知,-,-,-,-,未知,未知,未知,未知,未知,未知,未知,未知,DOHC,DOHC
遮阳板化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3100,3100,3100,3395,3395,3395,3395,3395,3395,3395,3100,3100,3100,3100,3100,3100,3395,3395,3395,3395,3100,3100,3100,3100,3395,3100
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,威虎 2017款 2.4L越野版汽油国V四驱豪华型中双4G69S4N,威虎 2017款 2.4L越野版汽油国V两驱豪华型中双4G69S4N,威虎 2017款 2.4L越野版汽油国V两驱标准型中双4G69S4N,威虎 2017款 2.4L越野版汽油国V四驱豪华型大双4G69S4N,威虎 2017款 2.4L越野版汽油国V两驱豪华型大双4G69S4N,威虎 2017款 2.4L越野版汽油国V两驱标准型大双4G69S4N,威虎 2017款 2.4L汽油两驱豪华型箱货中双4G69S4N,威虎 2017款 2.4L汽油两驱精英型箱货中双4G69S4N,威虎 2018款 2.8T柴油国V两驱豪华型大双CA4D28C5-1B,威虎 2018款 2.8T柴油国V两驱精英型大双CA4D28C5-1B,威虎 2018款 2.8T柴油国V两驱豪华型中双CA4D28C5-1B,威虎 2018款 2.8T柴油国V两驱精英型中双CA4D28C5-1B,威虎 2018款 2.5T柴油国V四驱豪华型中双XD25T5,威虎 2018款 2.5T柴油国V四驱精英型中双XD25T5,威虎 2018款 2.5T柴油国V两驱豪华型中双XD25T5,威虎 2018款 2.5T柴油国V两驱精英型中双XD25T5,威虎 2018款 2.5T越野版柴油国V四驱豪华型大双SD4V25R-100,威虎 2018款 2.5T越野版柴油国V四驱标准型大双SD4V25R-100,威虎 2018款 2.5T越野版柴油国V两驱豪华型大双SD4V25R-100,威虎 2018款 2.5T越野版柴油国V两驱标准型大双SD4V25R-100,威虎 2018款 2.5T越野版柴油国V四驱豪华型中双SD4V25R-100,威虎 2018款 2.5T越野版柴油国V四驱标准型中双SD4V25R-100,威虎 2018款 2.5T越野版柴油国V两驱豪华型中双SD4V25R-100,威虎 2018款 2.5T越野版柴油国V两驱标准型中双SD4V25R-100,威虎 2018款 2.4L越野版汽油国V四驱标准型大双4G69S4N,威虎 2018款 2.4L越野版汽油国V四驱标准型中双4G69S4N
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1600x1505x480,1600x1505x480,1600x1505x480,1895x1505x480,1895x1505x480,1895x1505x480,-,-,1895x1505x480,1895x1505x480,1600x1505x480,1600x1505x480,1600x1505x480,1600x1505x480,1600x1505x480,1600x1505x480,1895x1505x480,1895x1505x480,1895x1505x480,1895x1505x480,1600x1505x480,1600x1505x480,1600x1505x480,1600x1505x480,1895x1505x480,1600x1505x480
