Feature,1013209,1013210,1013212,1013213,1013214,1013215,1013216,1013217,1013218,1013219,1013220,1013221,1013222,1013223,1013224
高度(mm),2030,2185,2030,2185,2185,2185,2185,2030,2030,2185,2185,2185,2185,2030,2185
驾驶辅助影像,,,,,,,,,,,,,,,
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310,5310
长*宽*高(mm),5310×1705×2030,5310×1705×2185,5310×1705×2030,5310×1705×2185,5310×1705×2185,5310×1705×2185,5310×1705×2185,5310×1705×2030,5310×1705×2030,5310×1705×2185,5310×1705×2185,5310×1705×2185,5310×1705×2185,5310×1705×2030,5310×1705×2185
钥匙类型,,,,,,,,,,,,,,,
配气机构,未知,未知,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,未知,DOHC,未知,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350
轮圈材质,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
车身结构_x,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,凯锐浩克 2022款 2.3T途悦商务6-9座平顶,凯锐浩克 2022款 2.3T途悦商务6-9座高顶,凯锐浩克 2022款 2.0L途悦商务6-9座平顶1TZS,凯锐浩克 2022款 2.0L途悦商务6-9座高顶1TZS,凯锐浩克 2022款 2.0L途悦旗舰9座高顶1TZS,凯锐浩克 2022款 2.0L途悦豪华9座高顶1TZS,凯锐浩克 2022款 2.0L途悦舒适9座高顶1TZS,凯锐浩克 2022款 2.0L畅运标准6座平顶1TZS,凯锐浩克 2022款 2.3T畅运标准6座平顶,凯锐浩克 2022款 2.0L畅运标准6座高顶1TZS,凯锐浩克 2022款 2.3T畅运标准6座高顶,凯锐浩克 2022款 2.0L途悦标准10座高顶1TZS,凯锐浩克 2022款 2.0L途悦商务10座高顶1TZS,凯锐浩克 2022款 2.0L途悦商务10座平顶1TZS,凯锐浩克 2022款 2.0L途悦舒适10座高顶1TZS
车前雾灯,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,汽油,柴油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
级别,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
