Feature,48454,48455,48456,48458,54386,54387,54388,57820,57923,57924,57925,57926,57927,57928,63007,63648,63649,63650,63651,63652,63653
高度(mm),1473,1473,1473,1480,1473,1480,1480,1480,1473,1473,1473,1473,1473,1480,1473,1473,1473,1473,1473,1480,1480
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,-,-,-,,-,,,,-,-,-,-,-,,-,-,-,-,-,,
驻车制动类型,手刹,电子驻车,手刹,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,手刹,手刹,电子驻车,电子驻车,电子驻车,电子驻车,手刹,手刹,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4675,4675,4675,4675,4675,4675,4675,4675,4675,4675,4675,4675,4675,4675,4675,4675,4675,4675,4675,4675,4675
长*宽*高(mm),4675*1842*1473,4675*1842*1473,4675*1842*1473,4675*1842*1480,4675*1842*1473,4675*1842*1480,4675*1842*1480,4675*1842*1480,4675*1842*1473,4675*1842*1473,4675*1842*1473,4675*1842*1473,4675*1842*1473,4675*1842*1480,4675*1842*1473,4675*1842*1473,4675*1842*1473,4675*1842*1473,4675*1842*1473,4675*1842*1480,4675*1842*1480
钥匙类型,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路交通标识识别,-,-,-,-,-,-,-,●,-,-,-,-,●,-,-,-,-,-,●,-,●
透明底盘/540度影像,-,-,-,-,-,-,-,●,-,-,-,●,●,●,-,-,-,●,●,●,●
远程启动功能,-,-,-,-,-,-,-,,-,-,-,-,,-,-,-,-,-,,-,
远光灯光源,,,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,涡轮增压,自然吸气,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,
辅助驾驶系统,-,-,-,-,-,-,-,,-,-,-,-,,-,-,-,-,-,,-,
辅助驾驶等级,-,-,-,-,-,-,-,,-,-,-,-,,-,-,-,-,-,,-,
轴距(mm),2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680
轮圈材质,,,,,,,,,,,,,,,,,,,,,
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,-,-,-,-,-,-,●,-,-,-,-,●,-,-,-,-,-,●,-,●
车道偏离预警系统,-,-,-,-,-,-,-,●,-,-,-,-,●,-,-,-,-,-,●,-,●
车道保持辅助系统,-,-,-,-,-,-,-,●,-,-,-,-,●,-,-,-,-,-,●,-,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载智能系统,-,-,-,-,-,-,-,,-,-,-,,,,-,-,-,,,,
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
