,19322,19324,19325,24015,27889
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,全车,全车,全车,全车,全车
车窗防夹手功能,●,●,●,●,●
防紫外线/隔热玻璃,●,●,●,●,●
后视镜电动调节,●,●,●,●,●
后视镜加热,●,●,●,●,●
内/外后视镜自动防眩目,内●&nbsp;/&nbsp;外●,内○&nbsp;/&nbsp;外○,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●
流媒体车内后视镜,-,-,-,-,-
后视镜电动折叠,●,-,●,●,●
后视镜记忆,●,●,●,●,●
后风挡遮阳帘,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●
后雨刷,-,-,-,-,-
感应雨刷,●,●,●,●,●
空调控制方式,自动●,自动●,自动●,自动●,自动●
后排独立空调,-,-,-,-,-
后座出风口,●,●,●,●,●
温度分区控制,●,●,●,●,●
车内空气调节/花粉过滤,●,●,●,●,●
车载空气净化器,-,-,-,-,-
车载冰箱,-,-,-,-,-
车型名称,宝马X4 2014款 xDrive28i M运动型,宝马X4 2014款 xDrive28i 领先型,宝马X4 2014款 xDrive20i X设计套装,宝马X4 2016款 M40i,宝马X4 2016款 xDrive20i M运动型
厂商指导价(元),57.98万,54.98万,48.98万,71.38万,48.98万
厂商,宝马(进口),宝马(进口),宝马(进口),宝马(进口),宝马(进口)
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
能源类型,汽油,汽油,汽油,汽油,汽油
上市时间,2014.07,2014.07,2014.07,2016.04,2016.09
工信部纯电续驶里程(km),-,-,-,-,-
最大功率(kW)_x,180,180,135,265,135
最大扭矩(N·m)_x,350,350,270,465,270
发动机,2.0T 245马力 L4,2.0T 245马力 L4,2.0T 184马力 L4,3.0T 360马力 L6,2.0T 184马力 L4
变速箱,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
长*宽*高(mm),4683*1890*1636,4683*1890*1636,4683*1890*1636,4683*1890*1636,4683*1890*1636
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
最高车速(km/h),232,232,212,250,212
官方0-100km/h加速(s),6.4,6.4,8.1,4.9,8.1
实测0-100km/h加速(s),-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-
工信部综合油耗(L/100km),7.5,7.5,7.5,8.7,7.5
实测油耗(L/100km),-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
长度(mm),4683,4683,4683,4683,4683
宽度(mm),1890,1890,1890,1890,1890
高度(mm),1636,1636,1636,1636,1636
轴距(mm),2810,2810,2810,2810,2810
前轮距(mm),1616,1616,1616,1616,1616
后轮距(mm),1632,1632,1632,1632,1632
最小离地间隙(mm),-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV
车门数(个),5,5,5,5,5
座位数(个),5,5,5,5,5
油箱容积(L),67,67,67,67,67
行李厢容积(L),500-1400,500-1400,500-1400,500-1400,500-1400
整备质量(kg),1880,1880,1850,1945,1850
发动机型号,N20B20,N20B20,N20B20,-,N20B20
排量(mL),1997,1997,1997,2979,1997
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
气缸排列形式,L,L,L,L,L
气缸数(个),4,4,4,6,4
每缸气门数(个),4,4,4,4,4
压缩比,10,10,10,-,10
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),84,84,84,84,84
行程(mm),90.1,90.1,90.1,89.6,90.1
最大马力(Ps),245,245,184,360,184
最大功率(kW)_y,180,180,135,265,135
最大功率转速(rpm),5000-6500,5000-6500,5000-6250,5800-6000,5000-6250
最大扭矩(N·m)_y,350,350,270,465,270
最大扭矩转速(rpm),1250-4800,1250-4800,1250-4500,1350-5250,1250-4500
发动机特有技术,Double VANOS/Valvetronic,Double VANOS/Valvetronic,Double VANOS/Valvetronic,Double VANOS/Valvetronic,Double VANOS/Valvetronic
燃料形式,汽油,汽油,汽油,汽油,汽油
燃油标号,95号,95号,95号,95号,95号
供油方式,直喷,直喷,直喷,直喷,直喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,欧V,欧V,欧V,欧V,欧V
挡位个数,8,8,8,8,8
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
四驱形式,全时四驱,全时四驱,全时四驱,全时四驱,全时四驱
中央差速器结构,多片离合器,多片离合器,多片离合器,多片离合器,多片离合器
前悬架类型,双球节弹簧减振支柱前桥,双球节弹簧减振支柱前桥,双球节弹簧减振支柱前桥,双球节弹簧减振支柱前桥,双球节弹簧减振支柱前桥
后悬架类型,五连杆后悬架,五连杆后悬架,五连杆后悬架,五连杆后悬架,五连杆后悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
前轮胎规格,245/50 R18 ,245/50 R18 ,245/50 R18 ,245/45 R19,245/50 R18 
后轮胎规格,245/50 R18 ,245/50 R18 ,245/50 R18 ,275/40 R19,245/50 R18 
备胎规格,无,无,无,无,无
