Feature,1012939,1012940,1012941,1012942,1012943,1012948,1012963,1012964,1012967,1013999
高度(mm),2525,2525,2525,2525,2525,2505,2525,2525,2555,2555
驾驶辅助影像,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-
长度(mm),5498,5498,5940,5940,5940,5498,5940,5940,5498,5498
长*宽*高(mm),5498×2062×2525,5498×2062×2525,5940×2062×2525,5940×2062×2525,5940×2062×2525,5498×2062×2505,5940×2062×2525,5940×2062×2525,5498×2062×2555,5498×2062×2555
钥匙类型,,,,,,,,,,
道路救援呼叫,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,
近光灯光源,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-
轴距(mm),3366,3366,3760,3760,3760,3366,3760,3760,3366,3366
轮圈材质,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,5,5,5,5
车载冰箱,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-
车身结构_y,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
车身结构_x,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,-,-,-,-,-,-,●,●,●,●
车型名称,上汽大通MAXUS EV90 2022款 VAN 长轴高顶3座72kWh,上汽大通MAXUS EV90 2022款 VAN 长轴高顶3座51.5kWh,上汽大通MAXUS EV90 2022款 VAN 加长轴高顶3座88.55kWh,上汽大通MAXUS EV90 2022款 VAN 加长轴高顶3座72kWh,上汽大通MAXUS EV90 2022款 VAN 加长轴高顶3座51.5kWh,上汽大通MAXUS EV90 2022款 COMBI 长轴高顶7座72kWh,上汽大通MAXUS EV90 2022款 BUS 普通版 加长轴高顶15座72kWh,上汽大通MAXUS EV90 2022款 BUS 普通版 加长轴高顶14座88.55kWh,上汽大通MAXUS EV90 2022款 BUS 普通版 长轴高顶9座72kWh,上汽大通MAXUS EV90 2022款 BUS 普通版 长轴高顶9座88.55kWh
车前雾灯,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-
级别,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-,-,-
第二排座椅电动调节,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,
空气悬架,-,-,-,-,-,-,○,○,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-
电池组质保,待查,待查,待查,待查,待查,待查,待查,待查,待查,待查
电池类型,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池
电池容量(kWh),72,51.5,88.55,72,51.5,72,72,88.55,72,88.55
电池充电时间,-,-,-,-,-,-,-,-,-,-
电机类型,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步
电机布局,-,-,-,-,-,-,-,-,-,-
电动机总扭矩(N·m),310,310,310,310,310,310,310,310,310,310
电动机总功率(kW),150,150,150,150,150,150,150,150,150,150
电动机(Ps),204,204,204,204,204,204,204,204,204,204
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-
电动吸合车门,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●
温度分区控制,-,-,-,-,-,-,-,-,-,-
油箱容积(L),-,-,-,-,-,-,-,-,-,-
最高车速(km/h),100,100,100,100,100,100,100,100,100,100
最小离地间隙(mm),168,168,172,172,172,187,178,178,180,180
最大载重质量(kg),-,-,-,-,-,-,-,-,-,-
最大满载质量(kg),-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m),310,310,310,310,310,310,310,310,310,310
最大功率(kW),150,150,150,150,150,150,150,150,150,150
无钥匙进入功能,,,,,,,,,,
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-,-,-,-,-
整车质保,-,-,-,-,-,-,-,-,-,-
整备质量(kg),2460,2300,2640,2520,2340,2670,2865,2930,2820,-
挡位个数,1,1,1,1,1,1,1,1,1,1
扬声器数量,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-
慢充时间(小时),8,6,9,8,6,8,8,9,8,9
感应雨刷功能,-,-,-,-,-,-,-,-,,
感应后备厢,-,-,-,-,-,-,-,-,-,-
快充电量百分比,80,80,80,80,80,80,80,80,80,80
快充电量(%),80,80,80,80,80,80,80,80,80,80
