Feature,50116,50117,50118,50119,51134,52681,53364,53974,53975,53976,53977
高度(mm),1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780
驾驶辅助影像,,,,,,-,,,,,
驾驶模式切换,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
面部识别,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850
长*宽*高(mm),4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780
钥匙类型,,,,,,,,,,,
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,-,-,-,-,-,-,-,-,-,-,-
远程启动功能,,,,,,-,-,,,,-
远光灯光源,,,,,,,,,,,
近光灯光源,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-
辅助驾驶芯片,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2880,2880,2880,2880,2880,2880,2880,2880,2880,2880,2880
轮圈材质,,,,,,,,,,,
转向辅助灯,●,●,●,●,●,-,-,●,●,●,●
转向头灯,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,●,●,●,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,●,-,●,●,●,-,-,-,●,●,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,○,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,5门7座MPV,5门7座MPV,5门7座MPV,5门4座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门6座MPV,5门6座MPV,5门6座MPV,5门5座MPV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,-,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,
车型名称,远志M1 2021款 7座尊享版,远志M1 2021款 7座梦想版,远志M1 2021款 7座贵宾版,远志M1 2021款 4座头等舱版,远志M1 2021款 7座 长续航行政版,远志M1 2021款 7座青春版,远志M1 2021款 7座享赢版,远志M1 2021款 6座梦想版,远志M1 2021款 6座贵宾版,远志M1 2021款 6座尊享版,远志M1 2021款 5座梦想版
车前雾灯,,,,,,-,-,,,,
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,-,,,,-,-,-,,,-
车内化妆镜,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-
车侧脚踏板,-,-,-,-,-,-,-,-,-,-,-
