,32953,32954,32955,32956
长*宽*高(mm),4300*1735*1504,4300*1735*1503,4300*1735*1503,4300*1735*1502
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
最高车速(km/h),175,180,175,180
官方0-100km/h加速(s),12.4,11.3,14,13.4
实测0-100km/h加速(s),-,-,-,-
实测100-0km/h制动(m),-,-,-,-
工信部综合油耗(L/100km),5.3,5.3,5.1,5.2
实测油耗(L/100km),-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
长度(mm),4300,4300,4300,4300
宽度(mm),1735,1735,1735,1735
高度(mm),1504,1503,1503,1502
轴距(mm),2500,2500,2500,2500
前轮距(mm),1477,1477,1477,1477
后轮距(mm),1468,1468,1468,1468
最小离地间隙(mm),130,126,126,126
车身结构_y,三厢车,三厢车,三厢车,三厢车
车门数(个),4,4,4,4
座位数(个),5,5,5,5
油箱容积(L),35,39,35,39
行李厢容积(L),366,366,366,366
整备质量(kg),1045,1067,1060,1073
发动机型号,LEW,L2B,LEW,L2B
排量(mL),1349,1485,1349,1485
进气形式,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L,L
气缸数(个),4,4,4,4
每缸气门数(个),4,4,4,4
压缩比,10.8,10.2,10.8,10.2
配气机构,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-
行程(mm),-,-,-,-
最大马力(Ps),103,113,103,113
最大功率(kW)_y,76,83,76,83
最大功率转速(rpm),6000,6000,6000,6000
最大扭矩(N·m)_y,127,141,127,141
最大扭矩转速(rpm),4000,4000,4000,4000
发动机特有技术,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,铸铁,铸铁
环保标准,国V,国V,国V,国V
挡位个数,5,5,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),机械式自动变速箱(AMT),机械式自动变速箱(AMT)
简称,5挡手动,5挡手动,5挡AMT,5挡AMT
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,鼓式,鼓式,鼓式,鼓式
驻车制动类型,手刹,手刹,手刹,手刹
前轮胎规格,175/70 R14,175/70 R14,175/70 R14,175/70 R14
后轮胎规格,175/70 R14,175/70 R14,175/70 R14,175/70 R14
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸
