Feature,30749,31553,31559,32695,32696,33047,33048,33676,33731,34265,34508,34509,34510,34934,34935,34936,34937,34939,34940,34941,34951,34952,36200,36752,36753
高度(mm),1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555,1552,1552,1542,1555,1555,1555,1555,-
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
驱动方式,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695,2695
长*宽*高(mm),2695*1663*1555,2695*1663*1555,2695*1663*1555,2695*1663*1555,2695*1663*1555,2695*1663*1555,2695*1663*1555,2695*1663*1555,2695*1663*1555,2695*1663*1555,2695*1663*1555,2695*1663*1555,2695*1663*1555,2695*1663*1555,2695*1663*1555,2695*1663*1555,2695*1663*1555,2695*1663*1552,2695*1663*1552,2695*1663*1542,2695*1663*1555,2695*1663*1555,2695*1663*1555,2695*1663*1555,2695*1663*未知
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远程启动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,自然吸气,自然吸气,涡轮增压,自然吸气,涡轮增压,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,自然吸气,自然吸气,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,涡轮增压
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,●,-,●,●,●
轴距(mm),1873,1873,1873,1873,1873,1873,1873,1873,1873,1873,1873,1873,1873,1873,1873,1873,1873,1873,1873,1873,1873,1873,1873,1873,1873
