Feature,1012400,1012401,1012402,1012403,1012404,1012405,1012409,1012410,1012411,1012412,1012413,1012414,1012415,1012416,1012417,1012421,1012422,1012423,1012424,1012425,1012426,1012427,1012428,1012429,1012430,1012431,1012432,1012433,1012434,1012435,1012436,1012437,1012438,1012439,1012440,1012441,1012442,1012443,1012444,1012445,1012446,1012447,1012448,1012449,1012450,1012451,1012452,1012453,1012454,1012455,1012456,1012457,1012458,1012459,1012460,1012461,1012462,1012463
高度(mm),2100,2635,2605,2115,2515,2485,2115,2415,2385,2100,2635,2605,2115,2515,2485,2115,2415,2385,2095,2095,2535,2635,2505,2605,2100,2100,2430,2530,2400,2500,2095,2095,2535,2635,2505,2605,2100,2100,2430,2530,2400,2500,2090,2090,2110,2110,2580,2580,2090,2090,2110,2110,2580,2580,2580,2680,2580,2680
驾驶辅助影像,,,,,,,,,,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-,-,-,,,-,-
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5300,5300,5300,5640,5640,5640,5480,5480,5480,5300,5300,5300,5640,5640,5640,5480,5480,5480,5300,5400,5300,5400,5300,5400,5480,5640,5480,5640,5480,5640,5300,5400,5300,5400,5300,5400,5480,5640,5480,5640,5480,5640,5300,5400,5480,5640,5480,5640,5300,5400,5480,5640,5480,5640,5300,5400,5300,5400
长*宽*高(mm),5300×1730×2100,5300×1730×2635,5300×1730×2605,5640×1730×2115,5640×1730×2515,5640×1730×2485,5480×1730×2115,5480×1730×2415,5480×1730×2385,5300×1730×2100,5300×1730×2635,5300×1730×2605,5640×1730×2115,5640×1730×2515,5640×1730×2485,5480×1730×2115,5480×1730×2415,5480×1730×2385,5300×1780×2095,5400×1780×2095,5300×1780×2535,5400×1780×2635,5300×1780×2505,5400×1780×2605,5480×1780×2100,5640×1780×2100,5480×1780×2430,5640×1780×2530,5480×1780×2400,5640×1780×2500,5300×1780×2095,5400×1780×2095,5300×1780×2535,5400×1780×2635,5300×1780×2505,5400×1780×2605,5480×1780×2100,5640×1780×2100,5480×1780×2430,5640×1780×2530,5480×1780×2400,5640×1780×2500,5300×1780×2090,5400×1780×2090,5480×1780×2110,5640×1780×2110,5480×1780×2580,5640×1780×2580,5300×1780×2090,5400×1780×2090,5480×1780×2110,5640×1780×2110,5480×1780×2580,5640×1780×2580,5300×1780×2580,5400×1780×2680,5300×1780×2580,5400×1780×2680
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3190,3190,3190,3400,3400,3400,3400,3400,3400,3190,3190,3190,3400,3400,3400,3400,3400,3400,3190,3190,3190,3190,3190,3190,3400,3400,3400,3400,3400,3400,3190,3190,3190,3190,3190,3190,3400,3400,3400,3400,3400,3400,3190,3190,3400,3400,3400,3400,3190,3190,3400,3400,3400,3400,3190,3190,3190,3190
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),2,2,2,4,4,4,4,4,4,2,2,2,4,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,2,2,4,4,4,4,2,2,4,4,4,4,2,2,2,2
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
