Feature,46528,46529,46530,46531,49438,49439,49441,53733,57266,57267,57282,57283
高度(mm),1455,1455,1455,1455,1435,1435,1455,1435,1435,1455,1455,1455
驾驶辅助影像,,,,,,,,,-,,-,-
驾驶模式切换,,,,,,,,,,,-,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
面部识别,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4635,4635,4635,4635,4635,4635,4635,4635,4635,4635,4635,4635
长*宽*高(mm),4635*1780*1455,4635*1780*1455,4635*1780*1455,4635*1780*1455,4635*1780*1435,4635*1780*1435,4635*1780*1455,4635*1780*1435,4635*1780*1435,4635*1780*1455,4635*1780*1455,4635*1780*1455
钥匙类型,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,-,-,-,-,-,-,-,-,-,-,-,-
远程启动功能,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,自然吸气,自然吸气,涡轮增压,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,●,-,-,-,-
辅助驾驶系统,,,,,,,,,,,,
辅助驾驶等级,,,,,,,,,,,-,
轴距(mm),2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
轮圈材质,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,
车型名称,卡罗拉 2021款 1.2T S-CVT 豪华版,卡罗拉 2021款 1.2T S-CVT 旗舰版,卡罗拉 2021款 双擎 1.8L E-CVT精英版,卡罗拉 2021款 双擎 1.8L E-CVT旗舰版,卡罗拉 2021款 TNGA 1.5L CVT精英版,卡罗拉 2021款 TNGA 1.5L CVT精英CARE版,卡罗拉 2021款 1.2T S-CVT精英PLUS版,卡罗拉 2021款 TNGA 1.5L CVT GR SPORT运动版,卡罗拉 2022款 TNGA 1.5L CVT先锋版,卡罗拉 2022款 1.2T S-CVT先锋PLUS版,卡罗拉 2022款 TNGA 1.5L 手动先锋版,卡罗拉 2022款 双擎 1.8L E-CVT先锋版
车前雾灯,,,,,,,,,,,,
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,-,-,-,-,-,-,-,-,-
语音识别控制系统,,,,,,,,,-,-,-,-
触摸式阅读灯,-,-,-,-,-,-,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,
行程(mm),74.5,74.5,88.3,88.3,97.6,97.6,74.5,97.6,97.6,74.5,97.6,88.3
行李厢12V电源接口,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,-,●
自动泊车入位,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●
膝部气囊,●,●,●,●,●,●,●,●,●,●,●,●
能量回收系统,-,-,●,●,-,-,-,-,-,-,-,●
能源类型,汽油,汽油,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油,油电混合
胎压监测功能,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),71.5,71.5,80.5,80.5,80.5,80.5,71.5,80.5,80.5,71.5,80.5,80.5
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
系统综合功率(kW),-,-,90,90,-,-,-,-,-,-,-,90
简称,CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),E-CVT无级变速,E-CVT无级变速,CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),6挡手动,E-CVT无级变速
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-
离去角(°),11,11,11,11,11,11,11,11,11,11,11,11
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-,-,-
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-
电池能量(kWh),-,-,-,-,-,-,-,-,-,-,-,-
电池组质保,-,-,八年或20万公里,八年或20万公里,-,-,-,-,-,-,-,八年或20万公里
电池类型,-,-,镍氢电池,镍氢电池,-,-,-,-,-,-,-,镍氢电池
电机类型,-,-,永磁/同步,永磁/同步,-,-,-,-,-,-,-,永磁/同步
电机布局,-,-,-,-,-,-,-,-,-,-,-,-
电动机总扭矩(N·m)_y,-,-,163,163,-,-,-,-,-,-,-,163
电动机总扭矩(N·m)_x,-,-,163,163,-,-,-,-,-,-,-,163
电动机总功率(kW),-,-,53,53,-,-,-,-,-,-,-,53
电动机(Ps),-,-,72,72,-,-,-,-,-,-,-,72
电动扰流板,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油,油电混合
灯光特色功能,-,-,-,-,-,-,-,-,-,-,-,-
满载最小离地间隙(mm),152,152,146,146,132,132,152,132,132,152,152,146
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,,,,,,,,,,,,
油箱容积(L),50,50,43,43,50,50,50,50,50,50,50,43
气缸数(个),4,4,4,4,3,3,4,3,3,4,3,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),180,180,160,160,180,180,180,180,180,180,180,160
最小转弯半径(m),5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.6,5.2
最大马力(Ps),116,116,98,98,121,121,116,121,121,116,121,98
最大满载质量(kg),1770,1770,1845,1845,1740,1740,1770,1740,1740,1770,1740,1845
最大扭矩转速(rpm),1500-4000,1500-4000,3600,3600,4600-5000,4600-5000,1500-4000,4600-5000,4600-5000,1500-4000,4600-5000,3600
最大扭矩(N·m),185,185,142,142,148,148,185,148,148,185,148,142
最大功率转速(rpm),5200-5600,5200-5600,5200,5200,6500-6600,6500-6600,5200-5600,6500-6600,6500-6600,5200-5600,6500-6600,5200
最大功率(kW)_y,85,85,72,72,89,89,85,89,89,85,89,72
最大功率(kW)_x,85,85,90,90,89,89,85,89,89,85,89,90
最大净功率(kW),85,85,72,72,89,89,85,89,89,85,89,72
无钥匙进入功能,,,,,-,-,-,-,-,-,-,-
无钥匙启动系统,●,●,●,●,●,●,●,●,-,●,-,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,●,-,-,-,-
