Feature,29396,29397,29398,29400,29401,35671,35672,35673,35674
高度(mm),1436,1436,1436,1436,1426,1436,1436,1436,1436
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
零胎压继续行驶,●,●,●,●,●,●,●,●,●
陡坡缓降,-,-,-,-,-,-,-,-,-
防紫外线玻璃,●,●,●,●,●,●,●,●,●
长度(mm),4643,4643,4643,4643,4639,4643,4643,4643,4643
长*宽*高(mm),4643*1860*1436,4643*1860*1436,4643*1860*1436,4643*1860*1436,4639*1873*1426,4643*1860*1436,4643*1860*1436,4643*1860*1436,4643*1860*1436
铝合金轮圈,●,●,●,●,●,●,●,●,●
配气机构,SOHC,SOHC,SOHC,SOHC,DOHC,SOHC,SOHC,SOHC,SOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-
远程启动,-,-,-,-,-,-,-,-,-
远光灯,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,双涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气
运动风格座椅,-,-,○,●,●,-,-,○,●
运动外观套件,-,-,-,-,-,-,-,-,-
轴距(mm),2820,2820,2820,2820,2820,2820,2820,2820,2820
转向辅助灯,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4
车道偏离预警系统,○,○,○,●,●,○,○,○,●
车载空气净化器,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门4座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●
车窗一键升降,全车,全车,全车,全车,全车,全车,全车,全车,全车
车型名称,Giulia 2017款 2.0T 200HP 精英版,Giulia 2017款 2.0T 200HP 豪华版,Giulia 2017款 2.0T 280HP 豪华版,Giulia 2017款 2.0T 280HP 豪华运动版,Giulia 2017款 2.9T 510HP 四叶草版,Giulia 2018款 2.0T 200HP 精英版 碳纤维限量版,Giulia 2018款 2.0T 200HP 豪华版 碳纤维限量版,Giulia 2018款 2.0T 280HP 豪华版 碳纤维限量版,Giulia 2018款 2.0T 280HP 豪华运动版 碳纤维限量版
车内空气调节/花粉过滤,○,○,○,○,○,○,○,○,○
车内氛围灯,-,●,●,●,●,-,●,●,●
车内中控锁,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●,●,●,●
行程(mm),-,-,-,-,82,-,-,-,-
行李厢容积(L),480,480,480,480,480,480,480,480,480
蓝牙/车载电话,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,●,-,-,-,-
自适应巡航,○,○,○,●,●,○,○,○,●
自动驻车,-,-,-,-,-,-,-,-,-
自动泊车入位,-,-,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●
膝部气囊,-,-,-,-,-,-,-,-,-
腰部支撑调节,●,●,●,●,●,●,●,●,●
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测装置,●,●,●,●,●,●,●,●,●
肩部支撑调节,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,86.5,-,-,-,-
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车
简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
第二排靠背角度调节,-,-,-,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-
空调控制方式,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●
空气悬架,-,-,-,-,-,-,-,-,-
皮质方向盘,●,●,●,●,●,●,●,●,●
疲劳驾驶提示,-,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-,-
电动座椅记忆,●,●,●,●,●,●,●,●,●
电动天窗,-,●,●,●,-,-,●,●,●
电动吸合门,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,●,●,●,●,●,●,●,●,●
流媒体车内后视镜,-,-,-,-,-,-,-,-,-
油箱容积(L),58,58,58,58,58,58,58,58,58
气缸数(个),4,4,4,4,6,4,4,4,4
气缸排列形式,L,L,L,L,V,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4
最高车速(km/h),235,235,240,240,307,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-,-,-,-
最大马力(Ps),200,200,280,280,510,200,200,280,280
