Feature,35293,36375,36376,36401,36402,36403
高度(mm),1530,1530,1530,1530,1530,1530
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
零胎压继续行驶,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-
长度(mm),3730,3730,3730,3730,3730,3730
长*宽*高(mm),3730*1650*1530,3730*1650*1530,3730*1650*1530,3730*1650*1530,3730*1650*1530,3730*1650*1530
铝合金轮圈,●,●,●,●,●,●
遮阳板化妆镜,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●
道路救援呼叫,-,-,●,-,-,-
远程启动,-,-,●,-,-,●
远光灯,卤素,卤素,卤素,卤素,卤素,卤素
近光灯,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-
轴距(mm),2410,2410,2410,2410,2410,2410
转向辅助灯,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5
车道偏离预警系统,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-
车载电视,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-
车身结构_y,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
车身结构_x,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-
车联网,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-
车窗一键升降,-,-,-,-,-,-
车型名称,奔奔EV 2019款 EV360 标准型,奔奔EV 2019款 EV360 时尚型,奔奔EV 2019款 EV360 豪华型,奔奔EV 2019款 EC260 标准型,奔奔EV 2019款 EC260 时尚型,奔奔EV 2019款 EC260 豪华型
车内空气调节/花粉过滤,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●
行李厢容积(L),147,147,147,147,147,147
蓝牙/车载电话,-,-,●,-,-,●
自适应远近光,-,-,-,-,-,-
自适应巡航,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-
自动泊车入位,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测装置,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-
级别,微型车,微型车,微型车,微型车,微型车,微型车
系统综合扭矩(N·m),-,-,-,-,-,-
系统综合功率(kW),-,-,-,-,-,-
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排靠背角度调节,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●
空气悬架,-,-,-,-,-,-
皮质方向盘,-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-
疲劳驾驶提示,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-
电池能量(kWh),-,-,-,-,-,-
电池组质保,8年或12万公里,8年或12万公里,8年或12万公里,8年或12万公里,8年或12万公里,8年或12万公里
电池类型,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池
电机类型,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步
电机布局,前置,前置,前置,前置,前置,前置
电动机总扭矩(N·m),170,170,170,150,150,150
电动机总功率(kW),55,55,55,30,30,30
电动座椅记忆,-,-,-,-,-,-
电动天窗,-,-,-,-,-,-
电动吸合门,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-
油箱容积(L),-,-,-,-,-,-
最高车速(km/h),125,125,125,105,105,105
最小离地间隙(mm),-,-,-,-,-,-
最大扭矩(N·m),170,170,170,150,150,150
最大功率(kW),55,55,55,30,30,30
无钥匙进入系统,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-
方向盘调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节
方向盘记忆,-,-,-,-,-,-
方向盘电动调节,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-
整车质保,三年或12万公里,三年或12万公里,三年或12万公里,三年或12万公里,三年或12万公里,三年或12万公里
整备质量(kg),-,-,-,-,-,-
挡位个数,1,1,1,1,1,1
扬声器品牌,-,-,-,-,-,-
扬声器个数,2-3喇叭,4-5喇叭,6-7喇叭,2-3喇叭,4-5喇叭,6-7喇叭
手机无线充电,-,-,-,-,-,-
手机互联/映射功能,-,-,●,-,-,●
慢充时间(小时)_y,-,-,-,-,-,-
慢充时间(小时)_x,-,-,-,-,-,-
感应雨刷,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-
快充电量百分比,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-
快充时间(小时)_y,-,-,-,-,-,-
快充时间(小时)_x,-,-,-,-,-,-
