Feature,23550,25962,25963,25965,30355,30356,32545,32547,32548,32549,32996,34933,35338,35339
高度(mm),1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4680,4680,4680,4680,4680,4680,4680,4705,4705,4705,4705,4705,4680,4680
长*宽*高(mm),4680*1800*1775,4680*1800*1775,4680*1800*1775,4680*1800*1775,4680*1800*1775,4680*1800*1775,4680*1800*1775,4705*1800*1775,4705*1800*1775,4705*1800*1775,4705*1800*1775,4705*1800*1775,4680*1800*1775,4680*1800*1775
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远程启动,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780,2780
转向辅助灯,-,-,-,-,-,-,-,-,-,●,-,-,●,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,●,-,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,-,-,●,●,●,-,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-,-,●,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,欧尚CX70 2016款 1.6L 手动豪华型,欧尚CX70 2016款 1.6L 手动都市型,欧尚CX70 2016款 1.6L 手动舒适型,欧尚CX70 2016款 1.6L 手动运动型,欧尚CX70 2016款 1.6L 手动智联型,欧尚CX70 2016款 1.6L 手动标准型,欧尚CX70 2017款 1.6L 手动精英型,欧尚CX70 2017款 改款 CX70T 1.5T 手动豪擎版,欧尚CX70 2017款 改款 CX70T 1.5T 手动尊擎版,欧尚CX70 2017款 改款 CX70T 1.5T 自动尊擎版,欧尚CX70 2017款 改款 CX70T 1.5T 自动豪擎版,欧尚CX70 2018款 CX70T 1.5T 自动天擎版,欧尚CX70 2018款 1.6L 手动尊贵型,欧尚CX70 2018款 改款 1.6L 手动致尊型
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-
行李厢容积(L),180,180,180,180,180,180,180,-,-,-,-,-,180,180
蓝牙/车载电话,●,-,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应巡航,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测装置,-,-,-,-,-,-,-,●,●,●,-,-,-,-
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铝合金,铝合金,铝合金,铝合金,铝合金,铸铁,铸铁
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡手动,6挡手动,6挡手自一体,6挡手自一体,6挡手自一体,5挡手动,5挡手动
第二排靠背角度调节,●,●,●,●,●,●,●,-,-,-,-,-,●,●
第二排独立座椅,●,-,●,●,●,-,●,●,●,●,●,-,●,●
第二排座椅移动,●,-,●,●,●,-,●,●,●,●,●,○,●,●
第三排座椅,2座,2座,2座,2座,2座,2座,2座,2座,2座,2座,2座,(选装2座),2座,2座
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,自动●,手动●,手动●,手动●,手动●
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,●,-,●,●,●,-,●,●,●,●,●,●,●,●
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动天窗,●,-,-,-,●,-,●,●,●,●,-,●,●,●
电动吸合门,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),●,-,-,●,●,●,-,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),48,48,48,48,48,48,48,48,48,48,48,-,48,48
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),160,160,160,160,160,160,-,-,-,-,-,-,-,-
最小离地间隙(mm),190,190,190,190,190,190,190,190,190,190,190,190,190,190
最大马力(Ps),117,117,117,117,117,117,117,150,150,150,150,150,117,117
最大扭矩转速(rpm),3500-4500,3500-4500,3500-4500,3500-4500,3500-4500,3500-4500,3500-4500,2000-4000,2000-4000,2000-4000,2000-4000,2000-4000,3500-4500,3500-4500
最大扭矩(N·m)_y,150,150,150,150,150,150,150,230,230,230,230,230,150,150
最大扭矩(N·m)_x,150,150,150,150,150,150,150,230,230,230,230,230,150,150
最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_y,86,86,86,86,86,86,86,110,110,110,110,110,86,86
最大功率(kW)_x,86,86,86,86,86,86,86,110,110,110,110,110,86,86
无钥匙进入系统,-,-,-,-,-,-,-,●,●,●,●,●,-,-
无钥匙启动系统,-,-,-,-,-,-,-,●,●,●,●,●,-,-
方向盘调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里
整备质量(kg),1490,1470,1470,1470,1490,-,-,1545,-,1575,1575,-,-,-
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-
排量(mL),1584,1584,1584,1584,1584,1584,1584,1499,1499,1499,1499,1499,1584,1584
挡位个数,5,5,5,5,5,5,5,6,6,6,6,6,5,5
扬声器品牌,-,-,-,-,-,-,-,-,-,-,-,-,-,-
扬声器个数,6-7喇叭,4-5喇叭,6-7喇叭,6-7喇叭,6-7喇叭,4-5喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭,6-7喇叭
手机无线充电,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射功能,●,-,●,●,●,●,●,●,●,●,●,●,●,●
感应雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,-,●,●,●,●,●,●,●,●,●,●,●,●
座椅材料,仿皮,织物,织物,织物,仿皮,织物,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮
座位数(个),7,7,7,7,7,7,7,7,7,7,7,5,7,7
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),7.9,7.9,7.9,7.9,7.9,7.9,-,7.4,7.4,7.6,7.6,-,-,-
工信部纯电续航里程(km),-,-,-,-,-,-,-,-,-,-,-,-,-,-
导航路况信息显示,-,-,-,-,-,-,-,●,●,●,-,-,-,-
宽度(mm),1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-
定速巡航,-,-,-,-,-,-,-,-,●,●,-,-,-,-
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提示,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-
夜视系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多天窗,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,●,-,●,●,●,-,●,●,●,●,●,●,●,●
外接音源接口,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB,USB,USB,USB,USB,USB+AUX,USB+AUX
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后轮距(mm),1505,1505,1505,1505,1505,1505,1505,1505,1505,1505,1505,1505,1505,1505
后轮胎规格,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜电动折叠,●,-,-,●,●,-,●,●,●,●,●,●,●,●
后视镜加热,-,-,-,-,●,-,-,-,●,●,-,-,-,-
后桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,●,●,●,●,●,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,螺旋弹簧五连杆式非独立悬架,螺旋弹簧五连杆式非独立悬架,螺旋弹簧五连杆式非独立悬架,螺旋弹簧五连杆式非独立悬架,螺旋弹簧五连杆式非独立悬架,螺旋弹簧五连杆式非独立悬架,螺旋弹簧五连杆式非独立悬架,螺旋弹簧五连杆式非独立悬架,螺旋弹簧五连杆式非独立悬架,螺旋弹簧五连杆式非独立悬架,螺旋弹簧五连杆式非独立悬架,螺旋弹簧五连杆式非独立悬架,螺旋弹簧五连杆式非独立悬架,螺旋弹簧五连杆式非独立悬架
后座出风口,●,-,●,●,●,-,●,●,●,●,●,●,●,●
后制动器类型,盘式,鼓式,鼓式,盘式,盘式,盘式,鼓式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可加热/制冷杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,6挡手动,6挡手动,6挡手自一体,6挡手自一体,6挡手自一体,5挡手动,5挡手动
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机特有技术,-,-,-,-,-,-,-,-,-,-,-,-,-,-
