Feature,1005330,1005331,1005586,1005587,1005588,1005589,1005590,1005591,1005592,1005593,1005609,1005610,1005611,1005612,1005959,1005960,1005961,1005962,1005963,1005964,1006250,1006251,1006252,1006253,1006254,1006255,1006256,1006257,1006327,1006328,1006329,1006330,1006814,1006815,1006816,1006817,1006888,1006889,1006890,1006891,1006892,1006893,1006894,1006895,1006896,1006897,1006898,1006899,1006900,1006901,1006902,1006903,1006904,1006905,1007227,1007228,1007229
高度(mm),1805,1805,1815,1815,1815,1815,1815,1815,1815,1815,1815,1815,1815,1815,1805,1805,1815,1815,1815,1815,1835,1835,1835,1835,1835,1835,1835,1835,1845,1845,1845,1845,1845,-,1845,-,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845
驱动方式,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5624,5624,5624,5624,5624,5624,5624,5624,5624,5624,5341,5624,5341,5624,5341,5624,5341,5624,5341,5624,5341,5624,5341,5624,5341,5624,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5341,5624,5341,5341
长*宽*高(mm),5341×1885×1805,5341×1885×1805,5341×1885×1815,5341×1885×1815,5341×1885×1815,5341×1885×1815,5341×1885×1815,5341×1885×1815,5341×1885×1815,5341×1885×1815,5624×1885×1815,5624×1885×1815,5624×1885×1815,5624×1885×1815,5624×1885×1805,5624×1885×1805,5624×1885×1815,5624×1885×1815,5624×1885×1815,5624×1885×1815,5341×1885×1835,5624×1885×1835,5341×1885×1835,5624×1885×1835,5341×1885×1835,5624×1885×1835,5341×1885×1835,5624×1885×1835,5341×1885×1845,5624×1885×1845,5341×1885×1845,5624×1885×1845,5341×1885×1845,5624×1885×,5341×1885×1845,5624×1885×,5341×1920×1845,5341×1920×1845,5341×1920×1845,5341×1920×1845,5341×1920×1845,5341×1920×1845,5341×1920×1845,5341×1920×1845,5341×1920×1845,5341×1920×1845,5341×1920×1845,5341×1920×1845,5341×1920×1845,5341×1920×1845,5341×1920×1845,5341×1920×1845,5341×1920×1845,5341×1920×1845,5624×1885×1845,5341×1885×1845,5341×1920×1845
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,DOHC,DOHC,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
遮阳板化妆镜,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,-,-,●,●,-,-,●,●,●,●,-,-,-,-,●,●,-,●,●,-,●,●,-,●,●,-,●,●,-,●,●,-,●,●,●
