Feature,30264,30265,30380,30381,30382,30383,30384,30385,30386,30388,30389,30390,35147,35148
高度(mm),1485,1480,1480,1480,1480,1480,1480,1480,1480,1485,1485,1485,1485,1480
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4630,4630,4630,4630,4630,4630,4630,4630,4630,4630,4630,4630,4630,4630
长*宽*高(mm),4630*1775*1485,4630*1775*1480,4630*1775*1480,4630*1775*1480,4630*1775*1480,4630*1775*1480,4630*1775*1480,4630*1775*1480,4630*1775*1480,4630*1775*1485,4630*1775*1485,4630*1775*1485,4630*1775*1485,4630*1775*1480
铝合金轮圈,●,●,-,-,●,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远程启动,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯,LED,LED,卤素,卤素,卤素,卤素,卤素,LED,LED,LED,LED,LED,LED,卤素
进气形式,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压
近光灯,LED,LED,卤素,卤素,卤素,卤素,卤素,LED,LED,LED,LED,LED,LED,卤素
运动风格座椅,●,●,●,●,●,●,●,●,●,-,-,●,-,●
