Feature,1003795,1003796,1003797,1006465,1006466,1006467
高度(mm),2320,2320,2285,2320,2320,2320
驱动电机数,-,-,-,-,-,-
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
零胎压继续行驶,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-
长度(mm),5990,5990,5990,5990,5990,5990
长*宽*高(mm),5990×1880×2320,5990×1880×2320,5990×1880×2285,5990×1880×2320,5990×1880×2320,5990×1880×2320
铝合金轮圈,●,●,●,●,●,●
配气机构,未知,未知,-,DOHC,DOHC,DOHC
遮阳板化妆镜,-,-,-,●,●,●
遥控钥匙,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,涡轮增压,自然吸气,-,自然吸气,涡轮增压,涡轮增压
近光灯,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-
轴距(mm),3720,3720,3720,3720,3720,3720
转向辅助灯,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4
车载电视,-,-,●,-,-,-
车载冰箱,○,○,○,-,-,-
车身结构_y,客车,客车,客车,客车,客车,客车
车身结构_x,客车,客车,客车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-
车型名称,九龙A6 2015款 2.8T豪华型JE4D28A,九龙A6 2015款 2.7L豪华型3TZ,九龙A6 2015款 纯电动,九龙A6 2018款 2.7L豪华型,九龙A6 2018款 2.0T豪华型,九龙A6 2018款 3.0T豪华型
车内空气调节/花粉过滤,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),-,-,-,-,-,-
行车电脑显示屏,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-
蓝牙/车载电话,-,-,●,●,●,●
自适应远近光,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-
能源类型,柴油,汽油,纯电动,汽油,汽油,柴油
胎压监测装置,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-
缸盖材料,未知,未知,-,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-
缸体材料,未知,未知,-,铸铁,铸铁,铸铁
级别,轻客,轻客,轻客,轻客,轻客,轻客
简称,5挡手动,5挡手动,电动车单速变速箱,5挡手动,6挡手动,6挡手动
第二排靠背角度调节,●,●,●,●,●,●
第二排座椅移动,-,-,-,-,-,-
第三排座椅,3座,3座,3座,-,-,-
