,31548,31803,31804,31840,31841,31842,31843,31844,31845,31846,31847,31848,35935,35936,35937,35938,35939,35940,35941
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
并线辅助,○,○,○,-,-,-,-,-,-,-,-,○,-,-,-,-,-,○,-
车道偏离预警系统,○,○,○,-,-,-,-,-,-,-,-,○,-,○,-,○,○,○,-
主动刹车/主动安全系统,○,○,○,-,-,-,-,-,-,-,-,○,-,○,-,○,○,○,-
夜视系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
倒车视频影像,●,●,●,-,●,●,-,○,●,●,●,●,●,●,○,●,●,●,●
全景摄像头,○,●,○,-,-,○,-,-,-,○,○,○,○,○,-,○,○,○,○
定速巡航,●,●,●,-,○,●,-,○,○,●,●,●,○,●,○,●,●,●,○
自适应巡航,○,○,○,-,-,-,-,-,-,-,-,-,-,○,-,○,○,○,-
自动泊车入位,○,○,○,-,-,-,-,-,-,○,○,○,○,○,○,○,○,○,○
发动机启停技术,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中央差速器锁止功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动天窗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
全景天窗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多天窗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,●,-,●,-,●,●,-,-,-,●,-,●,●,●,-,●,-,●,-
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电动吸合门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
侧滑门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,○,●,●,-,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
无钥匙进入系统,○,●,●,-,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
远程启动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节
方向盘电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘换挡,●,●,●,-,●,●,-,-,-,●,-,●,●,●,-,●,●,●,-
方向盘加热,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
全液晶仪表盘,●,●,●,-,-,●,-,-,-,●,●,●,-,●,○,●,●,●,○
HUD抬头数字显示,●,●,●,-,-,○,-,-,-,○,○,●,○,○,○,○,○,●,○
内置行车记录仪,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动降噪,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电,○,○,-,-,-,-,-,-,-,-,○,○,○,○,○,○,○,○,○
座椅材质,真皮,真皮,真皮,仿皮,皮/织物混搭(选装真皮),皮/织物混搭(选装真皮),仿皮(选装真皮),仿皮(选装真皮),仿皮(选装真皮),仿皮(选装真皮),仿皮(选装真皮),仿皮(选装真皮),真皮,真皮,仿皮(选装真皮),仿皮(选装真皮),仿皮(选装真皮),仿皮(选装真皮),仿皮(选装真皮)
运动风格座椅,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅高低调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
腰部支撑调节,●,●,●,-,○,○,-,○,○,○,○,○,○,○,○,○,○,○,○
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
第二排靠背角度调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副驾驶位后排可调节按钮,●,●,-,-,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●
电动座椅记忆,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
前/后排座椅加热,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前○&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排座椅通风,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
可加热/制冷杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GPS导航系统,●,●,●,-,-,●,-,-,-,●,●,●,-,●,-,●,●,●,-
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
中控台彩色大屏,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
中控台彩色大屏尺寸,8.8英寸,8.8英寸,8.8英寸,6.5英寸,6.5英寸,8.8英寸,-,-,-,8.8英寸,8.8英寸,8.8英寸,6.5英寸,8.8英寸,8.8英寸,8.8英寸,8.8英寸,8.8英寸,8.8英寸
中控液晶屏分屏显示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
手机互联/映射,○,○,○,-,-,○,-,-,-,○,○,○,-,●,●,●,●,●,●
车联网,●,●,●,-,-,●,○,○,○,●,●,●,-,●,●,●,●,●,●
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外接音源接口,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB
CD/DVD,单碟CD,单碟CD,单碟CD,-,-,单碟CD,-,-,-,单碟CD,单碟CD,单碟CD,-,单碟CD,单碟CD,单碟CD,单碟CD,单碟CD,单碟CD
扬声器品牌,harman/kardon哈曼卡顿,harman/kardon哈曼卡顿,harman/kardon哈曼卡顿,-,-,harman/kardon哈曼卡顿,-,-,-,(选装harman/kardon哈曼卡顿),(选装harman/kardon哈曼卡顿),harman/kardon哈曼卡顿,(选装harman/kardon哈曼卡顿),harman/kardon哈曼卡顿,(选装harman/kardon哈曼卡顿),(选装harman/kardon哈曼卡顿),(选装harman/kardon哈曼卡顿),harman/kardon哈曼卡顿,(选装harman/kardon哈曼卡顿)
扬声器数量,≥12喇叭,≥12喇叭,≥12喇叭,4-5喇叭,4-5喇叭(选装6-7喇叭),≥12喇叭,4-5喇叭,4-5喇叭(选装6-7喇叭),4-5喇叭(选装6-7喇叭),6-7喇叭(选装≥12喇叭),6-7喇叭(选装≥12喇叭),≥12喇叭,4-5喇叭(选装6-7喇叭+≥12喇叭),≥12喇叭,4-5喇叭(选装6-7喇叭+≥12喇叭),6-7喇叭(选装≥12喇叭),6-7喇叭(选装≥12喇叭),≥12喇叭,4-5喇叭(选装6-7喇叭+≥12喇叭)
近光灯,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED
远光灯,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED
LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前雾灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内氛围灯,●,●,●,-,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
防紫外线/隔热玻璃,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜加热,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
内/外后视镜自动防眩目,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,-,内●&nbsp;/&nbsp;外○,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外○,内●&nbsp;/&nbsp;外○,内●&nbsp;/&nbsp;外○,内●&nbsp;/&nbsp;外○,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外○,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外-,内●&nbsp;/&nbsp;外○,内●&nbsp;/&nbsp;外○,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外○
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后视镜电动折叠,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后视镜记忆,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,●,●,-,-,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调控制方式,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,宝马3系 2018款 330Li M运动曜夜版,宝马3系 2018款 330Li xDrive 豪华套装,宝马3系 2018款 330i M运动曜夜版,宝马3系 2018款 318i,宝马3系 2018款 320i M运动套装,宝马3系 2018款 320i M运动曜夜版,宝马3系 2018款 318Li,宝马3系 2018款 320Li 时尚型,宝马3系 2018款 320Li xDrive 时尚型,宝马3系 2018款 320Li 领先型M运动套装,宝马3系 2018款 320Li 领先型豪华套装,宝马3系 2018款 320Li M运动曜夜版,宝马3系 2019款 320i M运动套装,宝马3系 2019款 320i M运动曜夜版,宝马3系 2019款 320Li 时尚型,宝马3系 2019款 320Li M运动套装,宝马3系 2019款 320Li M豪华套装,宝马3系 2019款 320Li M运动曜夜版,宝马3系 2019款 320Li xDrive 时尚型
厂商指导价(元),42.98万,48.38万,44.68万,28.68万,31.68万,34.68万,30.98万,32.38万,34.68万,34.98万,34.98万,36.68万,31.68万,34.68万,32.38万,34.98万,34.98万,36.68万,34.68万
厂商,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马,华晨宝马
级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2017.09,2017.09,2017.09,2018.09,2017.09,2017.09,2017.09,2017.09,2017.09,2017.09,2017.09,2017.09,2018.09,2018.09,2018.09,2018.09,2018.09,2018.09,2018.09
工信部纯电续驶里程(km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_x,185,185,185,100,135,135,100,135,135,135,135,135,135,135,135,135,135,135,135
最大扭矩(N·m)_x,350,350,350,220,270,270,220,270,270,270,270,270,270,270,270,270,270,270,270
发动机,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 252马力 L4,1.5T 136马力 L3,2.0T 184马力 L4,2.0T 184马力 L4,1.5T 136马力 L3,2.0T 184马力 L4,2.0T 184马力 L4,2.0T 184马力 L4,2.0T 184马力 L4,2.0T 184马力 L4,2.0T 184马力 L4,2.0T 184马力 L4,2.0T 184马力 L4,2.0T 184马力 L4,2.0T 184马力 L4,2.0T 184马力 L4,2.0T 184马力 L4
变速箱,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
长*宽*高(mm),4760*1811*1455,4753*1811*1458,4650*1811*1455,4643*1811*1454,4650*1811*1454,4650*1811*1454,4753*1811*1453,4753*1811*1455,4753*1811*1458,4760*1811*1455,4753*1811*1455,4760*1811*1455,4650*1811*1454,4650*1811*1454,4753*1811*1455,4760*1811*1455,4760*1811*1455,4760*1811*1455,4753*1811*1458
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
最高车速(km/h),250,250,250,210,235,235,210,235,230,235,235,235,235,235,235,235,235,235,230
官方0-100km/h加速(s),6.3,6,5.9,9.2,7.3,7.3,9.9,7.9,8.4,7.9,7.9,7.9,7.3,7.3,7.9,7.9,7.9,7.9,8.4
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),6.3,6.8,6.3,5.8,6.2,6.2,5.9,6.2,6.7,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.7
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
长度(mm),4760,4753,4650,4643,4650,4650,4753,4753,4753,4760,4753,4760,4650,4650,4753,4760,4760,4760,4753
宽度(mm),1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811
高度(mm),1455,1458,1455,1454,1454,1454,1453,1455,1458,1455,1455,1455,1454,1454,1455,1455,1455,1455,1458
轴距(mm),2920,2920,2810,2810,2810,2810,2920,2920,2920,2920,2920,2920,2810,2810,2920,2920,2920,2920,2920
前轮距(mm),-,-,-,1543,1543,1543,1543,1543,-,-,1543,-,1543,1543,1543,-,-,-,-
后轮距(mm),-,-,-,1583,1583,1583,1583,1583,-,-,1583,-,1583,1583,1583,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
油箱容积(L),60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
行李厢容积(L),480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480
整备质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机型号,B48B20D,B48B20D,B48B20D,B38B15C,B48B20C,B48B20C,B38B15C,B48B20C,B48B20C,B48B20C,B48B20C,B48B20C,B48B20C,B48B20C,B48B20C,B48B20C,B48B20C,B48B20C,B48B20C
排量(mL),1998,1998,1998,1499,1998,1998,1499,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
压缩比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),252,252,252,136,184,184,136,184,184,184,184,184,184,184,184,184,184,184,184
最大功率(kW)_y,185,185,185,100,135,135,100,135,135,135,135,135,135,135,135,135,135,135,135
