Feature,57645,58377,59195,59196,59197,59198,59199,60103,60484,60582
高度(mm),2013,1947,1903,1903,1903,1903,1903,1947,1903,1958
驾驶辅助影像,,,,,,,,,,
驾驶模式切换,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
面部识别,-,-,-,-,-,-,●,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●
限滑差速器/差速锁,,,,,-,-,,,,
长度(mm),4772,4762,4760,4760,4760,4760,4760,4730,4760,4679
长*宽*高(mm),4772*1970*2013,4762*1973*1947,4760*1930*1903,4760*1930*1903,4760*1930*1903,4760*1930*1903,4760*1930*1903,4730*2020*1947,4760*1930*1903,4679*1967*1958
钥匙类型,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遥控泊车,-,-,-,-,-,●,●,-,●,-
道路救援呼叫,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,,
远光灯光源,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,●
辅助驾驶等级,,,,,,,,,,
轴距(mm),2750,2750,2750,2750,2750,2750,2750,2750,2750,2750
轮圈材质,,,,,,,,,,
转向辅助灯,●,●,●,●,●,●,●,●,●,●
转向头灯,-,-,-,-,-,-,-,-,-,-
车顶行李架,●,●,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,●,●,-,●,-
车载冰箱,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,
车型名称,坦克300 2022款 2.0T 边境限定版,坦克300 2022款 2.0T 坦克游侠,坦克300 2023款 越野版 2.0T 挑战者,坦克300 2023款 越野版 2.0T 征服者,坦克300 2023款 城市版 2.0T 我看型,坦克300 2023款 城市版 2.0T 很有型,坦克300 2023款 城市版 2.0T 必须型,坦克300 2023款 2.0T 铁骑02,坦克300 2023款 2.0T 20万辆纪念版,坦克300 2023款 2.0T 赛博骑士
车前雾灯,,,,,,,,,,
车内香氛装置,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,,,,,,,,,
车内化妆镜,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,●,●,●,●,●,●,●,●
车侧脚踏板,,,,,,,,,,
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
负离子发生器,-,-,-,-,-,●,●,-,●,-
语音识别控制系统,,,,,,,,,,
触摸式阅读灯,-,-,-,-,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,
行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●
蠕行模式,●,●,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●
自动泊车入位,-,-,-,-,-,●,●,-,●,-
自动头灯,●,●,●,●,●,●,●,●,●,●
膝部气囊,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
第二排独立座椅,-,-,-,-,-,-,-,-,-,-
第二排座椅调节,,,,,,,,,,
第二排座椅电动调节,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,-,-,-,-,-,-,-,-,,-
空调温度控制方式,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-
离去角(°),37,32,34,34,34,34,34,32,34,26
疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●
电磁感应悬架,-,-,-,-,-,-,-,-,-,-
电动扰流板,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,,-,-,-
电动吸合车门,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
灯光特色功能,,,,,,,,,,
满载最小离地间隙(mm),249,244,224,224,224,224,224,238,224,-
温度分区控制,●,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,,,
油箱容积(L),-,-,80,80,80,80,80,-,80,-
气缸数(个),4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4
最高车速(km/h),160,160,170,170,170,170,170,160,170,-
最大马力(Ps),227,227,227,227,227,227,227,227,227,227
最大爬坡角度(°),-,-,-,-,-,-,-,-,-,35
最大爬坡度(%),-,-,-,-,-,-,-,-,-,70
最大满载质量(kg),2744,2710,2552,2552,2552,2552,2552,2805,2552,-
最大扭矩转速(rpm),1800-3600,1800-3600,1800-3600,1800-3600,1800-3600,1800-3600,1800-3600,1800-3600,1800-3600,1800-3600
最大扭矩(N·m)_y,387,387,387,387,387,387,387,387,387,387
最大扭矩(N·m)_x,387,387,387,387,387,387,387,387,387,387
最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
最大功率(kW)_y,167,167,167,167,167,167,167,167,167,167
最大功率(kW)_x,167,167,167,167,167,167,167,167,167,167
最大净功率(kW),162,162,162,162,162,162,162,162,162,162
无钥匙进入功能,,,,,,,,,,
