Feature,1011855,1012574,1012575,1012576,1012579,1012580,1012581,1012582,1013384,1014105,1014106,1014107,1014108,1014109,1015497,1015498,1015501,1015502
高度(mm),1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685,1685
驾驶辅助影像,,,,,,,,,,-,-,-,-,-,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),3490,3490,3490,3490,3490,3490,3490,3490,3490,3490,3490,3490,3490,3490,3490,3490,3490,3490
长*宽*高(mm),3490×1465×1685,3490×1465×1685,3490×1465×1685,3490×1465×1685,3490×1465×1685,3490×1465×1685,3490×1465×1685,3490×1465×1685,3490×1465×1685,3490×1465×1685,3490×1465×1685,3490×1465×1685,3490×1465×1685,3490×1465×1685,3490×1465×1685,3490×1465×1685,3490×1465×1685,3490×1465×1685
钥匙类型,,,,,,,,,,,,,,,,,,
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350
轮圈材质,,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,橙仕01 2021款 财富版+3.3KW空调单排封闭式货车单人座双电池,橙仕01 2021款 财富版+3.3KW空调单排封闭式货车双人座双电池,橙仕01 2021款 创富版单排封闭式货车单人座单电池,橙仕01 2021款 创富版单排封闭式货车双人座单电池,橙仕01 2021款 财富版+3.3KW单排封闭式货车单人座双电池,橙仕01 2021款 财富版+3.3KW单排封闭式货车双人座双电池,橙仕01 2021款 创富版+3.3KW单排封闭式货车单人座单电池,橙仕01 2021款 创富版+3.3KW单排封闭式货车双人座单电池,橙仕01 2021款 标准型双排封闭式货车单电池,橙仕01 2022款 财富版+3.3KW空调单排封闭式货车双人座双电池,橙仕01 2022款 财富版+3.3KW单排封闭式货车单人座双电池,橙仕01 2022款 创富版+3.3KW单排封闭式货车双人座单电池,橙仕01 2022款 创富版单排封闭式货车单人座单电池,橙仕01 2022款 标准型双排封闭式货车单电池,2023款 轻享版1.5kW充电单排封闭式货车1座,2023款 轻享版1.5kW充电单排封闭式货车2座,2023款 尊享版3.3KW充电单排封闭式货车1座,2023款 尊享版3.3KW充电单排封闭式货车2座
