Feature,1007813,1007814,1009245,1009246,1010468,1010469,1010470,1010471,1010472,1010473,1010474,1010475,1012069,1012149,1012150,1012151,1014267,1014268,1014269,1014270,1014271,1014272,1014273,1014274,1014275,1014276,1014277,1014278,1015450,1015731,1015732,1015733,1015734,1015735,1015736,1015737,1015738,1015739,1015782,1015783,1015784,1015785,1015786,1015787
高度(mm),1900,1900,1900,1900,1970,1980,1970,1980,1970,1980,1970,1980,1990,2010,1990,2010,1970,1980,1970,1980,1970,1980,1970,1980,1970,1980,1970,1980,1900,1900,1970,1970,1980,1980,1990,1990,2010,2010,1900,1900,1970,1980,1970,1980
驾驶辅助影像,-,-,-,-,-,-,,,-,-,,,-,-,,,,,-,-,,,-,-,,,-,-,-,-,-,,-,,-,,-,,-,-,-,-,,
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5220,5220,5220,5220,5550,5550,5550,5550,5550,5550,5550,5550,5490,5490,5490,5490,5550,5550,5550,5550,5550,5550,5550,5550,5550,5550,5550,5550,5220,5220,5500,5500,5500,5500,5490,5490,5490,5490,5220,5220,5500,5500,5500,5500
长*宽*高(mm),5220×1760×1900,5220×1760×1900,5220×1760×1900,5220×1760×1900,5550×1760×1970,5550×1760×1980,5550×1760×1970,5550×1760×1980,5550×1760×1970,5550×1760×1980,5550×1760×1970,5550×1760×1980,5490×1880×1990,5490×1880×2010,5490×1880×1990,5490×1880×2010,5550×1760×1970,5550×1760×1980,5550×1760×1970,5550×1760×1980,5550×1760×1970,5550×1760×1980,5550×1760×1970,5550×1760×1980,5550×1760×1970,5550×1760×1980,5550×1760×1970,5550×1760×1980,5220*1760*1900,5220*1760*1900,5500*1760*1970,5500*1760*1970,5500*1760*1980,5500*1760*1980,5490*1880*1990,5490*1880*1990,5490*1880*2010,5490*1880*2010,5220*1760*1900,5220*1760*1900,5500*1760*1970,5500*1760*1980,5500*1760*1970,5500*1760*1980
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,,,,,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350,3350
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门数(个),4,2,4,2,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,2,4,4,2,2,4,4,2,4,2,4,2,4
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
