Feature,1005608,1005722,1005723,1005724,1005725,1005726,1005727,1005728,1005729,1005730,1005731,1005732,1005733,1005734,1005735,1005736,1005737,1005738,1006720,1006721,1006722,1006723,1006724,1007589,1007590,1007591,1007592,1007593,1007594,1007595,1007596,1007597,1007598,1007599,1007600,1007601,1007602,1007603,1007604
高度(mm),1785,1785,1785,1785,1785,1785,1785,1785,1785,1785,1785,1785,1785,1785,1785,1785,1785,1785,1785,1785,1785,1785,1785,1830,1830,1785,1785,1830,1830,1785,1785,1830,1830,1785,1785,1830,1830,1785,1785
驱动方式,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5590,5305,5590,5305,5590,5305,5590,5190,5305,5190,5305,5590,5305,5590,5305,5590,5305,5590,5305,5590,5305,5590,5190,5330,5615,5330,5615,5330,5615,5330,5615,5330,5615,5330,5615,5330,5615,5330,5615
长*宽*高(mm),5590×1860×1785,5305×1860×1785,5590×1860×1785,5305×1860×1785,5590×1860×1785,5305×1860×1785,5590×1860×1785,5190×1860×1785,5305×1860×1785,5190×1860×1785,5305×1860×1785,5590×1860×1785,5305×1860×1785,5590×1860×1785,5305×1860×1785,5590×1860×1785,5305×1860×1785,5590×1860×1785,5305×1860×1785,5590×1860×1785,5305×1860×1785,5590×1860×1785,5190×1860×1785,5330×1860×1830,5615×1860×1830,5330×1860×1785,5615×1860×1785,5330×1860×1830,5615×1860×1830,5330×1860×1785,5615×1860×1785,5330×1860×1830,5615×1860×1830,5330×1860×1785,5615×1860×1785,5330×1860×1830,5615×1860×1830,5330×1860×1785,5615×1860×1785
铝合金轮圈,●,●,●,●,●,●,●,-,●,-,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
