Feature,62569,62570,62571,62572,62573
高度(mm),1449,1449,1449,1449,1449
高压快充,-,-,-,支持,支持
驾驶辅助影像,,,,,
驾驶模式切换,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,单电机,单电机
驱动方式,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱
首任车主质保政策,-,-,-,-,-
面部识别,●,●,●,●,●
隐藏电动门把手,●,●,●,●,●
陡坡缓降,-,-,-,-,-
长度(mm),4886,4886,4886,4886,4886
长*宽*高(mm),4886*1885*1449,4886*1885*1449,4886*1885*1449,4886*1885*1449,4886*1885*1449
钥匙类型,,,,,
道路救援呼叫,●,●,●,●,●
道路交通标识识别,●,●,●,●,●
远程启动功能,,,,,
远光灯光源,,,,,
近光灯光源,,,,,
辅助驾驶系统,,,,,
辅助驾驶等级,,,,,
轴距(mm),2920,2920,2920,2920,2920
轮圈材质,,,,,
车门数(个),4,4,4,4,4
车门开启方式,平开门,剪刀门+平开门,平开门,平开门,剪刀门+平开门
车道居中保持,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●
车载空气净化器,-,●,●,●,●
车载智能系统,,,,,
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●
车窗一键升降功能,,,,,
车机智能芯片,,,,,
车型名称,昊铂Hyper GT 2023款 560科技版,昊铂Hyper GT 2023款 560七翼版,2023款 600充换版,昊铂Hyper GT 2023款 710超充版,昊铂Hyper GT 2023款 710超充Max版
车前雾灯,-,-,-,-,-
车内香氛装置,-,●,●,●,●
车内环境氛围灯,-,,,,
车内化妆镜,,,,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,,,,,
触摸式阅读灯,●,●,●,●,●
行车电脑显示屏幕,,,,,
蓝牙/车载电话,●,●,●,●,●
自适应远近光,-,-,-,-,-
自动驻车,●,●,●,●,●
自动头灯,●,●,●,●,●
能量回收系统,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,
缺气保用轮胎,-,-,-,-,-
级别,中大型车,中大型车,中大型车,中大型车,中大型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-
空调温度控制方式,,,,,
离去角(°),14,14,14,14,14
百公里耗电量(kWh/100km),11.9,11.9,12.9,12.7,12.7
疲劳驾驶提示,●,●,●,●,●
电池预加热,●,●,●,●,●
电池能量(kWh),60,60,70,80,80
电池组质保,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）,首任车主不限年限/里程（责任免除条款以官方为准）
电池类型,三元锂电池,三元锂电池,磷酸铁锂电池,三元锂电池,三元锂电池
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置,后置,后置
电动机总扭矩(N·m),355,355,355,430,430
电动机总功率(kW),180,180,180,250,250
电动机总功率(Ps),245,245,245,340,340
电动机(Ps),245,245,245,340,340
电动扰流板,○,●,○,○,●
电动座椅记忆功能,,,,,
电动吸合车门,,,,,
电动后备厢位置记忆,●,●,●,●,●
电动后备厢,●,●,●,●,●
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●
激光雷达数量,-,-,-,-,
温度分区控制,●,●,●,●,●
液晶仪表尺寸,,,,,
毫米波雷达数量,,,,,
杜比全景声(Dolby Atmos),●,●,●,●,●
最高车速(km/h),180,180,180,180,180
最大满载质量(kg),2400,2400,2400,2400,2400
最大扭矩(N·m),355,355,355,430,430
最大功率(kW),180,180,180,250,250
无钥匙进入功能,,,,,
无钥匙启动系统,●,●,●,●,●
无框设计车门,●,●,●,●,●
方向盘记忆,-,-,-,-,-
方向盘材质,,,,,
方向盘换挡,-,-,-,-,-
