Feature,47295,47296,47297,47298,47299,47300,47301,48387,48390,48391,54239,54240,54241,56476,56477,56478,56479,56480,56481,56482
高度(mm),1423,1428,1428,1428,1417,1432,1427,1423,1428,1428,1423,1428,1428,1423,1428,1428,1428,1423,1428,1428
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5049,5199,5049,5199,5053,5199,5049,5049,5199,5049,5049,5199,5199,5049,5199,5049,5199,5049,5049,5199
长*宽*高(mm),5049*1937*1423,5199*1937*1428,5049*1937*1428,5199*1937*1428,5053*1937*1417,5199*1937*1432,5049*1937*1427,5049*1937*1423,5199*1937*1428,5049*1937*1428,5049*1937*1423,5199*1937*1428,5199*1937*1428,5049*1937*1423,5199*1937*1428,5049*1937*1428,5199*1937*1428,5049*1937*1423,5049*1937*1428,5199*1937*1428
钥匙类型,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
道路交通标识识别,○,○,○,○,○,○,○,○,○,○,-,-,-,○,○,○,○,○,○,○
远程启动功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,
进气形式,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,
运动风格座椅,○,-,○,-,●,-,○,○,-,○,○,-,-,○,-,○,-,○,○,-
运动外观套件,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
辅助驾驶芯片,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2950,3100,2950,3100,2950,3100,2950,2950,3100,2950,2950,3100,3100,2950,3100,2950,3100,2950,2950,3100
轮圈材质,,,,,,,,,,,,,,,,,,,,
