Feature,59485,59486,59487,59488,59489,59490,59491,59492,59493,59494,59495,62169,62170,62171,62172,62173,62174,62175,62176,62177,62178,62179
高度(mm),1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469
驾驶辅助影像,-,,,,,,,,,,,-,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4948,4948,4948,4948,4948,4948,4948,4948,4948,4948,4948,4948,4948,4948,4948,4948,4948,4948,4948,4948,4948,4948
长*宽*高(mm),4948*1836*1469,4948*1836*1469,4948*1836*1469,4948*1836*1469,4948*1836*1469,4948*1836*1469,4948*1836*1469,4948*1836*1469,4948*1836*1469,4948*1836*1469,4948*1836*1469,4948*1836*1469,4948*1836*1469,4948*1836*1469,4948*1836*1469,4948*1836*1469,4948*1836*1469,4948*1836*1469,4948*1836*1469,4948*1836*1469,4948*1836*1469,4948*1836*1469
钥匙类型,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
道路交通标识识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远程启动功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
辅助驾驶系统,-,-,-,,,,,,,,,-,-,-,,,,,,,,
辅助驾驶等级,-,-,-,,,,,,,,,-,-,-,,,,,,,,
轴距(mm),2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871
轮圈材质,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,●,●,●,●,●,●,-,-,-,-,-,●,●,●,●,●,●
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,○,○,●,●,●,●,●,●,-,-,-,○,○,●,●,●,●,●,●
车道保持辅助系统,-,-,-,○,○,●,●,●,●,●,●,-,-,-,○,○,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载智能系统,,,,,,,,,,,,,,,,,,,,,,
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,,,,,
车型名称,帕萨特 2023款 280TSI 商务版,帕萨特 2023款 280TSI 精英版,帕萨特 2023款 280TSI 星空精英版,帕萨特 2023款 330TSI 精英版,帕萨特 2023款 330TSI 星空精英版,帕萨特 2023款 330TSI 豪华版,帕萨特 2023款 330TSI 星空豪华版,帕萨特 2023款 330TSI 尊贵版,帕萨特 2023款 330TSI 星空尊贵版,帕萨特 2023款 380TSI 豪华版,帕萨特 2023款 380TSI 旗舰版,帕萨特 2023款 改款 280TSI 商务版,帕萨特 2023款 改款 280TSI 精英版,帕萨特 2023款 改款 280TSI 星空精英版,帕萨特 2023款 改款 330TSI 精英版,帕萨特 2023款 改款 330TSI 星空精英版,帕萨特 2023款 改款 330TSI 豪华版,帕萨特 2023款 改款 330TSI 星空豪华版,帕萨特 2023款 改款 330TSI 尊贵版,帕萨特 2023款 改款 330TSI 星空尊贵版,帕萨特 2023款 改款 380TSI 豪华版,帕萨特 2023款 改款 380TSI 旗舰版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,,,,,,,-,-,-,-,-,,,,,,
车内化妆镜,,,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
语音识别控制系统,-,,,,,,,,,,,-,,,,,,,,,,
触摸式阅读灯,-,-,-,●,●,●,●,●,●,●,●,-,-,-,●,●,●,●,●,●,●,●
被动行人保护,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,
行李厢12V电源接口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,●,●,●,●,●,●,-,-,-,-,-,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,-,-,-,-,-,●,●,●,●,●,●,-,-,-,-,-,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
膝部气囊,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,●
能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铝合金,铝合金,铝合金,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车
简称,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡干式双离合,7挡干式双离合,7挡干式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,-,-,-,-,-,-,-,,,-,,-,-,-,-,-,-,-,,,-,
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
离去角(°),14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
疲劳驾驶提示,-,-,-,-,-,-,-,●,●,-,●,-,-,-,-,-,-,-,●,●,-,●
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动扰流板,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,,,,,,,-,-,-,-,-,,,,,,
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,●,●,●,●,●,●,-,-,-,-,-,●,●,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
灯光特色功能,-,-,-,-,-,,,,,,,-,-,-,-,-,,,,,,
温度分区控制,-,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,,,,,,,,,,,,,,,
油箱容积(L),68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210
最大马力(Ps),150,150,150,186,186,186,186,186,186,220,220,150,150,150,186,186,186,186,186,186,220,220
最大满载质量(kg),1945,1945,1945,2060,2060,2060,2060,2060,2060,2080,2080,1945,1945,1945,2060,2060,2060,2060,2060,2060,2080,2080
最大扭矩转速(rpm),1750-3000,1750-3000,1750-3000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4000,1500-4400,1500-4400,(1750-3000)±200,(1750-3000)±200,(1750-3000)±200,1500-4050,1500-4050,1500-4050,1500-4050,1500-4050,1500-4050,1600-4300,1600-4300
最大扭矩(N·m)_y,250,250,250,320,320,320,320,320,320,350,350,250,250,250,320,320,320,320,320,320,350,350
最大扭矩(N·m)_x,250,250,250,320,320,320,320,320,320,350,350,250,250,250,320,320,320,320,320,320,350,350
最大功率转速(rpm),5000,5000,5000,4100-6000,4100-6000,4100-6000,4100-6000,4100-6000,4100-6000,4500-6200,4500-6200,5000±200,5000±200,5000±200,4150-6000,4150-6000,4150-6000,4150-6000,4150-6000,4150-6000,4900-6700,4900-6700
最大功率(kW)_y,110,110,110,137,137,137,137,137,137,162,162,110,110,110,137,137,137,137,137,137,162,162
最大功率(kW)_x,110,110,110,137,137,137,137,137,137,162,162,110,110,110,137,137,137,137,137,137,162,162
最大净功率(kW),110,110,110,137,137,137,137,137,137,162,162,110,110,110,137,137,137,137,137,137,162,162
无钥匙进入功能,,,,,,,,,,,,,,,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,●
方向盘位置调节,,,,,,,,,,,,,,,,,,,,,,
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),1485,1485,1485,1600,1600,1600,1600,1600,1600,1620,1620,1485,1485,1485,1600,1600,1600,1600,1600,1600,1620,1620
接近角(°),14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
排量(mL),1395,1395,1395,1984,1984,1984,1984,1984,1984,1984,1984,1395,1395,1395,1984,1984,1984,1984,1984,1984,1984,1984
换挡形式,,,,,,,,,,,,,,,,,,,,,,
挡位个数,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
扬声器数量,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,,,,,,,-,-,-,-,-,,,,,,
手机无线充电功能,-,-,-,-,-,,,,,,,-,-,-,-,-,,,,,,
手机互联/映射,,,,,,,,,,,,,,,,,,,,,,
手势控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,,,,,,,,,,,-,,,,,,,,,,
感应后备厢,-,-,-,-,-,●,●,●,●,●,●,-,-,-,-,-,●,●,●,●,●,●
座椅材质,,,,,,,,,,,,,,,,,,,,,,
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
并线辅助,-,○,○,○,○,○,○,●,●,●,●,-,○,○,○,○,○,○,●,●,●,●
巡航系统,-,,,,,,,,,,,-,,,,,,,,,,
