,1005490,1005491
主/副驾驶座安全气囊,-,-
前/后排侧气囊,-,-
前/后排头部气囊(气帘),-,-
膝部气囊,-,-
胎压监测装置,-,-
零胎压继续行驶,-,-
安全带未系提示,●,●
ISOFIX儿童座椅接口,-,-
ABS防抱死,-,-
制动力分配(EBD/CBC等),-,-
刹车辅助(EBA/BAS/BA等),-,-
牵引力控制(ASR/TCS/TRC等),-,-
车身稳定控制(ESC/ESP/DSC等),-,-
并线辅助,-,-
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
倒车视频影像,○,○
全景摄像头,-,-
定速巡航,-,-
上坡辅助,-,-
自动驻车,-,-
陡坡缓降,-,-
可变悬架,-,-
空气悬架,-,-
可变转向比,-,-
电动天窗,-,-
全景天窗,-,-
运动外观套件,-,-
铝合金轮圈,-,-
电动吸合门,-,-
侧滑门,手动侧滑门,手动侧滑门
电动后备厢,-,-
感应后备厢,-,-
车顶行李架,-,-
车内中控锁,●,●
遥控钥匙,●,●
无钥匙启动系统,-,-
无钥匙进入系统,-,-
皮质方向盘,-,-
方向盘调节,-,-
方向盘电动调节,-,-
多功能方向盘,-,-
方向盘换挡,-,-
方向盘加热,-,-
方向盘记忆,-,-
行车电脑显示屏,○,○
座椅材质,织物,织物
运动风格座椅,-,-
座椅高低调节,-,-
腰部支撑调节,-,-
肩部支撑调节,-,-
主/副驾驶座电动调节,-,-
第二排靠背角度调节,-,-
第二排座椅移动,-,-
后排座椅电动调节,-,-
电动座椅记忆,-,-
前/后排座椅加热,-,-
前/后排座椅通风,-,-
前/后排座椅按摩,-,-
第三排座椅,-,-
后排座椅放倒方式,-,-
前/后中央扶手,-,-
后排杯架,-,-
GPS导航系统,-,-
定位互动服务,-,-
中控台彩色大屏,-,-
蓝牙/车载电话,-,-
车载电视,-,-
后排液晶屏,-,-
220V/230V电源,-,-
外接音源接口,(选装USB),(选装USB)
CD/DVD,-,-
扬声器品牌,-,-
扬声器数量,2-3喇叭,2-3喇叭
近光灯,卤素,卤素
远光灯,卤素,卤素
LED日间行车灯,-,-
自适应远近光,-,-
自动头灯,-,-
转向辅助灯,-,-
转向头灯,-,-
前雾灯,-,-
大灯高度可调,○,○
大灯清洗装置,-,-
车内氛围灯,-,-
前/后电动车窗,-,-
车窗防夹手功能,-,-
防紫外线/隔热玻璃,-,-
后视镜电动调节,-,-
后视镜加热,-,-
内/外后视镜自动防眩目,-,-
后视镜电动折叠,-,-
后视镜记忆,-,-
后风挡遮阳帘,-,-
后排侧遮阳帘,-,-
后排侧隐私玻璃,-,-
遮阳板化妆镜,-,-
后雨刷,-,-
感应雨刷,-,-
空调控制方式,手动●,手动●
后排独立空调,-,-
后座出风口,-,-
温度分区控制,-,-
车内空气调节/花粉过滤,-,-
车载冰箱,-,-
车型名称,启腾M70EV 2017款 纯电动 厢式运输车2座,启腾M70EV 2017款 纯电动 厢式运输车5座
厂商指导价(元),13.68万,16.36万
厂商,福汽新龙马,福汽新龙马
级别,微面,微面
能源类型,纯电动,纯电动
上市时间,-,-
纯电续航里程,220,220
快充电量百分比,-,-
最大功率(kW),30,30
最大扭矩(N·m),-,-
长*宽*高(mm),4071×1677×1902,4071×1677×1902
车身结构_x,货车,货车
最高车速(km/h),100,100
整车质保,三年或5万公里,三年或5万公里
长度(mm),4071,4071
宽度(mm),1677,1677
高度(mm),1902,1902
轴距(mm),2700,2700
前轮距(mm),1377,1377
后轮距(mm),1408,1408
最小离地间隙(mm),125,125
整备质量(kg),1340,1350
车身结构_y,货车,货车
车门数(个),5,5
座位数(个),2,5
后排车门开启方式,侧滑门,侧滑门
油箱容积(L),-,-
货箱尺寸(mm),-,-
最大载重质量(kg),-,-
简称,电动车单速变速箱,电动车单速变速箱
挡位个数,1,1
变速箱类型,固定齿比变速箱,固定齿比变速箱
驱动方式,后置后驱,后置后驱
前悬架类型,麦弗逊式独立悬挂,麦弗逊式独立悬挂
后悬架类型,钢板弹簧,钢板弹簧
助力类型,电动助力,电动助力
车体结构,承载式,承载式
前制动器类型,盘式,盘式
后制动器类型,鼓式,鼓式
前轮胎规格,175/70 R14,175/70 R14
后轮胎规格,175/70 R14,175/70 R14
电机类型,-,-
电动机总功率(kW),30,30
电动机总扭矩(N·m),-,-
前电动机最大功率(kW),-,-
前电动机最大扭矩(N·m),-,-
后电动机最大功率(kW),30,30
后电动机最大扭矩(N·m),-,-
驱动电机数,-,-
电机布局,-,-
电池类型,-,-
工信部续航里程(km),220,220
电池容量(kWh),36.3,36.3
百公里耗电量(kWh/100km),-,-
电池组质保,5年或20万公里,5年或20万公里
电池充电时间,-,-
快充电量(%),-,-
