Feature,1005600,1005601,1005635,1005636,1005637,1005641,1006527,1006528,1006529,1006747,1006748,1006749,1006750,1006751,1006752,1006753,1006754,1007048,1007049,1007050,1007051,1007052,1007053,1007054,1007055,1007056,1007057,1007058,1007059,1007066,1007067,1007068,1007255,1007257,1007258,1007259,1007260,1007261,1007262,1007263,1007264,1007265
高度(mm),2307,2841,2726,2320,2338,2369,2307,2676,2676,2704,2704,2711,2711,2710,2710,2654,2654,2711,2711,2704,2704,2726,2688,2688,2320,2735,2735,2754,2754,2841,2841,2841,2338,2377,2377,2422,2422,2400,2400,2367,2367,2369
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,●,-,●,-,-,-,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5150,6999,5670,5151,7403,5995,5150,5150,5150,7080,7080,5999,5999,5670,5670,5151,5151,5999,5999,7080,7080,5670,5151,5151,5151,5680,5680,5999,5999,6999,6999,6999,7403,5075,5075,6999,6999,6999,6999,5999,5999,5995
长*宽*高(mm),5150×2011×2307,6999×2172×2841,5670×2011×2726,5151×2011×2320,7403×2150×2338,5995×2150×2369,5150×2011×2307,5150×2011×2676,5150×2011×2676,7080×2011×2704,7080×2011×2704,5999×2011×2711,5999×2011×2711,5670×2011×2710,5670×2011×2710,5151×2011×2654,5151×2011×2654,5999×2011×2711,5999×2011×2711,7080×2011×2704,7080×2011×2704,5670×2011×2726,5151×2011×2688,5151×2011×2688,5151×2011×2320,5680×2011×2735,5680×2011×2735,5999×2011×2754,5999×2011×2754,6999×2172×2841,6999×2172×2841,6999×2172×2841,7403×2150×2338,5075×2150×2377,5075×2150×2377,6999×2235×2422,6999×2235×2422,6999×2235×2400,6999×2235×2400,5999×2150×2367,5999×2150×2367,5995×2150×2369
铝合金轮圈,○,-,-,-,-,-,○,○,○,-,-,-,-,-,-,○,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3000,3950,3300,3000,4350,3300,3000,3000,3000,3950,3950,3300,3300,3300,3300,3000,3000,3300,3300,3950,3950,3300,3000,3000,3000,3300,3300,3300,3300,3950,3950,3950,4350,3000,3000,3950,3950,3950,3950,3300,3300,3300
转向辅助灯,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,2,2,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,2,2,2,4,4,2,2,4,4,2
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,客车,货车,客车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,客车,货车,客车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,●,●,●,●,○,○,○,○,○,○,●,○,●,●,○,●,●,○,●,○,●,○,●,○,●
车窗防夹手功能,●,-,●,-,-,-,●,●,●,○,○,○,○,○,○,○,○,○,○,○,○,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
