Feature,56879,57783,57784,57785,59860,59861,59862,59863,60218,60219,60220
高度(mm),1434,1472,1472,1475,1448,1434,1432,1446,1472,1472,1475
驾驶辅助影像,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置后驱,前置后驱,前置四驱,前置后驱,前置后驱,前置后驱
面部识别,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4846,4942,4942,4942,4846,4846,4846,4846,4942,4942,4942
长*宽*高(mm),4846*1860*1434,4942*1860*1472,4942*1860*1472,4942*1860*1475,4846*1860*1448,4846*1860*1434,4846*1860*1432,4846*1860*1446,4942*1860*1472,4942*1860*1472,4942*1860*1475
钥匙类型,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,○,-,○,○,○,○,○,○,-,○,○
远程启动功能,,,,,,,,,,,
远光灯光源,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,●,●,●,●,●,●,●,●,●,●,●
辅助驾驶等级,,-,,,,,,,-,,
轴距(mm),2873,2939,2939,2939,2873,2873,2873,2873,2939,2939,2939
轮圈材质,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-
转向头灯,○,○,○,●,○,●,○,○,○,○,●
车顶行李架,-,-,-,-,-,-,-,-,-,-,-
车门数(个),2,4,4,4,2,2,2,2,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,○,-,○,○,○,○,○,○,-,○,○
车道偏离预警系统,○,-,○,○,○,○,○,○,-,○,○
车道保持辅助系统,○,-,○,○,○,○,○,○,-,○,○
车载空气净化器,●,●,●,●,●,●,●,●,●,●,●
车载智能系统,,,,,,,,,,,
车载冰箱,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,硬顶跑车,三厢车,三厢车,三厢车,硬顶跑车,硬顶跑车,软顶敞篷车,软顶敞篷车,三厢车,三厢车,三厢车
车身结构_x,2门4座硬顶跑车,4门5座三厢车,4门5座三厢车,4门5座三厢车,2门4座硬顶跑车,2门4座硬顶跑车,2门4座软顶敞篷车,2门4座软顶敞篷车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●
