Feature,1015536,1015537,1015538,1015591,1015592,1015593,1015594,1015595,1015596,1015597,1015598,1015599,1015600,1015603,1015604,1015605,1015606
高度(mm),2035,2035,2030,2035,2030,2420,2035,2030,2420,2420,2030,2420,2035,2030,2420,2420,2420
驾驶辅助影像,,,,,,,,,,,,,,,,,
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4998,4998,5364,4998,5364,5364,4998,5364,5364,5364,5364,5364,4998,5364,5364,5364,5364
长*宽*高(mm),4998*2030*2035,4998*2030*2035,5364*2030*2030,4998*2030*2035,5364*2030*2030,5364*2030*2420,4998*2030*2035,5364*2030*2030,5364*2030*2420,5364*2030*2420,5364*2030*2030,5364*2030*2420,4998*2030*2035,5364*2030*2030,5364*2030*2420,5364*2030*2420,5364*2030*2420
钥匙类型,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3000,3000,3366,3000,3366,3366,3000,3366,3366,3366,3366,3366,3000,3366,3366,3366,3366
轮圈材质,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,客车,客车,客车,货车,货车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车
车身结构_x,客车,客车,客车,货车,货车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车型名称,2023款 2.0T 精英版 手动短轴低顶 5/6座（125Ps）,2023款 2.0T 精英版 手动短轴低顶 5/6座（150Ps）,2023款 2.0T 精英版 手动长轴低顶 6/7座（125Ps）,2023款 2.0T 创客版 手动短轴低顶 3座,2023款 2.0T 创客版 手动长轴低顶 3座,2023款 2.0T 创客版 手动长轴中顶 3座,2023款 2.0T 创客版 自动短轴低顶 3座,2023款 2.0T 创客版 自动长轴低顶 3座,2023款 2.0T 创客版 自动长轴中顶 3座,2023款 2.0T 精英版 手动长轴中顶 6/7座（125Ps）,2023款 2.0T 精英版 手动长轴低顶 6/7座（150Ps）,2023款 2.0T 精英版 手动长轴中顶 6/7座（150Ps）,2023款 2.0T 精英版 自动短轴低顶 5/6座,上汽大通MAXUS 新途V70 2023款 2.0T 精英版 自动长轴低顶 6/7座,上汽大通MAXUS 新途V70 2023款 2.0T 精英版 自动长轴中顶 6/7座,上汽大通MAXUS 新途V70 2023款 2.0T 豪华版 手动长轴中顶 9座,上汽大通MAXUS 新途V70 2023款 2.0T 豪华版 自动长轴中顶 9座
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏幕,,,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,○,○,○,-,-,-,-,-,-,○,○,○,○,○,○,●,●
自动驻车,-,-,-,-,-,-,●,●,●,-,-,-,-,●,●,-,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
胎压监测功能,,,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
