Feature,56354,57682,57705,57712,57713
高精地图,●,●,●,●,●
高度(mm),1720,1720,1720,1720,1720
驾驶辅助影像,,,,,
驾驶模式切换,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,双电机,双电机,双电机,双电机,双电机
驱动方式,双电机四驱,双电机四驱,双电机四驱,双电机四驱,双电机四驱
首任车主质保政策,6年或15万公里,6年或15万公里,6年或15万公里,十年不限公里（责任免除条款以官方为准）,十年不限公里（责任免除条款以官方为准）
风阻系数(Cd),0.263,0.263,0.263,0.263,0.263
面部识别,-,-,-,-,-
隐藏电动门把手,●,●,●,●,●
陡坡缓降,●,●,●,●,●
长度(mm),4912,4912,4912,4912,4912
长*宽*高(mm),4912*1987*1720,4912*1987*1720,4912*1987*1720,4912*1987*1720,4912*1987*1720
钥匙类型,,,,,
遥控泊车,○,○,○,○,○
道路救援呼叫,●,●,●,●,●
道路交通标识识别,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●
远程启动功能,,,,,
远程召唤,○,○,○,○,○
远光灯光源,,,,,
近光灯光源,,,,,
运动风格座椅,-,-,-,-,-
运动外观套件,-,-,-,-,-
辅助驾驶芯片,,,,,
辅助驾驶系统,,,,,
辅助驾驶等级,,,,,
轴距(mm),2960,2960,2960,2960,2960
轮圈材质,,,,,
转向辅助灯,●,●,●,●,●
转向头灯,-,-,-,-,-
车顶行李架,●,●,●,●,●
车门数(个),5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●
车载空气净化器,●,●,●,●,●
车载智能系统,,,,,
车载冰箱,-,-,-,-,-
车载CD/DVD,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●
车窗一键升降功能,,,,,
车型名称,蔚来ES7 2022款 100kWh 首发版,蔚来ES7 2022款 75kWh,蔚来ES7 2022款 100kWh,蔚来ES7 2022款 150kWh,蔚来ES7 2022款 150kWh 首发版
车前雾灯,,,,,
车内香氛装置,●,●,●,●,●
车内环境氛围灯,,,,,
车内化妆镜,,,,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,
负离子发生器,●,●,●,●,●
语音识别控制系统,,,,,
触摸式阅读灯,●,●,●,●,●
被动行人保护,-,-,-,-,-
行车电脑显示屏幕,,,,,
行李厢12V电源接口,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●
