Feature,1002999,1003000,1003001
高度(mm),1925,1925,1925
驱动电机数,-,-,-
驱动方式,中置后驱,中置后驱,中置后驱
零胎压继续行驶,-,-,-
陡坡缓降,-,-,-
防紫外线/隔热玻璃,-,-,-
长度(mm),5090,5090,5090
长*宽*高(mm),5090×1780×1925,5090×1780×1925,5090×1780×1925
铝合金轮圈,-,-,●
配气机构,DOHC,DOHC,DOHC
遮阳板化妆镜,-,-,-
遥控钥匙,-,-,●
道路救援呼叫,-,-,-
远光灯,卤素,卤素,卤素
进气形式,自然吸气,自然吸气,自然吸气
近光灯,卤素,卤素,卤素
运动风格座椅,-,-,-
运动外观套件,-,-,-
轴距(mm),3205,3205,3205
转向辅助灯,-,-,-
转向头灯,-,-,-
车顶行李架,-,-,-
车门数(个),5,5,5
车载电视,-,-,-
车载冰箱,-,-,-
车身结构_y,客车,客车,客车
车身结构_x,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-
车窗防夹手功能,-,-,-
车型名称,五菱征程 2015款 1.8L舒适型LJ479QE2,五菱征程 2015款 1.5L舒适型L3C,五菱征程 2015款 1.8L豪华型LJ479QE2
车内空气调节/花粉过滤,-,-,-
车内氛围灯,-,-,-
车内中控锁,●,●,●
车体结构,非承载式,非承载式,非承载式
货箱尺寸(mm),-,-,-
行车电脑显示屏,-,-,-
行程(mm),-,-,-
蓝牙/车载电话,-,-,-
自适应远近光,-,-,-
自动驻车,-,-,-
自动头灯,-,-,-
膝部气囊,-,-,-
腰部支撑调节,-,-,-
能源类型,汽油,汽油,汽油
胎压监测装置,-,-,-
肩部支撑调节,-,-,-
缸盖材料,未知,未知,未知
缸径(mm),-,-,-
缸体材料,未知,未知,未知
级别,轻客,轻客,轻客
简称,5挡手动,5挡手动,5挡手动
第二排靠背角度调节,●,●,●
第二排座椅移动,●,●,●
第三排座椅,3座,3座,3座
空调控制方式,手动●,手动●,手动●
空气悬架,-,-,-
皮质方向盘,-,-,-
百公里耗电量(kWh/100km),-,-,-
电池组质保,-,-,-
电池类型,-,-,-
电池容量(kWh),-,-,-
电池充电时间,-,-,-
电机类型,-,-,-
电机布局,-,-,-
电动机总扭矩(N·m),-,-,-
电动机总功率(kW),-,-,-
电动座椅记忆,-,-,-
电动天窗,-,-,-
电动吸合门,-,-,-
电动后备厢,-,-,-
环保标准,国IV,国IV,国IV
牵引力控制(ASR/TCS/TRC等),-,-,-
燃油标号,92号,92号,92号
燃料形式,汽油,汽油,汽油
温度分区控制,-,-,-
