Feature,35814,36906,36907,36908,36909,36910,36911,36912,36913,36914,36915,36916,36917,36918,36919,40746,40875,40876,40877,40878,40879,40880,40881,40882,40883
高度(mm),1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660
驻车制动类型,电子驻车,手刹,电子驻车,电子驻车,手刹,电子驻车,电子驻车,手刹,电子驻车,电子驻车,电子驻车,手刹,电子驻车,电子驻车,电子驻车,电子驻车,手刹,电子驻车,电子驻车,电子驻车,电子驻车,手刹,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
零胎压继续行驶,●,-,-,●,-,-,●,-,-,●,●,-,-,●,●,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4410,4410,4410,4410,4410,4410,4410,4410,4410,4410,4410,4410,4410,4410,4410,4410,4410,4410,4410,4410,4410,4410,4410,4410,4410
长*宽*高(mm),4410*1800*1660,4410*1800*1660,4410*1800*1660,4410*1800*1660,4410*1800*1660,4410*1800*1660,4410*1800*1660,4410*1800*1660,4410*1800*1660,4410*1800*1660,4410*1800*1660,4410*1800*1660,4410*1800*1660,4410*1800*1660,4410*1800*1660,4410*1800*1660,4410*1800*1660,4410*1800*1660,4410*1800*1660,4410*1800*1660,4410*1800*1660,4410*1800*1660,4410*1800*1660,4410*1800*1660,4410*1800*1660
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,●,-,●,●,-,●,●,-,●,●,●,-,●,●,●,●,-,●,●,●,●,-,●,●,●
远程启动,-,-,-,●,-,●,●,-,-,-,-,-,●,●,●,●,-,-,-,-,-,-,●,●,●
