Feature,1013960,1013961,1013963,1013964,1013965,1013966,1013967,1013968
高度(mm),2520,2025,2440,2495,2495,1985,1985,2440
驾驶辅助影像,-,-,-,-,-,-,-,-
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱
陡坡缓降,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-
长度(mm),5365,5335,5620,5625,5625,5620,5620,5620
长*宽*高(mm),5365×1785×2520,5335×1785×2025,5620×1785×2440,5625×1805×2495,5625×1805×2495,5620×1785×1985,5620×1785×1985,5620×1785×2440
钥匙类型,,,,,,,,
道路救援呼叫,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,
近光灯光源,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-
轴距(mm),3360,3360,3360,3360,3360,3360,3360,3360
轮圈材质,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-
车门数(个),2,2,2,2,2,2,2,2
车载冰箱,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-
车型名称,瑞驰新能源EC71 2022款 EC71 纯电动厢式车50.232kWh,瑞驰新能源EC71 2022款 EC71 纯电动载货车50.232kWh,瑞驰新能源EC71 2022款 EC71L 纯电动仓栅车50.38kWh,瑞驰新能源EC71 2022款 EC71L 纯电动厢式车50.232kWh,瑞驰新能源EC71 2022款 EC71L 纯电动厢式车50.38kWh,瑞驰新能源EC71 2022款 EC71L 纯电动载货车50.232kWh,瑞驰新能源EC71 2022款 EC71L 纯电动载货车50.38kWh,瑞驰新能源EC71 2022款 EC71L 纯电动仓栅车50.232kWh
车前雾灯,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),3090x1740x1610,3200x1680x370,3300x1680x370,3325x1730x1610,3325x1730x1610,3300x1680x370,3300x1680x370,3300x1680x370
行车电脑显示屏幕,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,-,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-
级别,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-
第二排座椅电动调节,-,-,-,-,-,-,-,-
第二排座椅功能,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-
百公里耗电量(kWh/100km),19.25,19.25,-,-,-,-,-,-
电池组质保,5年或20万公里,5年或20万公里,五年或20万公里,五年或20万公里,五年或20万公里,五年或20万公里,五年或20万公里,五年或20万公里
电池类型,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池
电池容量(kWh),50.232,50.232,50.38,50.232,50.38,50.232,50.38,50.232
电池充电时间,-,-,-,-,-,-,-,-
电机类型,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步
电机布局,后置,后置,后置,后置,后置,后置,后置,后置
电动机总扭矩(N·m),230,230,230,230,230,230,230,230
电动机总功率(kW),70,70,70,70,70,70,70,70
电动机(Ps),95,95,95,95,95,95,95,95
电动座椅记忆功能,-,-,-,-,-,-,-,-
电动吸合车门,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-
油箱容积(L),-,-,-,-,-,-,-,-
最高车速(km/h),-,-,-,-,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-,-,-
最大载重质量(kg),1395,1540,1400,1390,1390,1515,1510,1405
最大满载质量(kg),-,-,-,-,-,-,-,-
最大扭矩(N·m),230,230,230,230,230,230,230,230
最大功率(kW),70,70,70,70,70,70,70,70
无钥匙进入功能,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-,-,-
整车质保,-,-,-,-,-,-,-,-
整备质量(kg),1775,1630,1770,1780,1780,1655,1660,1765
挡位个数,1,1,1,1,1,1,1,1
扬声器数量,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-
慢充时间(小时)_y,-,-,-,-,-,-,-,-
慢充时间(小时)_x,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-
快充电量百分比,-,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-
快充时间(小时)_y,-,-,-,-,-,-,-,-
快充时间(小时)_x,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,
座位数(个),2,2,2,2,2,2,2,2
并线辅助,-,-,-,-,-,-,-,-
工信部续航里程(km),290,290,255,258,255,258,255,258
工信部纯电续航里程(km),290,290,255,258,255,258,255,258
巡航系统,-,-,-,-,-,-,-,-
宽度(mm),1785,1785,1785,1805,1805,1785,1785,1785
安全带未系提醒,,,,,,,,
天窗类型,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-
多媒体/充电接口,,,,,,,,
多功能方向盘,-,-,-,-,-,-,-,-
外后视镜功能,-,-,-,-,-,-,-,-
