Feature,1014224,1014229,1014230,1014231,1014232,1014233,1014234,1014235,1014236,1014237,1015570,1015771,1015772,1016291,1016292,1016293,1016294,1016295,1016296,1016297,1016298,1016299,1016300,1016301,1016302,1016303,1016304,1016305,1016306,1016307,1016308,1016309,1016310,1016311,1016312,1016313,1016314,1016315,1016316,1016317,1016318,1016319,1016320,1016321,1016322,1016323,1016324,1016325,1016326,1016327,1016328,1016329,1016330,1016331,1016332,1016333,1016334,1016335,1016336,1016337,1016338,1016339,1016340,1016521,1016522,1016523,1016524,1016525,1016526,1016527,1016528,1016529,1016530,1016531,1016532,1016533,1016534,1016536,1016537,1016538,1016539,1016540,1016541,1016542,1016543,1016544,1016545,1016546,1016547,1016548,1016549
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),2933,3360,3360,2933,3750,3750,3360,3360,2933,2933,3360,3750,3750,2933,2933,2933,2933,3360,3360,3360,3360,3750,3750,3750,3360,3360,3360,3360,3750,3750,3750,2933,2933,2933,3360,3360,3750,3750,3750,3750,2933,2933,2933,3360,3360,3360,3360,2933,2933,3360,3360,3360,3360,3360,3360,3360,3360,3750,3750,3750,3750,3750,3750,2933,2933,2933,3360,2933,3360,3360,2933,2933,3360,3360,3360,3360,3750,2933,2933,2933,3360,2933,3360,3360,2933,2933,3360,3360,3360,3360,3750
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车身结构_y,客车,客车,客车,客车,货车,货车,货车,货车,货车,货车,客车,客车,客车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,货车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,客车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,客车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
车身结构_x,客车,客车,客车,客车,货车,货车,货车,货车,货车,货车,客车,客车,客车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,货车,货车,货车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,客车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,客车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○,○,-,-,-,-,-,-,-,-,-,-,-,-,○,○,○,○,○,○,○,○,○,○,○,○,○,○
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,2022款 2.0T 手动多功能乘用车短轴中高顶6座,2022款 2.0T 手动多功能乘用车中轴高顶6-7座,2022款 2.0T 手动多功能乘用车中轴中高顶6-7座,2022款 2.0T 手动多功能乘用车短轴低顶6座,2022款 2.0T 手动厢式运输车长轴高顶3座,2022款 2.0T 手动厢式运输车长轴中高顶3座,2022款 2.0T 手动厢式运输车中轴高顶3座,2022款 2.0T 手动厢式运输车中轴中高顶3座,2022款 2.0T 手动厢式运输车短轴中高顶3座,2022款 2.0T 手动厢式运输车短轴低顶3座,2023款 2.0T 手动商务型营运版中轴中高顶9座,2023款 2.0T 自动普通型长轴高顶10-15座,2023款 2.0T 自动豪华型长轴高顶10-15座,2023款 2.0T 手动短轴低顶商运型厢式运输车3座 双开尾门,2023款 2.0T 手动短轴低顶商运型多功能乘用车6座 双开尾门,江铃福顺 2023款 2.0T 手动短轴中高顶客运版商务型7座,江铃福顺 2023款 2.0T 手动短轴中高顶客运版商务型11座,江铃福顺 2023款 2.0T 手动中轴中高顶客运版商务型9座,江铃福顺 2023款 2.0T 手动中轴中高顶客运版商务型10座,江铃福顺 2023款 2.0T 手动中轴中高顶客运版商务型11座,江铃福顺 2023款 2.0T 手动中轴中高顶客运版商务型12座,江铃福顺 2023款 2.0T 手动长轴中高顶客运版商务型15座,江铃福顺 2023款 2.0T 手动加长轴中高顶客运版商务型17座,江铃福顺 2023款 2.0T 手动加长轴中高顶客运版商务型17座（SLD）,江铃福顺 2023款 2.0T 手动中轴高顶客运版商务型9座,江铃福顺 2023款 2.0T 手动中轴高顶客运版商务型10座,江铃福顺 2023款 2.0T 手动中轴高顶客运版商务型11座,江铃福顺 2023款 2.0T 手动中轴高顶客运版商务型12座,江铃福顺 2023款 2.0T 手动长轴高顶客运版商务型15座,江铃福顺 2023款 2.0T 手动加长轴高顶客运版商务型17座,江铃福顺 2023款 2.0T 手动加长轴高顶客运版商务型17座（SLD）,江铃福顺 2023款 2.0T 自动短轴低顶商运型厢式运输车3座 上掀尾门,江铃福顺 2023款 2.0T 自动短轴低顶商运型厢式运输车3座 双开尾门,江铃福顺 2023款 2.0T 自动短轴中高顶商运型厢式运输车3座,江铃福顺 2023款 2.0T 自动中轴中高顶商运型厢式运输车3座,江铃福顺 2023款 2.0T 自动中轴高顶商运型厢式运输车3座,江铃福顺 2023款 2.0T 自动长轴中高顶商运型厢式运输车3座,江铃福顺 2023款 2.0T 自动长轴高顶商运型厢式运输车3座,江铃福顺 2023款 2.0T 自动加长轴中高顶商运型厢式运输车3座,江铃福顺 2023款 2.0T 自动加长轴高顶商运型厢式运输车3座,江铃福顺 2023款 2.0T 自动短轴低顶商运型多功能乘用车6座 上掀尾门,江铃福顺 2023款 2.0T 自动短轴低顶商运型多功能乘用车6座 双开尾门,江铃福顺 2023款 2.0T 自动短轴中高顶商运型多功能乘用车6座,江铃福顺 2023款 2.0T 自动中轴中高顶商运型多功能乘用车6座,江铃福顺 2023款 2.0T 自动中轴中高顶商运型多功能乘用车7座,江铃福顺 2023款 2.0T 自动中轴高顶商运型多功能乘用车6座,江铃福顺 2023款 2.0T 自动中轴高顶商运型多功能乘用车7座,江铃福顺 2023款 2.0T 自动短轴中高顶商务型7座,江铃福顺 2023款 2.0T 自动短轴中高顶商务型11座,江铃福顺 2023款 2.0T 自动中轴中高顶商务型9座,江铃福顺 2023款 2.0T 自动中轴中高顶商务型10座,江铃福顺 2023款 2.0T 自动中轴中高顶商务型11座,江铃福顺 2023款 2.0T 自动中轴中高顶商务型12座,江铃福顺 2023款 2.0T 自动中轴高顶商务型9座,江铃福顺 2023款 2.0T 自动中轴高顶商务型10座,江铃福顺 2023款 2.0T 自动中轴高顶商务型11座,江铃福顺 2023款 2.0T 自动中轴高顶商务型12座,江铃福顺 2023款 2.0T 自动长轴中高顶商务型15座,江铃福顺 2023款 2.0T 自动长轴高顶商务型15座,江铃福顺 2023款 2.0T 自动加长轴中高顶商务型17座,江铃福顺 2023款 2.0T 自动加长轴高顶商务型17座,江铃福顺 2023款 2.0T 自动加长轴中高顶商务型17座（SLD）,江铃福顺 2023款 2.0T 自动加长轴高顶商务型17座（SLD）,江铃福顺 2023款 2.0T 自动短轴地库版商运型厢式运输车3座,江铃福顺 2023款 2.0T 自动短轴地库版商运型多功能乘用车6座,江铃福顺 2023款 2.0T 自动短轴中顶商运型厢式运输车3座,江铃福顺 2023款 2.0T 自动中轴中顶商运型厢式运输车3座,江铃福顺 2023款 2.0T 自动短轴中顶商运型多功能乘用车6座,江铃福顺 2023款 2.0T 自动中轴中顶商运型多功能乘用车6座,江铃福顺 2023款 2.0T 自动中轴中顶商运型多功能乘用车7座,江铃福顺 2023款 2.0T 自动短轴中顶商务型7座,江铃福顺 2023款 2.0T 自动短轴中顶商务型11座,江铃福顺 2023款 2.0T 自动中轴中顶商务型9座,江铃福顺 2023款 2.0T 自动中轴中顶商务型10座,江铃福顺 2023款 2.0T 自动中轴中顶商务型11座,江铃福顺 2023款 2.0T 自动中轴中顶商务型12座,江铃福顺 2023款 2.0T 自动长轴中顶商务型15座,江铃福顺 2023款 2.0T 手动短轴地库版商运型厢式运输车3座,江铃福顺 2023款 2.0T 手动短轴地库版商运型多功能乘用车6座,江铃福顺 2023款 2.0T 手动短轴中顶商运型厢式运输车3座,江铃福顺 2023款 2.0T 手动中轴中顶商运型厢式运输车3座,江铃福顺 2023款 2.0T 手动短轴中顶商运型多功能乘用车6座,江铃福顺 2023款 2.0T 手动中轴中顶商运型多功能乘用车6座,江铃福顺 2023款 2.0T 手动中轴中顶商运型多功能乘用车7座,江铃福顺 2023款 2.0T 手动短轴中顶商务型7座,江铃福顺 2023款 2.0T 手动短轴中顶商务型11座,江铃福顺 2023款 2.0T 手动中轴中顶商务型9座,江铃福顺 2023款 2.0T 手动中轴中顶商务型10座,江铃福顺 2023款 2.0T 手动中轴中顶商务型11座,江铃福顺 2023款 2.0T 手动中轴中顶商务型12座,江铃福顺 2023款 2.0T 手动长轴中顶商务型15座
车前雾灯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,●,○,●,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
自适应远近光,-,-,-,-,-,-,-,-,-,-,●,○,●,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,●,○,●,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
能源类型,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
胎压监测功能,,,,,-,-,-,-,-,-,,-,,,,,,,,,,-,-,-,,,,,-,-,-,,,,,,-,-,-,-,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,,,,,,,,,,,,,,-,,,,,,,,,,,,,,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
级别,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客
简称,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,8挡自动,8挡自动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
