,1001105,1002848
主/副驾驶座安全气囊,-,-
前/后排侧气囊,-,-
前/后排头部气囊(气帘),-,-
膝部气囊,-,-
胎压监测装置,-,-
零胎压继续行驶,-,-
安全带未系提示,-,-
ISOFIX儿童座椅接口,-,-
ABS防抱死,●,●
制动力分配(EBD/CBC等),-,-
刹车辅助(EBA/BAS/BA等),-,-
牵引力控制(ASR/TCS/TRC等),-,-
车身稳定控制(ESC/ESP/DSC等),-,-
并线辅助,-,-
前/后驻车雷达,-,-
倒车视频影像,-,-
全景摄像头,-,-
定速巡航,-,-
发动机启停技术,-,-
上坡辅助,-,-
自动驻车,-,-
陡坡缓降,-,-
可变悬架,-,-
空气悬架,-,-
可变转向比,-,-
前桥限滑差速器/差速锁,-,-
中央差速器锁止功能,-,-
后桥限滑差速器/差速锁,-,-
电动天窗,-,-
全景天窗,-,-
运动外观套件,-,-
铝合金轮圈,○,○
电动吸合门,-,-
侧滑门,-,-
电动后备厢,-,-
感应后备厢,-,-
车顶行李架,-,-
发动机电子防盗,-,-
车内中控锁,●,●
遥控钥匙,●,●
无钥匙启动系统,-,-
无钥匙进入系统,-,-
皮质方向盘,-,-
方向盘调节,-,-
方向盘电动调节,-,-
多功能方向盘,-,-
方向盘换挡,-,-
方向盘加热,-,-
方向盘记忆,-,-
行车电脑显示屏,-,-
座椅材质,织物(选装仿皮),织物(选装仿皮)
运动风格座椅,-,-
座椅高低调节,-,-
腰部支撑调节,-,-
肩部支撑调节,-,-
主/副驾驶座电动调节,-,-
第二排靠背角度调节,-,-
第二排座椅移动,-,-
后排座椅电动调节,-,-
电动座椅记忆,-,-
前/后排座椅加热,-,-
前/后排座椅通风,-,-
前/后排座椅按摩,-,-
第三排座椅,-,-
后排座椅放倒方式,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
后排杯架,-,-
GPS导航系统,-,-
定位互动服务,-,-
中控台彩色大屏,-,-
蓝牙/车载电话,-,-
车载电视,-,-
后排液晶屏,-,-
220V/230V电源,-,-
外接音源接口,USB,USB
CD/DVD,-,-
扬声器品牌,-,-
扬声器数量,2-3喇叭,2-3喇叭
近光灯,卤素,卤素
远光灯,卤素,卤素
LED日间行车灯,-,-
自适应远近光,-,-
自动头灯,-,-
转向辅助灯,-,-
转向头灯,-,-
前雾灯,●,●
大灯高度可调,-,-
大灯清洗装置,-,-
车内氛围灯,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗防夹手功能,-,-
防紫外线/隔热玻璃,-,-
后视镜电动调节,-,-
后视镜加热,-,-
内/外后视镜自动防眩目,-,-
后视镜电动折叠,-,-
后视镜记忆,-,-
后风挡遮阳帘,-,-
后排侧遮阳帘,-,-
后排侧隐私玻璃,-,-
遮阳板化妆镜,-,-
后雨刷,-,-
感应雨刷,-,-
空调控制方式,手动●,手动●
后排独立空调,-,-
后座出风口,-,-
温度分区控制,-,-
车内空气调节/花粉过滤,-,-
车载冰箱,-,-
车型名称,财运100 2012款 2.2L汽油舒适型标准货箱,财运100 2012款 2.2T绵阳柴油标准型标准货箱D22A
厂商指导价(元),5.29万,5.98万
厂商,广汽吉奥,广汽吉奥
级别,皮卡,皮卡
能源类型,汽油,柴油
上市时间,2012.06,2014.09
最大功率(kW)_x,-,-
最大扭矩(N·m)_x,-,-
发动机,2.2L 103马力 L4,2.2L 102马力 L4
变速箱,5挡手动,5挡手动
长*宽*高(mm),5255×1690×1710,5255×1690×1710
车身结构_x,皮卡,皮卡
最高车速(km/h),120,120
工信部综合油耗(L/100km),-,-
整车质保,30个月7万公里,30个月7万公里
长度(mm),5255,5255
宽度(mm),1690,1690
高度(mm),1710,1710
轴距(mm),3026,3026
前轮距(mm),1445,1445
后轮距(mm),1430,1430
最小离地间隙(mm),185,185
整备质量(kg),-,-
车身结构_y,皮卡,皮卡
车门数(个),4,4
座位数(个),5,5
后排车门开启方式,平开门,平开门
油箱容积(L),-,-
货箱尺寸(mm),1480x1470x440,1480x1470x440
最大载重质量(kg),-,-
简称,5挡手动,5挡手动
挡位个数,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT)
驱动方式,前置后驱,前置后驱
前悬架类型,双摆臂扭杆弹簧,双摆臂扭杆弹簧
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架
助力类型,液压助力,液压助力
车体结构,非承载式,非承载式
前制动器类型,通风盘式,通风盘式
后制动器类型,鼓式,鼓式
前轮胎规格,215/75 R15,215/75 R15
后轮胎规格,215/75 R15,215/75 R15
发动机型号,GA491QEB,D22A
排量(mL),2237,2184
进气形式,自然吸气,涡轮增压
气缸排列形式,L,L
气缸数(个),4,4
每缸气门数(个),未知,未知
压缩比,-,-
配气机构,未知,未知
缸径(mm),-,-
行程(mm),-,-
最大马力(Ps),103,102
最大功率(kW)_y,76,75
最大功率转速(rpm),4600,-
最大扭矩(N·m)_y,193,-
最大扭矩转速(rpm),-,-
燃料形式,汽油,柴油
燃油标号,92号,0号
供油方式,多点电喷,直喷
缸盖材料,未知,未知
缸体材料,未知,未知
环保标准,国IV,国IV
电机类型,-,-
电动机总功率(kW),-,-
电动机总扭矩(N·m),-,-
前电动机最大功率(kW),-,-
前电动机最大扭矩(N·m),-,-
后电动机最大功率(kW),-,-
后电动机最大扭矩(N·m),-,-
驱动电机数,-,-
电机布局,-,-
电池类型,-,-
工信部续航里程(km),-,-
电池容量(kWh),-,-
百公里耗电量(kWh/100km),-,-
电池组质保,-,-
电池充电时间,-,-
快充电量(%),-,-
