Feature,1009560,1010262,1010264,1010266,1010339,1010341,1010342,1010344,1010345,1010346,1010347,1010348,1010349,1010350,1010351,1010352,1010353,1010354,1010355,1010356,1010357,1010358,1010359,1010360,1010361,1010362,1010363,1010364,1010365,1010366,1010367,1010368,1010369,1010371,1010373,1010375,1010377,1010379,1011097,1011098,1011099,1011100,1011101,1011102,1011103,1011104,1013133,1013134,1013135,1013136,1013137,1013138,1013139,1013140,1013141,1013142,1013143,1013144,1013145,1013146,1013147,1013148,1013150,1013151,1013797,1013798
高度(mm),1920,1885,1885,1920,1885,1885,1920,1920,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1885,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1885,1885,1920,1920,1920,1920,1885,1885,1885,1885,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1885,1885,1885,1885,1885,1885,1885,1885,1920,1920,1920,1920
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驱动方式,前置四驱,前置后驱,前置后驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置后驱,前置四驱,前置后驱,前置四驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置后驱,前置四驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置后驱,前置四驱,前置四驱
陡坡缓降,●,-,-,●,-,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
限滑差速器/差速锁,,-,-,,-,-,,,,,,,-,-,-,-,,,,,,,,,-,-,-,-,-,-,-,-,,-,,-,,-,,,-,-,,-,,-,,,-,-,,,-,-,,,-,-,,,-,-,,-,,
长度(mm),5340,5340,5340,5340,5630,5630,5630,5630,5340,5340,5630,5630,5340,5340,5630,5630,5340,5340,5630,5630,5340,5340,5630,5630,5340,5340,5630,5630,5340,5340,5630,5630,5340,5340,5340,5340,5340,5340,5340,5630,5340,5630,5340,5340,5340,5340,5340,5630,5340,5630,5340,5630,5340,5630,5340,5630,5340,5630,5340,5630,5340,5630,5340,5340,5340,5340
长*宽*高(mm),5340×1980×1920,5340×1960×1885,5340×1960×1885,5340×1980×1920,5630×1960×1885,5630×1960×1885,5630×1980×1920,5630×1980×1920,5340×1960×1885,5340×1960×1885,5630×1960×1885,5630×1960×1885,5340×1960×1885,5340×1960×1885,5630×1960×1885,5630×1960×1885,5340×1960×1885,5340×1960×1885,5630×1960×1885,5630×1960×1885,5340×1980×1920,5340×1980×1920,5630×1980×1920,5630×1980×1920,5340×1980×1920,5340×1980×1920,5630×1980×1920,5630×1980×1920,5340×1980×1920,5340×1980×1920,5630×1980×1920,5630×1980×1920,5340×1960×1885,5340×1960×1885,5340×1980×1920,5340×1980×1920,5340×1980×1920,5340×1980×1920,5340×1960×1885,5630×1960×1885,5340×1960×1885,5630×1960×1885,5340×1980×1920,5340×1980×1920,5340×1980×1920,5340×1980×1920,5340×1980×1920,5630×1980×1920,5340×1980×1920,5630×1980×1920,5340×1980×1920,5630×1980×1920,5340×1980×1920,5630×1980×1920,5340×1960×1885,5630×1960×1885,5340×1960×1885,5630×1960×1885,5340×1960×1885,5630×1960×1885,5340×1960×1885,5630×1960×1885,5340×1980×1920,5340×1980×1920,5340×1980×1920,5340×1980×1920
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,●,-,-,●,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,●,●,-,-
轴距(mm),3110,3110,3110,3110,3400,3400,3400,3400,3110,3110,3400,3400,3110,3110,3400,3400,3110,3110,3400,3400,3110,3110,3400,3400,3110,3110,3400,3400,3110,3110,3400,3400,3110,3110,3110,3110,3110,3110,3110,3400,3110,3400,3110,3110,3110,3110,3110,3400,3110,3400,3110,3400,3110,3400,3110,3400,3110,3400,3110,3400,3110,3400,3110,3110,3110,3110
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,●,○,○,●,○,○,●,●,○,○,○,○,○,○,○,○,○,○,○,○,●,●,●,●,●,●,●,●,●,●,●,●,○,○,●,●,●,●,○,○,○,○,●,●,●,●,●,●,●,●,●,●,●,●,○,○,○,○,○,○,○,○,●,●,●,●
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),●,-,-,●,-,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
