Feature,27252,27812,27813,33853,34198,34199,34200,34201,34334,34532,35378,35379,35380
高度(mm),1470,1470,1470,1449,1449,1449,1449,1449,1449,1449,1449,1449,1449
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,●,●,●,●,●,-,●,●,●,●
长度(mm),4915,4915,4915,4893,4893,4893,4893,4893,4893,4893,4893,4893,4893
长*宽*高(mm),4915*1845*1470,4915*1845*1470,4915*1845*1470,4893*1862*1449,4893*1862*1449,4893*1862*1449,4893*1862*1449,4893*1862*1449,4893*1862*1449,4893*1862*1449,4893*1862*1449,4893*1862*1449,4893*1862*1449
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,●,-,-,-,-,-,●,-,-,-
远程启动,●,●,●,●,-,-,-,●,-,●,-,-,●
远光灯,LED,LED,LED,LED,卤素,卤素,卤素,卤素,卤素,LED,卤素,卤素,LED
进气形式,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气
近光灯,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2775,2775,2775,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830
转向辅助灯,●,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
车道偏离预警系统,●,-,-,●,-,-,●,-,-,●,●,●,●
车载空气净化器,-,-,-,●,-,-,-,-,-,●,-,-,●
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,●,-,-,-,-,-,●,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降,全车,主驾驶位,全车,前排,前排,前排,前排,前排,前排,全车,前排,前排,前排
车型名称,雅阁 2016款 混动 2.0L 锐尊版,雅阁 2016款 混动 2.0L 锐酷版,雅阁 2016款 混动 2.0L 锐领版,雅阁 2018款 260TURBO 旗舰版,雅阁 2018款 230TURBO 舒适版,雅阁 2018款 260TURBO 精英版,雅阁 2018款 260TURBO 豪华版,雅阁 2018款 260TURBO 尊贵版,雅阁 2018款 230TURBO 舒享版,雅阁 2018款 锐·混动 2.0L 锐尊版,雅阁 2018款 锐·混动 2.0L 锐酷版,雅阁 2018款 锐·混动 2.0L 锐领版,雅阁 2018款 锐·混动 2.0L 锐智版
车内空气调节/花粉过滤,●,-,●,●,●,●,●,●,●,●,●,●,●
车内氛围灯,●,●,●,●,-,-,-,●,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-
行李厢容积(L),399,399,399,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,-,●,●,●,●,●,●,-,●,●,●,●
自适应远近光,-,-,-,●,-,-,●,-,-,●,●,●,●
自适应巡航,●,-,-,●,-,-,●,-,-,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,-,-,-,●,-,-,-,-,-,●,-,-,-
自动头灯,●,●,●,●,-,-,●,●,-,●,●,●,●
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-
腰部支撑调节,●,-,-,●,-,-,-,●,-,●,-,●,●
能源类型,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,油电混合
胎压监测装置,●,●,●,●,●,●,●,●,●,●,●,●,●
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-,-
