,19015,21184,21776,21777,21778
内/外后视镜自动防眩目,-,-,-,-,-
流媒体车内后视镜,-,-,-,-,-
后视镜电动折叠,-,-,-,-,-
后视镜记忆,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-
遮阳板化妆镜,-,-,-,-,-
后雨刷,-,-,-,-,●
感应雨刷,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●
后排独立空调,-,-,-,-,-
后座出风口,-,-,-,-,-
温度分区控制,-,-,-,-,-
车内空气调节/花粉过滤,●,●,●,●,●
车载冰箱,-,-,-,-,-
车型名称,比亚迪F0 2015款 1.0L AMT 铉酷型,比亚迪F0 2015款 1.0L AMT 悦酷型,比亚迪F0 2015款 1.0L 铉酷型,比亚迪F0 2015款 1.0L 悦酷型,比亚迪F0 2015款 1.0L 尚酷型
厂商指导价(元),4.39万,4.79万,3.79万,4.19万,4.79万
厂商,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪
级别,微型车,微型车,微型车,微型车,微型车
能源类型,汽油,汽油,汽油,汽油,汽油
上市时间,2015.03,2015.03,2015.03,2015.03,2015.03
最大功率(kW)_x,50,50,50,50,50
最大扭矩(N·m)_x,90,90,90,90,90
发动机,1.0L 68马力 L3,1.0L 68马力 L3,1.0L 68马力 L3,1.0L 68马力 L3,1.0L 68马力 L3
变速箱,5挡AMT,5挡AMT,5挡手动,5挡手动,5挡手动
长*宽*高(mm),3460*1618*1465,3460*1618*1465,3460*1618*1465,3460*1618*1465,3460*1618*1465
车身结构_x,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
最高车速(km/h),151,151,151,151,151
官方0-100km/h加速(s),-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-
实测油耗(L/100km),-,-,-,-,-
整车质保,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里
长度(mm),3460,3460,3460,3460,3460
宽度(mm),1618,1618,1618,1618,1618
高度(mm),1465,1465,1465,1465,1465
轴距(mm),2340,2340,2340,2340,2340
前轮距(mm),1420,1420,1420,1420,1420
后轮距(mm),1410,1410,1410,1410,1410
最小离地间隙(mm),140,140,140,140,140
车身结构_y,两厢车,两厢车,两厢车,两厢车,两厢车
车门数(个),5,5,5,5,5
座位数(个),5,5,5,5,5
油箱容积(L),30,30,30,30,30
行李厢容积(L),140,140,140,140,140
整备质量(kg),870,870,870,870,870
发动机型号,BYD371QA,BYD371QA,BYD371QA,BYD371QA,BYD371QA
排量(mL),998,998,998,998,998
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L,L,L
气缸数(个),3,3,3,3,3
每缸气门数(个),4,4,4,4,4
压缩比,10.5,10.5,10.5,10.5,10.5
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-
行程(mm),-,-,-,-,-
最大马力(Ps),68,68,68,68,68
最大功率(kW)_y,50,50,50,50,50
最大功率转速(rpm),6000,6000,6000,6000,6000
最大扭矩(N·m)_y,90,90,90,90,90
最大扭矩转速(rpm),4000-4500,4000-4500,4000-4500,4000-4500,4000-4500
发动机特有技术,-,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,国IV,国IV,国IV,国IV,国IV
挡位个数,5,5,5,5,5
变速箱类型,机械式自动变速箱(AMT),机械式自动变速箱(AMT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
简称,5挡AMT,5挡AMT,5挡手动,5挡手动,5挡手动
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,拖曳臂附扭力梁,拖曳臂附扭力梁,拖曳臂附扭力梁,拖曳臂附扭力梁,拖曳臂附扭力梁
助力类型,电子液压助力,电子液压助力,无助力,电子液压助力,电子液压助力
车体结构,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式
驻车制动类型,手刹,手刹,手刹,手刹,手刹
前轮胎规格,165/60 R14,165/60 R14,165/60 R14,165/60 R14,165/60 R14
后轮胎规格,165/60 R14,165/60 R14,165/60 R14,165/60 R14,165/60 R14
备胎规格,全尺寸,全尺寸,全尺寸,全尺寸,全尺寸
