Feature,33156,33157,33158,33159,33160,33161,33162,33163,37295,37370,37371
高度(mm),1470,1470,1477,1477,1477,1477,1470,1470,1473,1473,1473
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4923,4923,4923,4923,4923,4923,4923,4923,4933,4933,4933
长*宽*高(mm),4923*1854*1470,4923*1854*1470,4923*1854*1477,4923*1854*1477,4923*1854*1477,4923*1854*1477,4923*1854*1470,4923*1854*1470,4933*1854*1473,4933*1854*1473,4933*1854*1473
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,●,●,●,●,●,●,●,●,●
远程启动,-,-,●,●,●,●,●,●,●,●,●
远光灯,卤素,卤素,氙气,氙气,氙气,氙气,氙气,氙气,LED,LED,卤素
进气形式,涡轮增压,涡轮增压,涡轮增压,自然吸气,涡轮增压,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压
近光灯,卤素,卤素,氙气,氙气,氙气,氙气,氙气,氙气,LED,LED,卤素
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2829,2829,2829,2829,2829,2829,2829,2829,2829,2829,2829
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4
车道偏离预警系统,-,-,-,-,-,●,-,●,●,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,●,●,●,●,●,●,●,●,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降,主驾驶位,主驾驶位,主驾驶位,主驾驶位,前排,前排,主驾驶位,前排,前排,主驾驶位,主驾驶位
车型名称,迈锐宝XL 2018款 530T 自动锐享版,迈锐宝XL 2018款 530T 自动锐驰版,迈锐宝XL 2018款 530T 自动锐逸版,迈锐宝XL 2018款 535 自动锐尚版,迈锐宝XL 2018款 530T 双离合锐耀版,迈锐宝XL 2018款 535 自动锐尊版,迈锐宝XL 2018款 530H 全混动锐尚版,迈锐宝XL 2018款 530H 全混动锐尊版,迈锐宝XL 2019款 Redline 550T 自动锐智版,迈锐宝XL 2019款 Redline 550T 自动锐联版,迈锐宝XL 2019款 Redline 550T 自动锐动版
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●,●
车内氛围灯,-,●,●,●,●,●,●,●,●,●,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-,-,-,-,-,-
行李厢容积(L),520,520,520,520,505,520,328,328,520,520,520
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,●,-,●,●,-,-
自适应巡航,-,-,-,-,-,●,-,●,●,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-
自动泊车入位,-,-,-,-,-,●,-,●,●,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●
膝部气囊,-,-,-,-,-,-,-,-,-,-,-
腰部支撑调节,-,●,●,●,●,●,●,●,●,●,●
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,汽油,汽油,汽油
胎压监测装置,-,-,●,●,●,●,●,●,●,●,●
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车
简称,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,7挡双离合,6挡手自一体,E-CVT无级变速,E-CVT无级变速,9挡手自一体,9挡手自一体,9挡手自一体
第二排靠背角度调节,-,-,-,-,-,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-,-
空调控制方式,手动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●
空气悬架,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,-,●,●,●,●,●,●,●,●,●,●
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-,1.5,1.5,-,-,-
电动机总扭矩(N·m),-,-,-,-,-,-,415,415,-,-,-
电动机总功率(kW),-,-,-,-,-,-,114,114,-,-,-
电动座椅记忆,-,-,●,-,●,●,-,●,●,-,-
电动天窗,●,●,●,●,●,●,●,●,●,●,●
电动吸合门,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,95号,95号,95号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,汽油,汽油,汽油
温度分区控制,-,●,●,●,●,●,●,●,●,●,●
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),55,55,55,62,55,62,49,49,60,60,60
气缸数(个),4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),205,205,205,220,205,220,160,160,220,220,220
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),170,170,170,200,170,200,128,128,241,241,241
最大扭矩转速(rpm),2000-4000,2000-4000,2000-4000,4400,2000-4000,4400,4750,4750,1500-4000,1500-4000,1500-4000
最大扭矩(N·m)_y,252,252,252,253,252,253,175,175,350,350,350
最大扭矩(N·m)_x,252,252,252,253,252,253,-,-,350,350,350
最大功率转速(rpm),5600,5600,5600,6200,5600,6200,5000,5000,5000,5000,5000
最大功率(kW)_y,125,125,125,147,125,147,94,94,177,177,177
最大功率(kW)_x,125,125,125,147,125,147,-,-,177,177,177
无钥匙进入系统,●,●,●,●,●,●,●,●,●,●,●
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●
方向盘调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-
方向盘电动调节,-,-,-,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),1415,1415,1415,1480,1430,1480,1515,1515,1525,1525,1525
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-
排量(mL),1490,1490,1490,2457,1490,2457,1796,1796,1998,1998,1998
挡位个数,6,6,6,6,7,6,无级变速,无级变速,9,9,9
扬声器品牌,-,-,-,-,BOSE,BOSE,-,BOSE,BOSE,-,-
扬声器个数,6-7喇叭,6-7喇叭,6-7喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,8-9喇叭,6-7喇叭,6-7喇叭
手机无线充电,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射功能,●,●,●,●,●,●,●,●,●,●,●
感应雨刷,-,-,-,-,●,●,-,●,●,●,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●,●,●,●
座椅材料,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮
座位数(个),5,5,5,5,5,5,5,5,5,5,5
并线辅助,-,-,-,-,-,-,-,●,●,-,-
工信部综合油耗(L/100km),6.3,6.3,6.3,7.3,6,7.3,4.3,4.3,6.7,6.7,6.7
工信部续航里程(km),-,-,-,-,-,-,-,-,-,-,-
导航路况信息显示,-,-,-,-,-,-,-,-,●,●,-
宽度(mm),1854,1854,1854,1854,1854,1854,1854,1854,1854,1854,1854
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-
定速巡航,-,-,●,●,●,●,●,●,●,●,●
官方0-100km/h加速(s),9.5,9.5,9.5,9.1,9.5,9.1,8.8,8.8,7.2,7.2,7.2
安全带未系提示,●,●,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,●,●,●,●,●,●,-,-,-
夜视系统,-,-,-,-,-,-,-,-,-,-,-
多天窗,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●
外接音源接口,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB,USB,USB
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,无,无,非全尺寸,非全尺寸,非全尺寸
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1609,1599,1599,1599,1591,1591,1599,1599,1591,1591,1591
后轮胎规格,205/65 R16,225/55 R17 ,225/55 R17 ,225/55 R17 ,245/45 R18 ,245/45 R18 ,215/55 R17,215/55 R17,245/45 R18 ,245/45 R18 ,245/45 R18 
后视镜记忆,-,-,●,-,●,●,-,●,●,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●
后视镜电动折叠,-,-,●,-,●,●,-,●,●,●,-
后视镜加热,●,●,●,●,●,●,●,●,●,●,●
后电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-
后桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-
后排独立空调,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,●,●,●,●,●
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
后座出风口,●,●,●,●,●,●,●,●,●,●,●
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
可变转向比,-,-,-,-,-,-,-,-,-,-,-
可变悬架,-,-,-,-,-,-,-,-,-,-,-
可加热/制冷杯架,-,-,-,-,-,-,-,-,-,-,-
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),双离合变速箱(DCT),手自一体变速箱(AT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
变速箱,6挡手自一体,6挡手自一体,6挡手自一体,6挡手自一体,7挡双离合,6挡手自一体,E-CVT无级变速,E-CVT无级变速,9挡手自一体,9挡手自一体,9挡手自一体
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●
发动机特有技术,-,-,-,-,-,-,-,-,智能变缸科技,智能变缸科技,智能变缸科技
发动机型号,-,-,-,-,-,-,-,-,LSY,LSY,LSY
发动机启停技术,●,●,●,●,●,●,●,●,●,●,●
发动机,1.5T 170马力 L4,1.5T 170马力 L4,1.5T 170马力 L4,2.5L 200马力 L4,1.5T 170马力 L4,2.5L 200马力 L4,1.8L 128马力 L4,1.8L 128马力 L4,2.0T 241马力 L4,2.0T 241马力 L4,2.0T 241马力 L4
压缩比,10,10,10,11.2,10,11.2,11.5,11.5,10,10,10
厂商指导价(元),17.99万,19.49万,20.49万,21.99万,21.99万,24.99万,23.99万,26.99万,21.99万,20.49万,19.49万
厂商,上汽通用雪佛兰,上汽通用雪佛兰,上汽通用雪佛兰,上汽通用雪佛兰,上汽通用雪佛兰,上汽通用雪佛兰,上汽通用雪佛兰,上汽通用雪佛兰,上汽通用雪佛兰,上汽通用雪佛兰,上汽通用雪佛兰
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-
前雾灯,-,-,-,-,-,-,-,-,-,-,-
前轮距(mm),1606,1596,1596,1596,1589,1589,1596,1596,1589,1589,1589
前轮胎规格,205/65 R16,225/55 R17 ,225/55 R17 ,225/55 R17 ,245/45 R18 ,245/45 R18 ,215/55 R17,215/55 R17,245/45 R18 ,245/45 R18 ,245/45 R18 
前电动机最大扭矩(N·m),-,-,-,-,-,-,415,415,-,-,-
前电动机最大功率(kW),-,-,-,-,-,-,114,114,-,-,-
前桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前大灯雨雾模式,-,-,-,-,-,-,-,-,-,-,-
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排座椅通风,-,-,-,-,-,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,-
前/后排座椅按摩,-,-,-,-,-,-,-,-,-,-,-
