Feature,58512,58980,59786,59787,59788,59789,59790,59791,59792,59793,59794
高度(mm),1680,1680,1678,1680,1678,1680,1678,1680,1678,1680,1680
驾驶辅助影像,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,-,单电机,-,-,-,-,单电机,单电机,-,-,-
驱动方式,前置四驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置四驱,前置四驱,前置前驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670
长*宽*高(mm),4670*1865*1680,4670*1865*1680,4670*1865*1678,4670*1865*1680,4670*1865*1678,4670*1865*1680,4670*1865*1678,4670*1865*1680,4670*1865*1678,4670*1865*1680,4670*1865*1680
钥匙类型,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●
远程启动功能,,,-,,-,,-,,-,,
远光灯光源,,,,,,,,,,,
进气形式,涡轮增压,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,
辅助驾驶等级,,,-,,-,,-,,-,,
轴距(mm),2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755
轮圈材质,,,,,,,,,,,
车顶行李架,●,●,-,●,-,●,-,●,-,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●,●,●,●,●
车载智能系统,,,-,,-,,-,,-,,
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,-,●,-,●,-,●,-,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,
