Feature,1001722,1001723,1001725,1004534,1004535
高度(mm),2285,2285,2285,2285,2285
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
零胎压继续行驶,-,-,-,-,-
陡坡缓降,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-
长度(mm),5380,5380,5380,5380,5380
长*宽*高(mm),5380×1880×2285,5380×1880×2285,5380×1880×2285,5380×1880×2285,5380×1880×2285
铝合金轮圈,●,●,●,●,●
配气机构,DOHC,SOHC,未知,DOHC,DOHC
遮阳板化妆镜,-,-,-,-,-
遥控钥匙,●,●,●,●,●
道路救援呼叫,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-
运动外观套件,-,-,-,-,-
轴距(mm),3110,3110,3110,3110,3110
转向辅助灯,-,-,-,●,●
转向头灯,-,-,-,-,-
车顶行李架,-,-,-,-,-
车门数(个),4,4,4,4,4
车载电视,-,-,-,-,-
车载冰箱,-,-,-,-,-
车身结构_y,客车,客车,客车,客车,客车
车身结构_x,客车,客车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-
车窗防夹手功能,-,-,-,-,-
车型名称,海格H5C 2013款 2.4L基本型4RB2,海格H5C 2013款 2.4L基本型4G69S4N,海格H5C 2013款 2.7L基本型G4BA,海格H5C 2013款 2.4L商务舒适型4RB2,海格H5C 2013款 2.4L商务舒适型 国V二阶段4RB2
车内空气调节/花粉过滤,-,-,-,●,●
车内氛围灯,-,-,-,-,-
车内中控锁,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),-,-,-,-,-
行车电脑显示屏,-,-,-,-,-
行程(mm),-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-
自适应远近光,-,-,-,-,-
自动驻车,-,-,-,-,-
自动头灯,-,-,-,-,-
膝部气囊,-,-,-,-,-
腰部支撑调节,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油
胎压监测装置,-,-,-,-,-
肩部支撑调节,-,-,-,-,-
缸盖材料,铝,未知,未知,铝,铝
缸径(mm),-,-,-,-,-
缸体材料,铁,未知,未知,铁,铁
级别,轻客,轻客,轻客,轻客,轻客
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排靠背角度调节,●,●,●,●,●
第二排座椅移动,○,○,○,●,●
第三排座椅,3座,3座,3座,3座,3座
空调控制方式,手动●,手动●,手动●,手动●,手动●
空气悬架,-,-,-,-,-
皮质方向盘,-,-,-,●,●
电动座椅记忆,-,-,-,-,-
电动天窗,-,-,-,-,-
电动吸合门,-,-,-,-,-
电动后备厢,-,-,-,-,-
环保标准,国IV,国IV,国IV,国IV,国V
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-
燃油标号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油
温度分区控制,●,●,●,●,●
油箱容积(L),70,70,70,70,70
气缸数(个),4,4,4,4,4
气缸排列形式,L,L,L,L,L
每缸气门数(个),4,未知,未知,4,4
最高车速(km/h),-,-,-,-,-
最小离地间隙(mm),-,-,-,-,-
最大马力(Ps),139,136,150,139,139
最大载重质量(kg),-,-,-,-,-
最大扭矩转速(rpm),2600-3200,2500-3000,4000,2600-3200,2600-3200
最大扭矩(N·m)_y,217,200,235,217,217
最大扭矩(N·m)_x,217,200,235,217,217
最大功率转速(rpm),4600-5000,5250,4800,4600-5000,4600-5000
最大功率(kW)_y,102,100,110,102,102
最大功率(kW)_x,102,100,110,102,102
无钥匙进入系统,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-
方向盘调节,上下调节,上下调节,上下调节,上下调节,上下调节
方向盘记忆,-,-,-,-,-
方向盘电动调节,-,-,-,-,-
方向盘换挡,-,-,-,-,-
方向盘加热,-,-,-,-,-
整车质保,-,-,-,-,-
整备质量(kg),2120,2120,2120,2120,2120
排量(mL),2438,2378,2693,2438,2438
挡位个数,5,5,5,5,5
扬声器品牌,-,-,-,-,-
扬声器个数,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭
感应雨刷,-,-,-,-,-
感应后备厢,-,-,-,-,-
座椅高低调节,-,-,-,-,-
座椅材料,织物(选装真皮),织物(选装真皮),织物(选装真皮),真皮,真皮
座位数(个),6-15,6-15,6-15,8,11
并线辅助,-,-,-,-,-
工信部综合油耗(L/100km),-,-,-,-,-
宽度(mm),1880,1880,1880,1880,1880
定速巡航,-,-,-,-,-
安全带未系提示,-,-,-,-,-
大灯高度可调,-,-,-,-,-
大灯清洗装置,-,-,-,-,-
多功能方向盘,-,-,-,-,-
外接音源接口,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-
后雨刷,●,●,●,●,●
后轮距(mm),1650,1650,1650,1650,1650
后轮胎规格,195/75 R16,195/75 R16,195/75 R16,195/75 R16,195/75 R16
后视镜记忆,-,-,-,-,-
后视镜电动调节,●,●,●,●,●
后视镜电动折叠,-,-,-,-,-
后视镜加热,-,-,-,-,-
后桥限滑差速器/差速锁,-,-,-,-,-
后排车门开启方式,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门
后排独立空调,●,●,●,●,●
后排液晶屏,○,○,○,○,○
后排杯架,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
后排侧隐私玻璃,-,-,-,●,●
后排侧遮阳帘,-,-,-,-,-
后悬架类型,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧
后座出风口,●,●,●,●,●
后制动器类型,盘式,盘式,盘式,盘式,盘式
可变转向比,-,-,-,-,-
可变悬架,-,-,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
发动机电子防盗,-,-,-,●,●
发动机型号,4RB2,4G69S4N,G4BA,4RB2,4RB2
发动机启停技术,-,-,-,-,-
发动机,2.4L 139马力 L4,2.4L 136马力 L4,2.7L 150马力 L4,2.4L 139马力 L4,2.4L 139马力 L4
压缩比,9.2,9.8,9.5,9.2,9.2
厂商指导价(元),16.53万,16.73万,16.98万,23.98万,24.68万
厂商,苏州金龙,苏州金龙,苏州金龙,苏州金龙,苏州金龙
助力类型,液压助力,液压助力,液压助力,液压助力,液压助力
前雾灯,●,●,●,●,●
前轮距(mm),1655,1655,1655,1655,1655
前轮胎规格,195/75 R16,195/75 R16,195/75 R16,195/75 R16,195/75 R16
前桥限滑差速器/差速锁,-,-,-,-,-
前悬架类型,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂,双横臂独立悬挂
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排座椅通风,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-
前/后排座椅加热,-,-,-,-,-
前/后排头部气囊(气帘),-,-,-,-,-
前/后排侧气囊,-,-,-,-,-
前/后中央扶手,-,-,-,-,-
刹车辅助(EBA/BAS/BA等),-,-,-,-,-
制动力分配(EBD/CBC等),●,●,●,●,●
内/外后视镜自动防眩目,-,-,-,-,-
全景摄像头,-,-,-,-,-
全景天窗,-,-,-,-,-
倒车视频影像,○,○,○,○,○
侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
主/副驾驶座电动调节,-,-,-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-
主/副驾驶座安全气囊,-,-,-,-,-
中控台彩色大屏,○,○,○,○,○
中央差速器锁止功能,-,-,-,-,-
上市时间,2013.07,2013.07,2013.07,2016.07,2016.07
上坡辅助,-,-,-,-,-
LED日间行车灯,-,-,-,-,-
ISOFIX儿童座椅接口,-,-,-,-,-
GPS导航系统,○,○,○,○,○
CD/DVD,多碟CD(选装单碟DVD),多碟CD(选装单碟DVD),多碟CD(选装单碟DVD),多碟CD(选装单碟DVD),多碟CD(选装单碟DVD)
ABS防抱死,●,●,●,●,●
220V/230V电源,-,-,-,-,-
