Feature,1008762,1008763,1008764,1008765,1008766,1008767,1008768,1008769,1008770,1008771,1008772,1008773
高度(mm),1825,1825,1825,1825,1780,1780,1825,1825,1825,1825,1780,1780
驾驶辅助影像,,,,,,,,,,,,
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,,,,,,,,,,,,
长度(mm),5330,5640,5330,5640,5330,5640,5330,5640,5330,5640,5330,5640
长*宽*高(mm),5330×1880×1825,5640×1880×1825,5330×1880×1825,5640×1880×1825,5330×1880×1780,5640×1880×1780,5330×1880×1825,5640×1880×1825,5330×1880×1825,5640×1880×1825,5330×1880×1780,5640×1880×1780
钥匙类型,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,
轴距(mm),3095,3405,3095,3405,3095,3405,3095,3405,3095,3405,3095,3405
轮圈材质,,,,,,,,,,,,
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,雷神 2019款 2.5T手动四驱豪华型短轴JE4D25Q5A,雷神 2019款 2.5T手动四驱豪华型长轴JE4D25Q5A,雷神 2019款 2.5T手动四驱舒适型短轴JE4D25Q5A,雷神 2019款 2.5T手动四驱舒适型长轴JE4D25Q5A,雷神 2019款 2.5T手动四驱创享型短轴JE4D25Q5A,雷神 2019款 2.5T手动四驱创享型长轴JE4D25Q5A,雷神 2019款 2.5T手动两驱豪华型短轴JE4D25Q5A,雷神 2019款 2.5T手动两驱豪华型长轴JE4D25Q5A,雷神 2019款 2.5T手动两驱舒适型短轴JE4D25Q5A,雷神 2019款 2.5T手动两驱舒适型长轴JE4D25Q5A,雷神 2019款 2.5T手动两驱创享型短轴JE4D25Q5A,雷神 2019款 2.5T手动两驱创享型长轴JE4D25Q5A
车前雾灯,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
