Feature,46932,46933,53415,53416,53417,53418,53419,58646,58720,58739,58746,59243,59244,60106,60107
高度(mm),1720,1720,1750,1750,1775,1775,1775,1750,1775,1775,1775,1775,1775,1775,1775
驾驶辅助影像,,,,,,,,,,,,,,,
驾驶模式切换,,,-,-,-,,,-,,,,,,,
驻车制动类型,手刹,电子驻车,手刹,手刹,手刹,电子驻车,电子驻车,手刹,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,●,-,-,●,●,●,-,●,●,●,●,●,●,●
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4460,4460,4545,4545,4780,4780,4780,4545,4785,4780,4785,4785,4785,4785,4785
长*宽*高(mm),4460*1820*1720,4460*1820*1720,4545*1825*1750,4545*1825*1750,4780*1872*1775,4780*1872*1775,4780*1872*1775,4545*1825*1750,4785*1872*1775,4780*1872*1775,4785*1872*1775,4785*1872*1775,4785*1872*1775,4785*1872*1775,4785*1872*1775
钥匙类型,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
道路交通标识识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远程启动功能,-,,-,-,-,-,-,-,,-,,-,,-,
远光灯光源,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2720,2720,2720,2720,2753,2753,2753,2720,2753,2753,2753,2753,2753,2753,2753
