,1005649,1005650,1005651,1005652,1005653,1005654,1006017,1006018,1006019
车型名称,风景G7 2017款 2.0L商运版短轴平顶6座4Q20M,风景G7 2017款 2.0L商运版短轴高顶6座4Q20M,风景G7 2017款 2.0L商运版短轴平顶厢货4Q20M,风景G7 2017款 2.0L商运版短轴高顶厢货4Q20M,风景G7 2017款 2.0L商运版长轴高顶6座4Q20M,风景G7 2017款 2.0L商运版长轴高顶厢货4Q20M,风景G7 2017款 2.0L商运版短轴高顶7座4Q20M,风景G7 2017款 2.0L商旅版长轴高顶8座4Q20M,风景G7 2017款 2.0L商旅版长轴高顶10座4Q20M
厂商指导价(元),7.36万,7.42万,7.43万,7.32万,8.23万,7.89万~8.06万,7.68万,8.54万,9.04万
厂商,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车,福田汽车
级别,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,-,-,-,-,-,-,-,-,-
最大功率(kW)_x,-,-,-,-,-,-,-,-,-
最大扭矩(N·m)_x,-,-,-,-,-,-,-,-,-
发动机,2.0L 129马力 L4,2.0L 129马力 L4,2.0L 129马力 L4,2.0L 129马力 L4,2.0L 129马力 L4,2.0L 129马力 L4,2.0L 129马力 L4,2.0L 129马力 L4,2.0L 129马力 L4
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
长*宽*高(mm),4840×1695×1980,4840×1695×2240,4840×1695×1980,4840×1695×2240,5320×1695×2240,5320×1695×2240,4840×1695×2240,5320×1695×2240,5320×1695×2240
车身结构_x,客车,客车,货车,货车,客车,货车,客车,客车,客车
最高车速(km/h),135,135,135,135,120,120,-,-,-
工信部综合油耗(L/100km),9.2,9.2,10.5,10.5,9.6,10.1,-,-,-
整车质保,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,-,-,-
长度(mm),4840,4840,4840,4840,5320,5320,4840,5320,5320
宽度(mm),1695,1695,1695,1695,1695,1695,1695,1695,1695
高度(mm),1980,2240,1980,2240,2240,2240,2240,2240,2240
轴距(mm),2570,2570,2570,2570,3050,3050,2570,3050,3050
前轮距(mm),1470,1470,1470,1470,1470,1470,1470,1470,1470
后轮距(mm),1465,1465,1465,1465,1465,1465,1465,1465,1465
最小离地间隙(mm),160,160,160,160,160,160,160,160,160
整备质量(kg),-,-,-,-,-,-,-,-,-
车身结构_y,客车,客车,货车,货车,客车,货车,客车,客车,客车
车门数(个),4,4,4,4,4,4,4,4,4
座位数(个),6,6,2,2,6,2/5,7,8,10
后排车门开启方式,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门
油箱容积(L),65,65,65,65,65,65,65,65,65
货箱尺寸(mm),-,-,-,-,-,-,-,-,-
最大载重质量(kg),-,-,-,-,-,-,-,-,-
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
挡位个数,5,5,5,5,5,5,5,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
前悬架类型,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架,双横臂式扭杆弹簧独立悬架
后悬架类型,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧
助力类型,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力,液压助力
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
前轮胎规格,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195 R15C,195 R15C,195/70 R15,195 R15C,195 R15C
后轮胎规格,195/70 R15,195/70 R15,195/70 R15,195/70 R15,195 R15C,195 R15C,195/70 R15,195 R15C,195 R15C
发动机型号,4Q20M,4Q20M,4Q20M,4Q20M,4Q20M,4Q20M,4Q20M,4Q20M,4Q20M
排量(mL),1998,1998,1998,1998,1998,1998,1998,1998,1998
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4,4,4
压缩比,10,10,10,10,10,10,10,10,10
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-
最大马力(Ps),129,129,129,129,129,129,129,129,129
最大功率(kW)_y,95,95,95,95,95,95,95,95,95
最大功率转速(rpm),5000,5000,5000,5000,5000,5000,5000,5000,5000
最大扭矩(N·m)_y,186,186,186,186,186,186,186,186,186
最大扭矩转速(rpm),2200-3500,2200-3500,2200-3500,2200-3500,2200-3500,2200-3500,2200-3500,2200-3500,2200-3500
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝,铝,铝,铝,铝,铝,铝,铝,铝
缸体材料,铝,铝,铝,铝,铝,铝,铝,铝,铝
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国V
电机类型,-,-,-,-,-,-,-,-,-
电动机总功率(kW),-,-,-,-,-,-,-,-,-
电动机总扭矩(N·m),-,-,-,-,-,-,-,-,-
前电动机最大功率(kW),-,-,-,-,-,-,-,-,-
前电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-,-,-,-
后电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-
驱动电机数,-,-,-,-,-,-,-,-,-
电机布局,-,-,-,-,-,-,-,-,-
电池类型,-,-,-,-,-,-,-,-,-
工信部续航里程(km),-,-,-,-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-
电池组质保,-,-,-,-,-,-,-,-,-
电池充电时间,-,-,-,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-,-,-,-
