,13685,13686,15130,29621
最大扭矩(N·m)_x,92,92,92,92
发动机,1.0L 71马力 L3,1.0L 71马力 L3,1.0L 71马力 L3,1.0L 71马力 L3
变速箱,5挡手动,4挡自动,5挡手动,5挡手动
长*宽*高(mm),3570*1600*1470,3570*1600*1470,3570*1600*1470,3570*1600*1470
车身结构_x,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
最高车速(km/h),160,150,160,160
官方0-100km/h加速(s),-,-,-,-
实测0-100km/h加速(s),-,-,-,-
实测100-0km/h制动(m),-,-,-,-
工信部综合油耗(L/100km),5,5.7,5,5
实测油耗(L/100km),-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
长度(mm),3570,3570,3570,3570
宽度(mm),1600,1600,1600,1600
高度(mm),1470,1470,1470,1470
轴距(mm),2360,2360,2360,2360
前轮距(mm),1405,1405,1405,1405
后轮距(mm),1400,1400,1400,1400
最小离地间隙(mm),115,115,115,115
车身结构_y,两厢车,两厢车,两厢车,两厢车
车门数(个),5,5,5,5
座位数(个),5,5,5,5
油箱容积(L),35,35,35,35
行李厢容积(L),129-367,129-367,129-367,129-367
整备质量(kg),890,915,890,890
发动机型号,K10B1,K10B1,K10B1,K10B1
排量(mL),996,996,996,996
进气形式,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L,L
气缸数(个),3,3,3,3
每缸气门数(个),4,4,4,4
压缩比,10,10,10,10
配气机构,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-
行程(mm),-,-,-,-
最大马力(Ps),71,71,71,71
最大功率(kW)_y,52,52,52,52
最大功率转速(rpm),6200,6200,6200,6200
最大扭矩(N·m)_y,92,92,92,92
最大扭矩转速(rpm),2500-3500,2500-3500,2500-3500,2500-3500
发动机特有技术,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金
环保标准,国IV(国V),国IV(国V),国IV(国V),国IV(国V)
挡位个数,5,4,5,5
变速箱类型,手动变速箱(MT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT)
简称,5挡手动,4挡自动,5挡手动,5挡手动
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,鼓式,鼓式,鼓式,鼓式
驻车制动类型,手刹,手刹,手刹,手刹
前轮胎规格,155/65 R14,155/65 R14,155/65 R14,155/65 R14
后轮胎规格,155/65 R14,155/65 R14,155/65 R14,155/65 R14
备胎规格,全尺寸,全尺寸,全尺寸,全尺寸
