,1000287,1000288,1000289,1001954,1001955,1001956,1001957,1001958
主/副驾驶座安全气囊,-,-,-,-,-,-,-,-
前/后排侧气囊,-,-,-,-,-,-,-,-
前/后排头部气囊(气帘),-,-,-,-,-,-,-,-
胎压监测装置,-,-,-,-,-,-,-,-
安全带未系提示,-,-,-,-,-,-,-,-
ISOFIX儿童座椅接口,-,-,-,-,-,-,-,-
ABS防抱死,-,-,-,-,-,-,-,-
制动力分配(EBD/CBC等),-,-,-,-,-,-,-,-
刹车辅助(EBA/BAS/BA等),-,-,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-
前/后驻车雷达,-,-,-,-,-,-,-,-
倒车视频影像,-,-,-,-,-,-,-,-
定速巡航,-,-,-,-,-,-,-,-
电动天窗,-,-,-,-,-,-,-,-
全景天窗,-,-,-,-,-,-,-,-
铝合金轮圈,-,-,-,-,-,-,●,●
电动吸合门,-,-,-,-,-,-,-,-
侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门,手动侧滑门
电动后备厢,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-
发动机电子防盗,-,-,-,-,-,-,-,-
车内中控锁,○,○,●,○,○,●,●,●
遥控钥匙,-,-,●,-,-,●,●,●
皮质方向盘,-,-,-,-,-,-,-,-
方向盘调节,-,-,-,-,-,-,-,-
方向盘电动调节,-,-,-,-,-,-,-,-
多功能方向盘,-,-,-,-,-,-,-,-
行车电脑显示屏,-,-,-,-,-,-,-,-
座椅材质,织物,织物,织物,织物,织物,织物,织物,织物
座椅高低调节,-,-,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,-,-,-,-,-,-
第二排靠背角度调节,●,●,●,●,●,●,●,●
第二排座椅移动,-,-,-,-,-,-,-,-
前/后排座椅加热,-,-,-,-,-,-,-,-
第三排座椅,3座,3座,3座,3座,3座,3座,3座,3座
后排座椅放倒方式,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒
前/后中央扶手,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-
GPS导航系统,-,-,-,-,-,-,-,-
中控台彩色大屏,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-,-,-
外接音源接口,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX
CD/DVD,-,-,-,-,-,-,-,-
扬声器品牌,-,-,-,-,-,-,-,-
扬声器数量,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
LED日间行车灯,-,-,-,-,-,-,-,-
前雾灯,○,○,○,○,○,○,●,●
大灯高度可调,-,-,-,-,-,-,-,-
前/后电动车窗,-,-,前●&nbsp;/&nbsp;后-,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
后视镜电动调节,-,-,-,-,-,-,-,-
后视镜加热,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-
遮阳板化妆镜,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,●,●
空调控制方式,手动○,手动●,手动●,手动○,手动●,手动●,手动●,手动●
后排独立空调,-,-,-,-,-,-,-,-
后座出风口,○,●,●,○,●,●,●,●
温度分区控制,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-
车型名称,兴顺 2011款 1.3L基本型,兴顺 2011款 1.3L标准型,兴顺 2011款 1.3L舒适型,兴顺 2011款 1.0L基本型,兴顺 2011款 1.0L标准型,兴顺 2011款 1.0L舒适型,兴顺 2011款 1.3L豪华型,兴顺 2011款 1.0L豪华型
厂商指导价(元),3.98万,4.18万,4.38万,3.78万,3.98万,4.18万,4.58万,4.38万
厂商,力帆汽车,力帆汽车,力帆汽车,力帆汽车,力帆汽车,力帆汽车,力帆汽车,力帆汽车
级别,微面,微面,微面,微面,微面,微面,微面,微面
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2011.11,2011.11,2011.11,2013.10,2013.10,2013.10,2013.10,2013.10
最大功率(kW)_x,-,-,-,-,-,-,-,-
最大扭矩(N·m)_x,-,-,-,-,-,-,-,-
发动机,1.3L 92马力 L4,1.3L 92马力 L4,1.3L 92马力 L4,1.0L 68马力 L4,1.0L 68马力 L4,1.0L 68马力 L4,1.3L 92马力 L4,1.0L 68马力 L4
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
长*宽*高(mm),4201×1650×1908,4201×1650×1908,4201×1650×1908,4201×1650×1908,4201×1650×1908,4201×1650×1908,4201×1650×1908,4201×1650×1908
车身结构_x,客车,客车,客车,客车,客车,客车,客车,客车
最高车速(km/h),120,120,120,98,98,98,120,98
工信部综合油耗(L/100km),8.2,8.2,8.2,6.6,6.6,6.6,8.2,6.6
整车质保,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里
长度(mm),4201,4201,4201,4201,4201,4201,4201,4201
宽度(mm),1650,1650,1650,1650,1650,1650,1650,1650
高度(mm),1908,1908,1908,1908,1908,1908,1908,1908
轴距(mm),2850,2850,2850,2850,2850,2850,2850,2850
前轮距(mm),1415,1415,1415,1415,1415,1415,1415,1415
后轮距(mm),1430,1430,1430,1430,1430,1430,1430,1430
最小离地间隙(mm),-,-,-,-,-,-,-,-
整备质量(kg),1206,1206,1206,1206,1206,1206,1206,1206
车身结构_y,客车,客车,客车,客车,客车,客车,客车,客车
车门数(个),5,5,5,5,5,5,5,5
座位数(个),6-8,6-8,6-8,6-8,6-8,6-8,6-8,6-8
后排车门开启方式,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门
油箱容积(L),45,45,45,45,45,45,45,45
货箱尺寸(mm),-,-,-,-,-,-,-,-
最大载重质量(kg),-,-,-,-,-,-,-,-
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
挡位个数,5,5,5,5,5,5,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
