Feature,53200,55142,55143,56161,57578,57611
高度(mm),1625,1625,1625,1625,1620,1620
驾驶辅助影像,,,,,,
驾驶模式切换,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,双电机,单电机,双电机,双电机,单电机,双电机
驱动方式,双电机四驱,后置后驱,双电机四驱,双电机四驱,后置后驱,双电机四驱
首任车主质保政策,-,-,-,-,8年或16万公里,8年或16万公里
风阻系数(Cd),-,-,-,-,0.266,0.266
面部识别,●,●,●,●,●,●
隐藏电动门把手,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●
限滑差速器/差速锁,-,-,-,-,-,-
长度(mm),4770,4770,4770,4770,4785,4785
长*宽*高(mm),4770*1930*1625,4770*1930*1625,4770*1930*1625,4770*1930*1625,4785*1930*1620,4785*1930*1620
钥匙类型,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,-,-
道路救援呼叫,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●
远程启动功能,,,,,,
远光灯光源,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,-,-
近光灯光源,,,,,,
运动风格座椅,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-
辅助驾驶等级,,,,,,
轴距(mm),2880,2880,2880,2880,2880,2880
轮圈材质,,,,,,
转向辅助灯,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●
车载智能系统,,,,,,
车载冰箱,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
车联网,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●
车窗一键升降功能,,,,,,
车型名称,2022款 增程四驱性能版,2022款 增程后驱标准版,2022款 增程四驱旗舰版,2022款 增程四驱至臻版,2022款 纯电后驱标准版,2022款 纯电四驱性能版
车前雾灯,-,-,-,-,-,-
车内香氛装置,●,●,●,●,●,●
车内环境氛围灯,,,,,,
车内化妆镜,,,,,,
车内中控锁,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,
负离子发生器,●,●,●,●,-,-
语音识别控制系统,,,,,,
触摸式阅读灯,●,●,●,●,●,●
被动行人保护,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,
行程(mm),88.32,88.32,88.32,88.32,-,-
行李厢12V电源接口,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●
自动泊车入位,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●
膝部气囊,-,-,-,-,-,-
能量回收系统,●,●,●,●,●,●
能源类型,增程式,增程式,增程式,增程式,纯电动,纯电动
胎压监测功能,,,,,,
缺气保用轮胎,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,-,-
缸径(mm),73.5,73.5,73.5,73.5,-,-
缸体材料,铸铁,铸铁,铸铁,铸铁,-,-
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排独立座椅,-,-,-,-,-,-
第二排座椅调节,-,-,-,-,-,-
第二排座椅电动调节,-,-,-,-,-,-
第二排座椅功能,,,,,,
空载最小离地间隙(mm),-,-,-,-,170,170
空调温度控制方式,,,,,,
空气悬架,-,-,-,-,-,-
离去角(°),24,24,24,24,24,24
百公里耗电量(kWh/100km),23.3,19.8,23.7,23.7,15.1,16.9
疲劳驾驶提示,●,●,●,●,●,●
电芯品牌,宁德时代,宁德时代,宁德时代,宁德时代,宁德时代,宁德时代
电能当量燃料消耗量(L/100km),2.64,2.24,2.68,2.68,1.79,1.93
电磁感应悬架,-,-,-,-,-,-
电池预加热,●,●,●,●,●,●
电池能量密度(Wh/kg),-,-,-,-,141.7,140.9
电池能量(kWh),40,40,40,40,80,80
电池组质保,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里
电池类型,三元锂电池,三元锂电池,三元锂电池,三元锂电池,磷酸铁锂电池,磷酸铁锂电池
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,前交流/异步 后永磁/同步,永磁/同步,前交流/异步 后永磁/同步,前交流/异步 后永磁/同步,永磁/同步,前交流/异步 后永磁/同步
电机布局,前置+后置,后置,前置+后置,前置+后置,后置,前置+后置
电动机总扭矩(N·m),720,360,675,675,360,675
电动机总功率(kW),315,200,365,365,200,365
电动机总功率(Ps),428,272,496,496,272,496
电动机(Ps),428,272,496,496,272,496
电动扰流板,-,-,-,-,-,-
电动座椅记忆功能,,,,,,
电动吸合车门,-,-,-,-,-,-
电动后备厢位置记忆,●,●,●,●,●,●
电动后备厢,●,●,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,-,-
环保标准_x,国VI,国VI,国VI,国VI,-,-
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●
燃油标号,95号,95号,95号,95号,-,-
燃料形式,增程式,增程式,增程式,增程式,纯电动,纯电动
热泵空调,-,-,-,-,●,●
灯光特色功能,-,-,-,-,-,-
满载最小离地间隙(mm),150,150,150,150,150,150
温度分区控制,●,●,●,●,●,●
液晶仪表尺寸,,,,,,
油箱容积(L),56,56,56,56,-,-
气缸数(个),4,4,4,4,-,-
气缸排列形式,L,L,L,L,-,-
毫米波雷达数量,,,,,,
每缸气门数(个),4,4,4,4,-,-
最高车速(km/h),210,200,210,210,200,210
最大马力(Ps),125,125,125,125,272,496
最大满载质量(kg),2710,2595,2710,2710,2610,2725
最大扭矩转速(rpm),-,-,-,-,-,-
最大扭矩(N·m)_y,205,205,205,205,360,675
最大扭矩(N·m)_x,720,360,675,675,360,675
最大功率转速(rpm),-,-,-,-,-,-
最大功率(kW)_y,92,92,92,92,200,365
最大功率(kW)_x,315,200,365,365,200,365
最大净功率(kW),90,90,90,90,-,-
最低荷电状态油耗(L/100km),6.69,6.4,6.78,6.78,-,-
无钥匙进入功能,,,,,,
无钥匙启动系统,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-
方向盘材质,,,,,,
方向盘换挡,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-
方向盘位置调节,,,,,,
整车质保,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里
整备质量(kg),2335,2220,2335,2335,2235,2350
整体主动转向系统,-,-,-,-,-,-
摄像头数量,,,,,,
接近角(°),18,18,18,18,17,17
排量(mL),1499,1499,1499,1499,-,-
换挡形式,,,,,,
挡位个数,1,1,1,1,1,1
扬声器数量,,,,,,
扬声器品牌名称,,,,,,
手机无线充电功能,,,,,,
手机互联/映射,,,,,,
手机APP远程功能,,,,,,
手势控制,-,-,-,-,-,-
慢充时间(小时)_y,5,5,5,5,10.5,10.5
慢充时间(小时)_x,5,5,5,5,10.5,10.5
感应雨刷功能,,,,,,
感应后备厢,●,●,●,●,-,-
快充电量百分比,80,80,80,80,80,80
快充电量(%),80,80,80,80,80,80
快充时间(小时)_y,0.75,0.75,0.75,0.75,0.5,0.5
快充时间(小时)_x,0.75,0.75,0.75,0.75,0.5,0.5
快充功能,支持,支持,支持,支持,支持,支持
座椅材质,,,,,,
座位数(个),5,5,5,5,5,5
并线辅助,●,●,●,●,●,●
巡航系统,,,,,,
导航路况信息显示,●,●,●,●,●,●
对外放电,●,●,●,●,●,●
宽度(mm),1930,1930,1930,1930,1930,1930
官方0-50km/h加速(s),2,3.5,1.9,2,3.6,2.2
官方0-100km/h加速(s),4.8,7.1,4.4,4.6,7.1,4.5
安全带未系提醒,,,,,,
天窗类型,,,,,,
大灯高度可调,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-
大灯延时关闭,●,●,●,●,●,●
多层隔音玻璃,,,,,,
多媒体/充电接口,,,,,,
多功能方向盘,●,●,●,●,●,●
外后视镜功能,,,,,,
备胎规格,无,无,无,无,无,无
地图品牌,,,,,,
四驱形式,电动四驱,-,电动四驱,电动四驱,-,电动四驱
后风挡遮阳帘,-,-,-,-,-,-
后雨刷,●,●,●,●,●,●
后轮距(mm),1650,1650,1650,1650,1650,1650
后轮胎规格,255/50 R19,255/50 R19,255/45 R20,255/50 R19,255/50 R19,255/45 R20
后电动机最大扭矩(N·m),300,360,360,360,360,360
后电动机最大功率(kW),150,200,200,200,200,200
后排独立空调,-,-,-,-,-,-
后排液晶屏幕,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●
后排控制多媒体,-,-,-,-,-,-
后排座椅电动放倒,-,-,-,-,-,-
后排座椅放倒形式,,,,,,
后排小桌板,-,-,-,-,-,-
后排侧隐私玻璃,●,●,●,●,●,●
后排侧窗遮阳帘,-,-,-,-,-,-
后悬架类型,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架
后座出风口,●,●,●,●,●,●
后备厢容积(L),369-776,369-776,369-776,369-776,369-776,369-776
后制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
可变转向比,-,-,-,-,-,-
可变悬架功能,-,-,-,-,-,-
可加热喷水嘴,-,-,-,-,-,-
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
发动机电子防盗,-,-,-,-,-,-
发动机布局,横置,横置,横置,横置,-,-
发动机型号,H15RT,H15RT,H15RT,H15RT,-,-
发动机启停技术,-,-,-,-,-,-
发动机,增程式 125马力,增程式 125马力,增程式 125马力,增程式 125马力,纯电动,纯电动
压缩比,15,15,15,15,-,-
厂商指导价(元),29.48万,25.98万,33.18万,28.88万,25.98万,28.98万
厂商,赛力斯汽车,赛力斯汽车,赛力斯汽车,赛力斯汽车,赛力斯汽车,赛力斯汽车
卫星导航系统,●,●,●,●,●,●
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
加热/制冷杯架,-,-,-,-,-,-
副驾驶位后排可调节按钮,-,-,-,-,-,-
副座椅调节方式,,,,,,
前轮距(mm),1655,1655,1655,1655,1655,1655
前轮胎规格,255/50 R19,255/50 R19,255/45 R20,255/50 R19,255/50 R19,255/45 R20
前电动机最大扭矩(N·m),420,-,315,315,-,315
前电动机最大功率(kW),165,-,165,165,-,165
前方碰撞预警,●,●,●,●,●,●
前排座椅功能,,,,,,
前悬架类型,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架
前大灯雨雾模式,-,-,-,-,-,-
