Feature,1007384,1007542,1007543,1007544,1007545,1007546,1007547,1007548
高度(mm),1990,1990,1990,1990,1990,1990,1990,1990
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
零胎压继续行驶,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-
长度(mm),4498,4498,4530,4498,4530,4498,4530,4530
长*宽*高(mm),4498×1680×1990,4498×1680×1990,4530×1715×1990,4498×1680×1990,4530×1715×1990,4498×1680×1990,4530×1715×1990,4530×1715×1990
铝合金轮圈,-,-,-,-,-,-,-,-
配气机构,未知,未知,未知,未知,未知,未知,未知,未知
遮阳板化妆镜,-,-,-,-,-,-,-,-
遥控钥匙,-,-,-,●,●,●,●,-
道路救援呼叫,-,-,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-
轴距(mm),3000,3000,3000,3000,3000,3000,3000,3000
转向辅助灯,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,5,5
车载电视,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-
车身结构_y,客车,客车,货车,客车,货车,客车,货车,货车
车身结构_x,客车,客车,货车,客车,货车,客车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-
车型名称,睿行M60 2019款 1.5L基本型国V 7座4G15S,睿行M60 2019款 1.5L基本型国VI 7座DAM15KR,睿行M60 2019款 1.5L基本型国VI 厢货2座DAM15KR,睿行M60 2019款 1.5L标准型国VI 6座DAM15KR,睿行M60 2019款 1.5L标准型国VI 厢货5座DAM15KR,睿行M60 2019款 1.5L标准型国V 6座4G15S,睿行M60 2019款 1.5L标准型国V 厢货5座4G15S,睿行M60 2019款 1.5L基本型国V 厢货2座4G15S
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-
车内中控锁,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),-,-,-,-,-,-,-,-
行车电脑显示屏,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测装置,-,-,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知
级别,微面,微面,微面,微面,微面,微面,微面,微面
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排靠背角度调节,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-
第三排座椅,3座,3座,-,2座,-,2座,-,-
空调控制方式,-,-,-,手动●,手动●,手动●,手动●,-
空气悬架,-,-,-,-,-,-,-,-
皮质方向盘,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-
电动天窗,-,-,-,-,-,-,-,-
电动吸合门,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-
环保标准,国V,国VI,国VI,国VI,国VI,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,-,-,-
油箱容积(L),-,-,-,-,-,-,-,-
气缸数(个),4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4
最高车速(km/h),130,100,100,100,100,130,100,100
最小离地间隙(mm),-,-,-,-,-,-,-,-
最大马力(Ps),109,-,-,-,-,109,109,109
最大载重质量(kg),-,-,-,-,-,-,-,-
最大扭矩转速(rpm),-,-,-,-,-,-,-,-
最大扭矩(N·m)_y,131,150,150,150,150,131,131,131
最大扭矩(N·m)_x,131,150,150,150,150,131,131,131
最大功率转速(rpm),-,-,-,-,-,-,-,-
最大功率(kW)_y,80,85,85,85,85,80,80,80
最大功率(kW)_x,80,85,85,85,85,80,80,80
无钥匙进入系统,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-
方向盘调节,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-
方向盘电动调节,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-
整车质保,-,-,-,-,-,-,-,-
整备质量(kg),-,-,-,-,-,-,-,-
排量(mL),-,-,-,-,-,-,-,-
挡位个数,5,5,5,5,5,5,5,5
扬声器品牌,-,-,-,-,-,-,-,-
扬声器个数,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭
感应雨刷,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-
座椅高低调节,-,-,-,-,-,-,-,-
座椅材料,织物,织物,织物,织物,织物,织物,织物,织物
座位数(个),7,7,2,6,5,6,5,2
并线辅助,-,-,-,-,-,-,-,-
