Feature,32734,32735,32736,38779,39574,39575,39576,39577,39578,39899,39900,39901,39902
高度(mm),1475,1475,1475,1475,1475,1475,1475,1475,1475,1475,1475,1475,1475
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,●,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4980,4980,4980,4980,4980,4980,4980,4980,4980,4980,4980,4980,4980
长*宽*高(mm),4980*1858*1475,4980*1858*1475,4980*1858*1475,4980*1858*1475,4980*1858*1475,4980*1858*1475,4980*1858*1475,4980*1858*1475,4980*1858*1475,4980*1858*1475,4980*1858*1475,4980*1858*1475,4980*1858*1475
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,●,●,●,-,-,-,-,-,-,-,●,●,●
远程启动,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯,LED,LED,LED,LED,卤素,卤素,卤素,卤素,卤素,卤素,LED,LED,LED
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯,LED,LED,LED,LED,卤素,卤素,卤素,卤素,卤素,卤素,LED,LED,LED
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
转向辅助灯,●,●,●,●,●,●,●,●,●,●,●,●,●
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
车道偏离预警系统,●,●,●,-,-,-,-,-,-,-,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,-,-,-,-,-,-,-,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车
车型名称,雪铁龙C6 2017款 改款 380THP 尊贵型,雪铁龙C6 2017款 改款 380THP 尊贵型Nappa版,雪铁龙C6 2017款 改款 380THP 旗舰型,雪铁龙C6 2019款 400THP ORIGINS百年臻享版,雪铁龙C6 2018款 350THP 豪华型,雪铁龙C6 2019款 360THP 豪华型,雪铁龙C6 2019款 360THP 舒适型,雪铁龙C6 2018款 380THP 豪华型,雪铁龙C6 2018款 350THP 舒适型,雪铁龙C6 2019款 400THP 豪华型,雪铁龙C6 2019款 400THP 尊贵型,雪铁龙C6 2019款 400THP 尊贵型Nappa版,雪铁龙C6 2019款 400THP 旗舰型
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●,●,●,●
车内氛围灯,●,●,●,-,-,-,-,-,-,-,●,●,●
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-
