Feature,57377,57379,60818,61691,61706,63999,64038,64039
高度(mm),1550,1550,1550,1550,1550,1550,1550,1550
驾驶辅助影像,,,,,,,,
驾驶模式切换,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,手刹,电子驻车,手刹,电子驻车
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-
长度(mm),4006,4006,4006,4006,4006,4006,4006,4006
长*宽*高(mm),4006*1765*1550,4006*1765*1550,4006*1765*1550,4006*1765*1550,4006*1765*1550,4006*1765*1550,4006*1765*1550,4006*1765*1550
钥匙类型,,,,,,,,
道路交通标识识别,-,-,-,-,-,○,-,-
远光灯光源,,,,,,,,
近光灯光源,,,,,,,,
辅助驾驶等级,-,-,-,-,-,,-,-
轴距(mm),2485,2485,2485,2485,2485,2485,2485,2485
轮圈材质,,,,,,,,
车顶行李架,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,-,-,-,-,○,-,-
车道偏离预警系统,-,●,-,-,-,○,-,-
车道保持辅助系统,-,-,-,-,-,○,-,-
车载空气净化器,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,-,●,-,●
车联网,●,●,●,●,○,●,○,●
车窗防夹手功能,-,●,-,-,-,-,-,-
车窗一键升降功能,-,,-,-,-,-,-,-
车型名称,几何E 2023款 401KM 玲珑虎 5座,几何E 2023款 401KM 霹雳虎 5座,几何E 2023款 320KM 乖帅虎 5座,2023款 401KM 超吸粉特别版 5座,几何E 2023款 320KM 开心虎 5座,2024款  萤火虫 401KM 旗舰型,2024款  萤火虫 301KM 豪华型,2024款  萤火虫 301KM 尊贵型
车前雾灯,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,-,,-,,-,
语音连续识别,●,●,●,●,○,●,○,●
语音识别控制系统,,,,,,,,
语音分区域唤醒识别,,,,,,,,
语音免唤醒词,●,●,●,●,○,●,○,●
行车电脑显示屏幕,,,,,,,,
蓝牙/车载电话,●,●,●,●,○,●,○,●
自适应远近光,-,●,-,-,-,-,-,-
自动驻车,●,●,●,●,-,●,-,●
自动头灯,●,●,-,●,-,●,-,●
能量回收系统,●,●,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-
级别,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-
空载最小离地间隙(mm),165,165,165,165,165,-,-,-
空调温度控制方式,,,,,,,,
离去角(°),34.1,34.1,34.1,34.1,34.1,26.9,26.9,26.9
百公里耗电量(kWh/100km),11.5,11.5,11.5,11.5,11.5,-,-,-
疲劳驾驶提示,-,-,-,-,-,-,-,-
电芯品牌,宁德时代,宁德时代,宁德时代,宁德时代,宁德时代,-,-,-
电能当量燃料消耗量(L/100km),1.3,1.3,1.3,1.3,1.3,-,-,-
电池预加热,●,●,●,●,●,●,●,●
电池能量密度(Wh/kg),130,130,125,130,125,-,-,-
电池能量(kWh),39.4,39.4,33.5,39.4,33.5,-,-,-
电池组质保,八年或15万公里,八年或15万公里,八年或15万公里,八年或15万公里,八年或15万公里,八年或15万公里,八年或15万公里,八年或15万公里
电池类型,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池
电池冷却方式,风冷,风冷,风冷,风冷,风冷,风冷,风冷,风冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置,前置,前置,前置
电动机总扭矩(N·m),130,130,130,130,130,130,130,130
电动机总功率(kW),60,60,60,60,60,60,60,60
电动机总功率(Ps),82,82,82,82,82,82,82,82
电动机(Ps),82,82,82,82,82,82,82,82
电动座椅记忆功能,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),●,●,●,●,-,●,-,●
