,22372,22789,23761,23762,23763,23764,24688,28080,28081,28082,28083
方向盘调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节
方向盘电动调节,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,●,●,●,●,●,●,●,-,-,●,●
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●
全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-
HUD抬头数字显示,-,-,-,-,-,-,-,-,-,-,-
内置行车记录仪,-,-,-,-,-,-,-,-,-,-,-
主动降噪,-,-,-,-,-,-,-,-,-,-,-
手机无线充电,-,-,-,-,-,-,-,-,-,-,-
座椅材质,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,仿皮,织物,仿皮,仿皮,仿皮
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,-,●,●,-,●,●,-,-,-,●
腰部支撑调节,-,-,-,-,-,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,-,-,-,-,-,-,-,-,-
第二排靠背角度调节,●,●,●,●,●,●,●,●,●,●,●
第二排座椅移动,●,●,●,●,●,●,●,●,●,●,●
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅加热,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅通风,-,-,-,-,-,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,3座,3座,3座,3座,3座,3座,3座,3座(选装2座),3座(选装2座),3座(选装2座),3座(选装2座)
后排座椅放倒方式,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,整体放倒,比例放倒,比例放倒
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
后排杯架,●,●,●,●,●,●,●,●,●,●,●
可加热/制冷杯架,-,-,-,-,-,-,-,-,-,-,-
GPS导航系统,●,○,○,●,○,○,●,-,-,○,○
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-
中控台彩色大屏,●,●,●,●,●,●,●,-,-,●,●
中控台彩色大屏尺寸,-,-,-,-,-,-,-,-,-,-,-
中控液晶屏分屏显示,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,-,-,●,●
手机互联/映射,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-,-,-,-,-,-
外接音源接口,USB+SD卡插槽,USB(选装SD卡插槽),USB(选装SD卡插槽),USB+SD卡插槽,USB(选装SD卡插槽),USB(选装SD卡插槽),USB+SD卡插槽,USB,USB,USB(选装SD卡插槽),USB(选装SD卡插槽)
CD/DVD,-,-,-,-,-,-,-,-,-,-,-
扬声器品牌,-,-,-,-,-,-,-,-,-,-,-
扬声器数量,6-7喇叭,4-5喇叭,4-5喇叭,6-7喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,6-7喇叭
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
LED日间行车灯,●,●,●,●,●,●,●,-,-,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-
自动头灯,●,-,-,●,-,-,-,-,-,-,-
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-
前雾灯,●,●,●,●,●,●,●,-,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-
防紫外线/隔热玻璃,-,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●,●
后视镜加热,●,●,●,●,●,●,●,-,-,●,●
内/外后视镜自动防眩目,-,-,-,-,-,-,-,-,-,-,-
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-,-
后视镜电动折叠,●,-,-,●,-,-,-,-,-,-,-
后视镜记忆,-,-,-,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●,-,●,●,●,●
后雨刷,●,●,●,●,●,●,-,-,-,●,●
感应雨刷,-,-,-,-,-,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●,手动●
后排独立空调,●,●,●,●,●,●,●,-,●,●,●
后座出风口,●,●,●,●,●,●,●,-,●,●,●
温度分区控制,-,-,-,-,-,-,-,-,-,-,-
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●,●
车载冰箱,-,-,-,-,-,-,-,-,-,-,-
车型名称,风行S500 2016款 1.6L CVT尊贵型,风行S500 2016款 1.6L 手动豪华型,风行S500 2016款 1.6L 手动尊享型,风行S500 2016款 1.6L 手动尊贵型,风行S500 2016款 1.6L CVT豪华型,风行S500 2016款 1.6L CVT尊享型,风行S500 2016款 1.6L CVT公务版,风行S500 2017款 1.5L 手动实用型,风行S500 2017款 1.5L 手动精英型,风行S500 2017款 1.5L 手动豪华型,风行S500 2017款 1.5L 手动尊享型
厂商指导价(元),9.99万,7.59万,7.99万,8.69万,8.69万,9.29万,9.79万,5.99万,6.49万,6.79万,7.09万
厂商,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行,东风风行
级别,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2015.11,2015.11,2015.11,2015.11,2015.11,2015.11,2015.11,2016.10,2016.10,2016.10,2016.10
工信部纯电续驶里程(km),-,-,-,-,-,-,-,-,-,-,-
最大功率(kW)_x,90,90,90,90,90,90,90,88,88,88,88
最大扭矩(N·m)_x,151,151,151,151,151,151,151,143,143,143,143
发动机,1.6L 122马力 L4,1.6L 122马力 L4,1.6L 122马力 L4,1.6L 122马力 L4,1.6L 122马力 L4,1.6L 122马力 L4,1.6L 122马力 L4,1.5L 120马力 L4,1.5L 120马力 L4,1.5L 120马力 L4,1.5L 120马力 L4
变速箱,CVT无级变速(模拟6挡),5挡手动,5挡手动,5挡手动,CVT无级变速(模拟6挡),CVT无级变速(模拟6挡),CVT无级变速(模拟6挡),5挡手动,5挡手动,5挡手动,5挡手动
长*宽*高(mm),4620*1810*1740,4620*1810*1740,4620*1810*1740,4620*1810*1740,4620*1810*1740,4620*1810*1740,4620*1810*1740,4620*1810*1720,4620*1810*1740,4620*1810*1740,4620*1810*1740
车身结构_x,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
最高车速(km/h),160,160,160,160,160,160,160,160,160,160,160
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),13.99,-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),39.65,-,-,-,-,-,-,-,-,-,-
工信部综合油耗(L/100km),6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.3,6.3,6.3,6.3
实测油耗(L/100km),7.5,-,-,-,-,-,-,-,-,-,-
整车质保,五年或10万公里,五年或10万公里,五年或10万公里,三年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里,五年或10万公里
长度(mm),4620,4620,4620,4620,4620,4620,4620,4620,4620,4620,4620
宽度(mm),1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810
高度(mm),1740,1740,1740,1740,1740,1740,1740,1720,1740,1740,1740
轴距(mm),2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750
前轮距(mm),1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540
后轮距(mm),1545,1545,1545,1545,1545,1545,1545,1545,1545,1545,1545
最小离地间隙(mm),170,170,170,170,170,170,170,170,170,170,170
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车门数(个),5,5,5,5,5,5,5,5,5,5,5
座位数(个),7,7,7,7,7,7,7,7,7,7,7
油箱容积(L),45,45,45,45,45,45,45,45,45,45,45
行李厢容积(L),-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),1435,1370,1370,1370,1435,1435,1435,1370,1370,1370,1370
发动机型号,三菱4A92,三菱4A92,三菱4A92,三菱4A92,三菱4A92,三菱4A92,三菱4A92,三菱4A91S,三菱4A91S,三菱4A91S,三菱4A91S
排量(mL),1590,1590,1590,1590,1590,1590,1590,1499,1499,1499,1499
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4
压缩比,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),75,75,75,75,75,75,75,75,75,75,75
行程(mm),90,90,90,90,90,90,90,84.8,84.8,84.8,84.8
最大马力(Ps),122,122,122,122,122,122,122,120,120,120,120
最大功率(kW)_y,90,90,90,90,90,90,90,88,88,88,88
最大功率转速(rpm),6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
最大扭矩(N·m)_y,151,151,151,151,151,151,151,143,143,143,143
最大扭矩转速(rpm),4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
发动机特有技术,MIVEC,MIVEC,MIVEC,MIVEC,MIVEC,MIVEC,MIVEC,MIVEC,MIVEC,MIVEC,MIVEC
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
挡位个数,6,5,5,5,6,6,6,5,5,5,5
变速箱类型,无级变速箱(CVT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
简称,CVT无级变速(模拟6挡),5挡手动,5挡手动,5挡手动,CVT无级变速(模拟6挡),CVT无级变速(模拟6挡),CVT无级变速(模拟6挡),5挡手动,5挡手动,5挡手动,5挡手动
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,拖臂式非独立悬架,拖臂式非独立悬架,拖臂式非独立悬架,拖臂式非独立悬架,拖臂式非独立悬架,拖臂式非独立悬架,拖臂式非独立悬架,拖臂式非独立悬架,拖臂式非独立悬架,拖臂式非独立悬架,拖臂式非独立悬架
助力类型,电动助力,机械液压助力,机械液压助力,机械液压助力,电动助力,电动助力,电动助力,机械液压助力,机械液压助力,机械液压助力,机械液压助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,鼓式,鼓式,盘式,盘式
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
前轮胎规格,205/55 R16,195/60 R16,195/60 R16,195/60 R16,205/55 R16,205/55 R16,205/55 R16,195/65 R15,195/60 R16,195/60 R16,195/60 R16
后轮胎规格,205/55 R16,195/60 R16,195/60 R16,195/60 R16,205/55 R16,205/55 R16,205/55 R16,195/65 R15,195/60 R16,195/60 R16,195/60 R16
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,全尺寸,非全尺寸,非全尺寸,非全尺寸
