Feature,1013655,1013656,1013657,1013658,1013659,1013660,1013661,1013662,1013663,1013664,1013665,1013666,1013759,1013760,1013761,1013762
高度(mm),-,-,-,-,-,-,-,-,1895,1895,1895,1895,1870,1870,1870,1870
驾驶辅助影像,,,,,,,,,,,,,,,,
驱动方式,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,,,-,-,,,-,-,,,-,-,,,-,-
长度(mm),5310,5603,5310,5603,5310,5603,5310,5603,5310,5603,5310,5603,5310,5603,5310,5603
长*宽*高(mm),5310×1880×,5603×1880×,5310×1880×,5603×1880×,5310×1880×,5603×1880×,5310×1880×,5603×1880×,5310×1880×1895,5603×1880×1895,5310×1880×1895,5603×1880×1895,5310×1880×1870,5603×1880×1870,5310×1880×1870,5603×1880×1870
钥匙类型,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3105,3398,3105,3398,3105,3398,3105,3398,3105,3398,3105,3398,3105,3398,3105,3398
轮圈材质,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-
