Feature,58076,58247,58635,59888,59889,59890,63189
高精地图,-,○,○,-,-,-,-
高度(mm),1705,1705,1705,1705,1705,1705,1705
驾驶辅助影像,,,,,,,
驾驶模式切换,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,-,-,单电机,-,-,单电机,-
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-
面部识别,-,●,●,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●
长度(mm),4670,4670,4670,4670,4670,4670,4670
长*宽*高(mm),4670*1900*1705,4670*1900*1705,4670*1900*1705,4670*1900*1705,4670*1900*1705,4670*1900*1705,4670*1900*1705
钥匙类型,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●
远程启动功能,,,,,,,
远光灯光源,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,
辅助驾驶等级,,,,,,,
轴距(mm),2777,2777,2777,2777,2777,2777,2777
轮圈材质,,,,,,,
车顶行李架,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-
车载智能系统,,,,,,,
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,
车机智能芯片,,,,,,,
车型名称,博越L 2023款 1.5TD DCT尊贵型,博越L 2023款 2.0TD DCT旗舰型,博越L 2023款 1.5TD 雷神Hi·F Super 睿,博越L 2023款 1.5TD DCT豪华型,博越L 2023款 2.0TD DCT尊贵型,博越L 2023款 1.5TD 雷神Hi·F Super 迅,博越L 2023款 1.5TD DCT荣耀版
车前雾灯,-,-,-,-,-,-,-
车内香氛装置,-,●,●,-,-,-,-
车内环境氛围灯,,,,,,,
车内化妆镜,,,,,,,
车内中控锁,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,
