,22434,24902,24903,24904,24905,24906,24907,24908
电磁感应悬架,-,-,-,-,-,-,-,-
可变转向比,-,-,-,-,-,-,-,-
前桥限滑差速器/差速锁,-,-,-,-,-,-,-,-
中央差速器锁止功能,-,-,-,-,-,-,-,-
后桥限滑差速器/差速锁,-,-,-,-,-,-,-,-
整体主动转向系统,-,-,-,-,-,-,-,-
电动天窗,●,-,-,●,●,●,●,●
全景天窗,●,-,-,-,-,●,-,●
运动外观套件,-,-,-,-,-,-,-,-
铝合金轮圈,●,●,●,●,●,●,●,●
电动吸合门,-,-,-,-,-,-,-,-
侧滑门,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-
车顶行李架,●,-,●,●,●,●,●,●
发动机电子防盗,●,●,●,●,●,●,●,●
车内中控锁,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●
无钥匙启动系统,●,-,-,-,●,●,●,●
无钥匙进入系统,●,-,-,-,●,●,●,●
远程启动,-,-,-,-,-,-,-,-
皮质方向盘,●,-,-,●,-,●,-,●
方向盘调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节,上下调节
方向盘电动调节,-,-,-,-,-,-,-,-
多功能方向盘,●,-,●,●,●,●,●,●
方向盘换挡,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-
行车电脑显示屏,●,●,●,●,●,●,●,●
全液晶仪表盘,-,-,-,-,-,-,-,-
HUD抬头数字显示,-,-,-,-,-,-,-,-
内置行车记录仪,-,-,-,-,-,-,-,-
主动降噪,-,-,-,-,-,-,-,-
手机无线充电,-,-,-,-,-,-,-,-
座椅材质,仿皮,织物,织物,仿皮,织物,仿皮,织物,仿皮
运动风格座椅,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●
腰部支撑调节,-,-,-,-,-,-,-,-
肩部支撑调节,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副-,-,-,-,-,-,-,-
第二排靠背角度调节,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-
前/后排座椅加热,-,-,-,-,-,-,-,-
前/后排座椅通风,-,-,-,-,-,-,-,-
前/后排座椅按摩,-,-,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●
后排杯架,-,-,-,-,-,-,-,-
可加热/制冷杯架,-,-,-,-,-,-,-,-
GPS导航系统,●,-,-,-,-,-,-,-
定位互动服务,○,-,-,-,-,-,-,-
中控台彩色大屏,●,-,●,●,●,●,●,●
中控台彩色大屏尺寸,7英寸,-,7英寸,7英寸,7英寸,7英寸,7英寸,7英寸
中控液晶屏分屏显示,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,-,●,●,●,●,●,●
手机互联/映射,●,-,●,●,●,●,●,●
车载电视,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-
220V/230V电源,-,-,-,-,-,-,-,-
外接音源接口,USB+HDMI,USB,USB+HDMI,USB+HDMI,USB+HDMI,USB+HDMI,USB+HDMI,USB+HDMI
CD/DVD,-,-,-,-,-,-,-,-
扬声器品牌,-,-,-,-,-,-,-,-
扬声器数量,6-7喇叭,4-5喇叭,4-5喇叭,6-7喇叭,4-5喇叭,6-7喇叭,4-5喇叭,6-7喇叭
近光灯,氙气,卤素,卤素,卤素,卤素,卤素,卤素,卤素
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
LED日间行车灯,●,-,-,●,-,●,-,●
自适应远近光,-,-,-,-,-,-,-,-
自动头灯,●,-,-,●,-,●,-,●
转向辅助灯,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-
前雾灯,●,-,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
车窗一键升降,主驾驶位,-,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位
车窗防夹手功能,●,-,●,●,●,●,●,●
防紫外线/隔热玻璃,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●
后视镜加热,●,-,-,-,-,-,-,-
内/外后视镜自动防眩目,内●&nbsp;/&nbsp;外-,-,-,-,-,-,-,-
流媒体车内后视镜,-,-,-,-,-,-,-,-
后视镜电动折叠,●,-,-,-,-,-,-,-
后视镜记忆,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-
遮阳板化妆镜,●,●,●,●,●,●,●,●
后雨刷,●,●,●,●,●,●,●,●
感应雨刷,●,-,-,●,-,●,-,●
空调控制方式,自动●,手动●,手动●,自动●,手动●,自动●,手动●,自动●
后排独立空调,-,-,-,-,-,-,-,-
后座出风口,-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-
车内空气调节/花粉过滤,●,-,●,●,●,●,●,●
车载冰箱,-,-,-,-,-,-,-,-
车型名称,绅宝X55 2016款 1.5T CVT豪华版,绅宝X55 2016款 1.5L 手动标准版,绅宝X55 2016款 1.5L 手动舒适版,绅宝X55 2016款 1.5L 手动精英版,绅宝X55 2016款 1.5T 手动舒适版,绅宝X55 2016款 1.5T 手动精英版,绅宝X55 2016款 1.5T CVT舒适版,绅宝X55 2016款 1.5T CVT精英版
厂商指导价(元),11.98万,7.68万,7.98万,8.98万,9.48万,10.48万,9.68万,10.88万
厂商,北京汽车,北京汽车,北京汽车,北京汽车,北京汽车,北京汽车,北京汽车,北京汽车
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
上市时间,2016.01,2016.01,2016.01,2016.01,2016.01,2016.01,2016.01,2016.01
工信部纯电续驶里程(km),-,-,-,-,-,-,-,-
最大功率(kW)_x,110,85,85,85,110,110,110,110
最大扭矩(N·m)_x,210,148,148,148,210,210,210,210
发动机,1.5T 150马力 L4,1.5L 116马力 L4,1.5L 116马力 L4,1.5L 116马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4,1.5T 150马力 L4
变速箱,CVT无级变速,5挡手动,5挡手动,5挡手动,6挡手动,6挡手动,CVT无级变速,CVT无级变速
长*宽*高(mm),4405*1809*1685,4405*1809*1685,4405*1809*1685,4405*1809*1685,4405*1809*1685,4405*1809*1685,4405*1809*1685,4405*1809*1685
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
最高车速(km/h),175,170,170,170,185,185,175,175
官方0-100km/h加速(s),-,-,-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,11.15,-,-
实测100-0km/h制动(m),-,-,-,-,-,42.57,-,-
工信部综合油耗(L/100km),7.5,6.8,6.8,6.8,7.3,7.3,7.5,7.5
实测油耗(L/100km),-,-,-,-,-,9.5,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,待查,三年或10万公里
长度(mm),4405,4405,4405,4405,4405,4405,4405,4405
宽度(mm),1809,1809,1809,1809,1809,1809,1809,1809
高度(mm),1685,1685,1685,1685,1685,1685,1685,1685
轴距(mm),2650,2650,2650,2650,2650,2650,2650,2650
前轮距(mm),1534,1534,1534,1534,1534,1534,1534,1534
后轮距(mm),1540,1540,1540,1540,1540,1540,1540,1540
最小离地间隙(mm),200,200,200,200,200,200,200,200
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车门数(个),5,5,5,5,5,5,5,5
座位数(个),5,5,5,5,5,5,5,5
油箱容积(L),55,55,55,55,55,55,55,55
行李厢容积(L),-,-,-,-,-,-,-,-
整备质量(kg),1431,1360,1360,1360,1410,1410,1431,1431
发动机型号,4A91T,A151,A151,A151,4A91T,4A91T,4A91T,4A91T
排量(mL),1499,1499,1499,1499,1499,1499,1499,1499
进气形式,涡轮增压,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压
气缸排列形式,L,L,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4,4,4
压缩比,-,-,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-
最大马力(Ps),150,116,116,116,150,150,150,150
最大功率(kW)_y,110,85,85,85,110,110,110,110
最大功率转速(rpm),6000,6000,6000,6000,6000,6000,6000,6000
最大扭矩(N·m)_y,210,148,148,148,210,210,210,210
最大扭矩转速(rpm),2000-4500,3800,3800,3800,2000-4500,2000-4500,2000-4500,2000-4500
发动机特有技术,-,-,-,-,-,-,-,-
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V),国IV(国V)
挡位个数,无级变速,5,5,5,6,6,无级变速,无级变速
变速箱类型,无级变速箱(CVT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),无级变速箱(CVT),无级变速箱(CVT)
简称,CVT无级变速,5挡手动,5挡手动,5挡手动,6挡手动,6挡手动,CVT无级变速,CVT无级变速
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
前轮胎规格,215/60 R17,215/65 R16,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17
后轮胎规格,215/60 R17,215/65 R16,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17,215/60 R17
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
