Feature,1003261,1003262,1004666,1004667,1005303,1005304,1006347,1006349,1006351,1006352,1006353,1006354,1006355,1006356,1006357,1006358,1006359,1006360,1006361,1006362
高度(mm),1995,1995,1995,1995,2030,2030,2030,2030,2465,2280,2030,2030,2030,2465,2280,2030,2030,2030,2030,2030
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4930,4930,4960,4960,5335,5335,4960,5335,4930,4930,4960,4960,5335,4930,4930,4960,4960,5335,4960,5335
长*宽*高(mm),4930×1720×1995,4930×1720×1995,4960×1820×1995,4960×1820×1995,5335×1745×2030,5335×1745×2030,4960×1720×2030,5335×1680×2030,4930×1730×2465,4930×1730×2280,4960×1720×2030,4960×1720×2030,5335×1680×2030,4930×1730×2465,4930×1730×2280,4960×1720×2030,4960×1720×2030,5335×1680×2030,4960×1720×2030,5335×1680×2030
铝合金轮圈,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
遮阳板化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
遥控钥匙,-,●,●,-,●,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
