Feature,24800,24801,24802,24803,24804,24805,24818,24819,25614,25615,25616,25617,25618,25619,25620,25621,25622,25623,26054,26055,26056,26057,26058,26059,26060,27194,28246,28247,29216,29217,29713,29714,29715,29716,29717,29718,29719,29720,29817,29818,29819,29820,30595,34693
高度(mm),2534,2534,2534,2534,2534,2534,2060,2060,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2489,2489,2489,2370,2370,2450,2150,2370,2083,2083,2425,2425,2425,2425,2425,2425,2425,2425,2425,2425,2370,2370,2460,2489,2425,2530
驻车制动类型,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹
驱动方式,前置后驱,前置四驱,前置后驱,前置四驱,前置后驱,前置四驱,前置后驱,前置四驱,前置四驱,前置后驱,前置四驱,前置后驱,前置四驱,前置后驱,前置后驱,前置四驱,前置后驱,前置后驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置后驱,前置四驱,前置后驱,前置四驱,前置后驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),5689,5689,5689,5689,5689,5689,5689,5689,5715,5715,5715,5715,5715,6224,6224,5715,5715,6224,5692,5692,5692,5760,5760,6230,6230,5760,6200,6200,5715,5715,6224,6224,5715,5715,5715,5715,5715,5715,5760,5760,5760,5692,5715,5715
长*宽*高(mm),5689*2017*2534,5689*2017*2534,5689*2017*2534,5689*2017*2534,5689*2017*2534,5689*2017*2534,5689*2017*2060,5689*2017*2060,5715*2098*2425,5715*2098*2425,5715*2098*2425,5715*2098*2425,5715*2098*2425,6224*2098*2425,6224*2098*2425,5715*2098*2425,5715*2098*2425,6224*2098*2425,5692*2016*2489,5692*2016*2489,5692*2016*2489,5760*2040*2370,5760*2040*2370,6230*2018*2450,6230*2018*2150,5760*2100*2370,6200*2018*2083,6200*2018*2083,5715*2098*2425,5715*2098*2425,6224*2098*2425,6224*2098*2425,5715*2098*2425,5715*2098*2425,5715*2098*2425,5715*2098*2425,5715*2098*2425,5715*2098*2425,5760*2100*2370,5760*2100*2370,5760*2050*2460,5692*2016*2489,5715*2098*2425,5715*2098*2530
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
