Feature,1004255,1004380,1004381,1005470,1005471,1005472,1005473,1005474,1005475
高度(mm),2161,2398,2161,2360,2360,2590,2590,2360,2360
驱动电机数,-,-,-,-,-,-,-,-,-
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-
长度(mm),4965,4965,4965,5782,5782,5782,6505,6505,5782
长*宽*高(mm),4965×2000×2161,4965×2000×2398,4965×2000×2161,5782×2000×2360,5782×2000×2360,5782×2000×2590,6505×2000×2590,6505×2000×2360,5782×2000×2360
铝合金轮圈,○,○,○,○,○,○,○,○,○
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知
遮阳板化妆镜,-,-,-,-,-,-,-,-,-
遥控钥匙,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-
轴距(mm),2933,2933,2933,3750,3750,3750,3750,3750,3750
转向辅助灯,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-
车门数(个),4,5,4,5,5,5,5,5,5
车载电视,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-
车身结构_y,客车,客车,客车,客车,客车,客车,客车,客车,客车
车身结构_x,客车,客车,客车,客车,客车,客车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),○,○,○,○,○,○,○,○,○
车窗防夹手功能,-,-,-,-,-,-,-,-,-
