Feature,46341,46345,49838,49839,58597,58598,58599,58600,59816,59817,60365,60366,60367,60368,61178
高度(mm),1530,1530,1530,1530,1530,1545,1545,1530,1545,1545,1545,1545,1545,1545,1545
驾驶辅助影像,,,,,,,,,,,,,,,-
驾驶模式切换,,,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
风阻系数(Cd),0.245,0.245,0.245,0.245,0.245,-,-,0.245,-,-,-,-,-,-,-
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4805,4805,4805,4805,4805
长*宽*高(mm),4768*1880*1530,4768*1880*1530,4768*1880*1530,4768*1880*1530,4768*1880*1530,4768*1880*1545,4768*1880*1545,4768*1880*1530,4768*1880*1545,4768*1880*1545,4805*1880*1545,4805*1880*1545,4805*1880*1545,4805*1880*1545,4805*1880*1545
钥匙类型,,,,,,,,,,,,,,,
道路救援呼叫,-,●,-,●,-,●,●,●,●,●,-,-,-,-,-
道路交通标识识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远程启动功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750
轮圈材质,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
