,33510,34406
车型名称,小鹏汽车G3 2018款 高配,小鹏汽车G3 2018款 低配
厂商指导价(元),28.00万,20.00万
厂商,小鹏汽车,小鹏汽车
级别,紧凑型SUV,紧凑型SUV
能源类型,纯电动,纯电动
工信部纯电续驶里程(km),351,351
快充时间(小时)_x,0.75,0.75
慢充时间(小时)_x,6.2,6.2
快充电量百分比,-,-
最大功率(kW),140,140
最大扭矩(N·m),-,-
长*宽*高(mm),4470*1818*1668,4470*1818*1668
车身结构_x,5门5座SUV,5门5座SUV
最高车速(km/h),-,-
官方0-100km/h加速(s),-,-
实测0-100km/h加速(s),-,-
实测100-0km/h制动(m),-,-
实测续航里程(km),-,-
实测快充时间(小时),-,-
实测慢充时间(小时),-,-
长度(mm),4470,4470
宽度(mm),1818,1818
高度(mm),1668,1668
轴距(mm),2610,2610
前轮距(mm),-,-
后轮距(mm),-,-
最小离地间隙(mm),-,-
车身结构_y,SUV,SUV
车门数(个),5,5
座位数(个),5,5
油箱容积(L),-,-
行李厢容积(L),-,-
整备质量(kg),-,-
电机类型,永磁 / 同步,永磁 / 同步
电动机总功率(kW),140,140
电动机总扭矩(N·m),-,-
前电动机最大功率(kW),140,140
前电动机最大扭矩(N·m),-,-
后电动机最大功率(kW),-,-
后电动机最大扭矩(N·m),-,-
系统综合功率(kW),-,-
系统综合扭矩(N·m),-,-
驱动电机数,单电机,单电机
电机布局,前置,前置
电池类型,三元锂电池,三元锂电池
工信部续航里程(km),351,351
电池容量(kWh),47,47
百公里耗电量(kWh/100km),-,-
快充时间(小时)_y,0.75,0.75
慢充时间(小时)_y,6.2,6.2
快充电量(%),-,-
挡位个数,1,1
变速箱类型,固定齿比变速箱,固定齿比变速箱
简称,电动车单速变速箱,电动车单速变速箱
驱动方式,前置前驱,前置前驱
前悬架类型,未知,未知
后悬架类型,扭力梁式非独立悬架,扭力梁式非独立悬架
助力类型,电动助力,电动助力
车体结构,承载式,承载式
前制动器类型,通风盘式,通风盘式
后制动器类型,盘式,盘式
驻车制动类型,电子驻车,电子驻车
前轮胎规格,未知,未知
后轮胎规格,未知,未知
备胎规格,未知,未知
