Feature,50453,50454
高度(mm),1880,1880
驾驶辅助影像,,
驾驶模式切换,-,-
驻车制动类型,电子驻车,电子驻车
驱动电机数,单电机,单电机
驱动方式,后置后驱,后置后驱
陡坡缓降,-,-
长度(mm),4866,4866
长*宽*高(mm),4866*1945*1880,4866*1945*1880
钥匙类型,,
配气机构,DOHC,DOHC
远光灯光源,,
进气形式,涡轮增压,涡轮增压
近光灯光源,,
轴距(mm),2986,2986
轮圈材质,,
车门数(个),5,5
车道偏离预警系统,-,-
车道保持辅助系统,-,-
车载空气净化器,-,-
车身结构_y,MPV,MPV
车身结构_x,5门7座MPV,5门4座MPV
车身稳定控制(ESC/ESP/DSC等),-,-
车联网,-,-
车窗防夹手功能,●,●
车窗一键升降功能,,
车型名称,Lorinser LX 2021款 七座版,Lorinser LX 2021款 四座版
车前雾灯,-,-
车内环境氛围灯,-,-
车内化妆镜,,
车内中控锁,●,●
车内PM2.5过滤装置,-,-
车体结构,承载式,承载式
语音识别控制系统,-,-
行车电脑显示屏幕,,
蓝牙/车载电话,●,●
自适应远近光,-,-
自动驻车,●,●
自动头灯,●,●
能源类型,增程式,增程式
胎压监测功能,,
缺气保用轮胎,-,-
缸盖材料,铝合金,铝合金
缸体材料,铝合金,铝合金
级别,中型MPV,中型MPV
简称,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,
第二排座椅电动调节,-,●
第二排座椅功能,-,
空调温度控制方式,,
百公里耗电量(kWh/100km),18,18
疲劳驾驶提示,-,-
电芯品牌,欣旺达,欣旺达
电池能量(kWh),35,35
电池组质保,待查,待查
电池类型,三元锂电池,三元锂电池
电池冷却方式,液冷,液冷
电机类型,永磁/同步,永磁/同步
电机布局,后置,后置
电动机总扭矩(N·m),240,240
电动机总功率(kW),120,120
电动机总功率(Ps),163,163
电动机(Ps),163,163
电动座椅记忆功能,-,-
电动后备厢,-,-
环保标准_y,国VI,国VI
环保标准_x,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-
燃油标号,95号,95号
燃料形式,增程式,增程式
温度分区控制,●,●
液晶仪表尺寸,-,-
油箱容积(L),-,-
气缸数(个),3,3
气缸排列形式,L,L
每缸气门数(个),4,4
最高车速(km/h),140,140
最大马力(Ps),136,136
最大满载质量(kg),2735,2735
最大扭矩转速(rpm),-,-
最大扭矩(N·m)_y,-,-
最大扭矩(N·m)_x,240,240
最大功率转速(rpm),-,-
最大功率(kW)_y,100,100
最大功率(kW)_x,120,120
最大净功率(kW),100,100
最低荷电状态油耗(L/100km),7.3,7.3
无钥匙进入功能,-,-
无钥匙启动系统,-,-
方向盘记忆,-,-
方向盘材质,,
方向盘换挡,-,-
方向盘加热,-,-
方向盘位置调节,,
整车质保,三年或6万公里,三年或6万公里
整备质量(kg),2210,2210
排量(mL),1500,1500
换挡形式,,
挡位个数,1,1
扬声器数量,,
扬声器品牌名称,-,-
手机无线充电功能,-,-
手机互联/映射,-,-
慢充时间(小时)_y,-,-
慢充时间(小时)_x,-,-
感应雨刷功能,-,-
快充电量百分比,-,-
快充电量(%),-,-
快充时间(小时)_y,-,-
快充时间(小时)_x,-,-
座椅材质,,
座位数(个),7,4
并线辅助,-,-
巡航系统,,
导航路况信息显示,-,-
宽度(mm),1945,1945
官方0-100km/h加速(s),-,-
安全带未系提醒,,
天窗类型,-,-
大灯高度可调,●,●
大灯延时关闭,●,●
多媒体/充电接口,,
多功能方向盘,●,●
外后视镜功能,,
备胎规格,无,无
后雨刷,●,●
后轮距(mm),1620,1620
后轮胎规格,225/55 R18,245/45 R20
后电动机最大扭矩(N·m),240,240
后电动机最大功率(kW),120,120
后排独立空调,-,-
后排杯架,●,●
后排座椅放倒形式,-,-
后悬架类型,多连杆式独立悬架,多连杆式独立悬架
后座出风口,●,●
后备厢容积(L),-,-
后制动器类型,通风盘式,通风盘式
变速箱类型,固定齿比变速箱,固定齿比变速箱
变速箱,电动车单速变速箱,电动车单速变速箱
发动机电子防盗,-,-
发动机布局,横置,横置
发动机型号,JLH-3G15TDF,JLH-3G15TDF
发动机启停技术,-,-
发动机,增程式 136马力,增程式 136马力
厂商指导价(元),49.90万,69.90万
厂商,罗伦士,罗伦士
卫星导航系统,-,-
助力类型,电动助力,电动助力
副驾驶位后排可调节按钮,-,-
副座椅调节方式,-,
前轮距(mm),1620,1620
前轮胎规格,225/55 R18,245/45 R20
前排座椅功能,-,-
前悬架类型,双叉臂式独立悬架,双叉臂式独立悬架
前制动器类型,通风盘式,通风盘式
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,-
前/后排侧气囊,-,-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),-,-
制动力分配(EBD/CBC等),-,-
内后视镜功能,-,-
全液晶仪表盘,-,-
供油方式,直喷,直喷
主座椅调节方式,,
主动刹车/主动安全系统,-,-
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-
中控彩色屏幕,,
中控屏幕尺寸,-,-
上市时间,2021.04,2021.04
上坡辅助,-,-
USB/Type-C接口数量,,
OTA升级,-,-
NEDC综合油耗(L/100km),1.3,1.3
NEDC纯电续航里程(km)_y,200,200
NEDC纯电续航里程(km)_x,200,200
LED日间行车灯,-,-
ISOFIX儿童座椅接口,●,●
ABS防抱死,●,●
220V/230V电源,●,●
