Feature,25292,25749,32676,33205,33206,33207,33208,33209,33211,34074,35079
高度(mm),1679,1679,1679,1679,1679,1679,1679,1679,1679,1698,1698
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●
防紫外线玻璃,●,●,●,●,●,●,●,●,●,●,●
长度(mm),5003,5003,5003,5003,5003,5003,5003,5003,5003,5020,5020
长*宽*高(mm),5003*1968*1679,5003*1968*1679,5003*1968*1679,5003*1968*1679,5003*1968*1679,5003*1968*1679,5003*1968*1679,5003*1968*1679,5003*1968*1679,5020*1981*1698,5020*1981*1698
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-
远程启动,-,-,-,-,-,-,-,-,-,-,-
远光灯,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,LED,LED
进气形式,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压
近光灯,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,氙气,LED,LED
运动风格座椅,○,○,-,-,-,●,-,●,-,●,●
运动外观套件,●,○,-,-,-,●,-,●,-,●,●
轴距(mm),3004,3004,3004,3004,3004,3004,3004,3004,3004,3004,3004
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-
转向头灯,●,○,○,●,●,●,●,●,●,●,●
车顶行李架,○,○,-,○,○,○,○,○,-,○,○
车门数(个),5,5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,○,○,○,○,○,○,○,○,○,●,○
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车
车型名称,Levante 2016款 3.0T Levante S,Levante 2016款 3.0T Levante,Levante 2018款 3.0T 经典版,Levante 2018款 3.0T 350Hp 标准版,Levante 2018款 3.0T 350Hp 豪华杰尼亚版,Levante 2018款 3.0T 350Hp 运动版,Levante 2018款 3.0T 430Hp 豪华杰尼亚版,Levante 2018款 3.0T 430Hp 运动版,Levante 2018款 3.0T 350Hp 经典版,Levante 2019款 3.8T Trofeo版,Levante 2019款 3.8T GTS
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●,●
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●
行程(mm),84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,-,80.8
行李厢容积(L),580,580,580,580,580,580,580,580,580,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,●,●,●,●,●,●,●,●
自适应巡航,○,○,○,○,○,○,○,○,○,●,○
自动驻车,-,-,-,-,-,-,-,-,-,-,-
自动泊车入位,-,-,-,-,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●
膝部气囊,-,-,-,●,●,●,●,●,●,●,●
腰部支撑调节,○,○,○,●,●,●,●,●,●,●,●
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测装置,●,●,●,●,●,●,●,●,●,●,●
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),86.5,86.5,86.5,86.5,86.5,86.5,86.5,86.5,86.5,-,86.5
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
第二排靠背角度调节,-,-,-,-,-,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-,-
空调控制方式,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●
空气悬架,●,●,●,●,●,●,●,●,●,●,●
皮质方向盘,●,●,●,●,●,●,●,●,●,●,●
